"artifact_id","stage","path","artifact_type","owner","created_at","status","notes"
"art_ddfd3d4be7","M0_registry","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\requirements_v5_2_hybrid_colab.txt","requirements","Student 1","2026-05-08T16:59:51Z","created","Colab requirements copied into registry"
"art_9d6081f1e5","M0_registry","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\environment_versions.txt","environment_report","Student 1","2026-05-08T17:00:02Z","created",""
"art_e78e7d96c2","M1_data_collection","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\01_raw_data\chembl\jak2_activities_raw.csv","raw_chembl_csv","Student 2","2026-05-08T17:01:27Z","created",""
"art_cc8ee804fc","M1_data_collection","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","curated_ligand_csv","Student 2","2026-05-08T17:01:27Z","created",""
"art_67ea8aa705","M1_data_collection","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\01_raw_data\pdb\5AEP.pdb","receptor_pdb","Student 5","2026-05-08T17:01:27Z","created",""
"art_2c804f6de4","M2_features","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\ligand_features.csv","ligand_feature_csv","Student 4","2026-05-08T17:01:39Z","created",""
"art_bdeb32d510","M2_features","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\ligand_graphs\se3_graphs.pt","se3_graph_tensor","Student 3","2026-05-08T17:01:39Z","created",""
"art_363e8eb430","M2_features","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\splits\train_ids.txt","train_split_ids","Student 3","2026-05-08T17:01:39Z","created",""
"art_14bcc1868d","M2_features","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\splits\val_ids.txt","val_split_ids","Student 3","2026-05-08T17:01:39Z","created",""
"art_5a4f1aac02","M2_features","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\splits\test_ids.txt","test_split_ids","Student 3","2026-05-08T17:01:39Z","created",""
"art_d0291c2f31","M3_se3_debug","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\04_models_checkpoints\se3_flow\se3_latest_checkpoint.pt","se3_checkpoint","Student 3","2026-05-08T17:01:49Z","created",""
"art_dd485af0ff","M3_se3_debug","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\04_models_checkpoints\se3_flow\se3_dataloader_test_passed.json","se3_debug_result","Student 3","2026-05-08T17:01:49Z","created",""
"art_ba8e68b544","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\selfies\generated_selfies_filtered.csv","selfies_candidates","Student 4","2026-05-08T17:09:03Z","created",""
"art_039c4360c6","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\rdkit\generated_rdkit_filtered.csv","rdkit_candidates","Student 4","2026-05-08T17:09:03Z","created",""
"art_ffc14c4cab","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","merged_candidate_csv","Student 1","2026-05-08T17:09:03Z","created",""
"art_e8a664f280","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generation_comparison_metrics.csv","generation_metrics","Student 1","2026-05-08T17:09:03Z","created",""
"art_cff792eb56","M6_admet_synthesis","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","admet_scores","Student 5","2026-05-08T17:09:08Z","created",""
"art_b33f7a6ff4","M6_admet_synthesis","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\filter_flags.csv","filter_flags","Student 5","2026-05-08T17:09:08Z","created",""
"art_3463834a4f","M6_admet_synthesis","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\safety_proxy_notes.csv","safety_proxy_notes","Student 5","2026-05-08T17:09:08Z","created",""
"art_b5fc4e3a8f","M7_ranking","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","final_ranked_candidates","Student 1","2026-05-08T17:09:14Z","created",""
"art_a5d6c6b0cd","M0_validation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","validation_report","Student 1","2026-05-08T17:09:24Z","created",""
"art_0392644bfa","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\selfies\generated_selfies_filtered.csv","selfies_candidates","Student 4","2026-05-08T17:10:17Z","created",""
"art_977216f835","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\rdkit\generated_rdkit_filtered.csv","rdkit_candidates","Student 4","2026-05-08T17:10:17Z","created",""
"art_42c5e88c3e","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","merged_candidate_csv","Student 1","2026-05-08T17:10:17Z","created",""
"art_5e2186401a","M4_generation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generation_comparison_metrics.csv","generation_metrics","Student 1","2026-05-08T17:10:17Z","created",""
"art_9624e9e580","M3_se3_debug","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\04_models_checkpoints\se3_flow\se3_latest_checkpoint.pt","se3_checkpoint","Student 3","2026-05-08T17:10:20Z","created",""
"art_30a44f2036","M3_se3_debug","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\04_models_checkpoints\se3_flow\se3_dataloader_test_passed.json","se3_debug_result","Student 3","2026-05-08T17:10:20Z","created",""
