"run_id","stage","started_at","finished_at","status","input_path","output_path","molecules_in","molecules_out","random_seed","notes"
"20260508_223002_m0_registry_f0a5c793","M0_registry","2026-05-08T17:00:02Z","2026-05-08T17:00:02Z","completed","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\environment_versions.txt","","","42","Project tree and registry initialized"
"20260508_223127_m1_data_collection_5bc0aebd","M1_data_collection","2026-05-08T17:01:27Z","2026-05-08T17:01:27Z","completed","ChEMBL API; RCSB PDB","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","50","49","42","Tiny Debug mode"
"20260508_223139_m2_features_3180a37a","M2_features","2026-05-08T17:01:39Z","2026-05-08T17:01:39Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\ligand_features.csv","","","42","Tiny Debug mode"
"20260508_223149_m3_se3_debug_fdef2d19","M3_se3_debug","2026-05-08T17:01:49Z","2026-05-08T17:01:49Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\ligand_graphs\se3_graphs.pt","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\04_models_checkpoints\se3_flow\se3_latest_checkpoint.pt","25","25","42","Debug loss 20.785763"
"20260508_223903_m4_generation_c3128b97","M4_generation","2026-05-08T17:09:03Z","2026-05-08T17:09:03Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","25","75","42","SELFIES 0, RDKit 75"
"20260508_223908_m6_admet_synthesis_0ddd03c7","M6_admet_synthesis","2026-05-08T17:09:08Z","2026-05-08T17:09:08Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","75","75","42","Descriptor proxy scoring; not biological safety proof"
"20260508_223914_m7_ranking_4a56f396","M7_ranking","2026-05-08T17:09:14Z","2026-05-08T17:09:14Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","75","75","42","Consensus ranking generated"
"20260508_223924_m0_validation_92bad7ef","M0_validation","2026-05-08T17:09:24Z","2026-05-08T17:09:24Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","39 passed, 1 open/failed"
"20260508_224017_m4_generation_c8779e27","M4_generation","2026-05-08T17:10:17Z","2026-05-08T17:10:17Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","25","75","42","SELFIES 0, RDKit 75"
"20260508_224020_m3_se3_debug_31afc393","M3_se3_debug","2026-05-08T17:10:20Z","2026-05-08T17:10:20Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\ligand_graphs\se3_graphs.pt","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\04_models_checkpoints\se3_flow\se3_latest_checkpoint.pt","25","25","42","Debug loss 19.529007"
"20260508_224028_m6_admet_synthesis_7ea36ee1","M6_admet_synthesis","2026-05-08T17:10:28Z","2026-05-08T17:10:28Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","75","75","42","Descriptor proxy scoring; not biological safety proof"
"20260508_224034_m0_validation_c331c796","M0_validation","2026-05-08T17:10:34Z","2026-05-08T17:10:34Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","39 passed, 2 open/failed"
"20260508_224034_m7_ranking_4670a5f6","M7_ranking","2026-05-08T17:10:34Z","2026-05-08T17:10:34Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","75","75","42","Consensus ranking generated"
"20260508_224042_m0_validation_011fa817","M0_validation","2026-05-08T17:10:42Z","2026-05-08T17:10:42Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","40 passed, 1 open/failed"
"20260508_224059_m4_generation_7db23c39","M4_generation","2026-05-08T17:10:59Z","2026-05-08T17:10:59Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","25","200","42","SELFIES 125, RDKit 75"
"20260508_224100_m0_registry_fe74bf5b","M0_registry","2026-05-08T17:11:00Z","2026-05-08T17:11:00Z","completed","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\environment_versions.txt","","","42","Project tree and registry initialized"
"20260508_224108_m6_admet_synthesis_2a429f06","M6_admet_synthesis","2026-05-08T17:11:08Z","2026-05-08T17:11:08Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","188","188","42","Descriptor proxy scoring; not biological safety proof"
