action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,129350,[],CHEMBL704111,Inhibition of Janus kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,,,CHEMBL1136271,Bioorg Med Chem Lett,2003,,CHEMBL319556,,CHEMBL319556,,0,http://www.openphacts.org/units/Nanomolar,174932,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,uM,UO_0000065,,10.0
,,506160,[],CHEMBL704109,Inhibition of protein kinase Jak 2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,,,CHEMBL1135866,Bioorg Med Chem Lett,2002,"{'bei': '29.09', 'le': '0.53', 'lle': '5.01', 'sei': '14.62'}",CHEMBL21156,,CHEMBL21156,9.00,0,http://www.openphacts.org/units/Nanomolar,25954,=,1,1,=,,IC50,nM,,1.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,uM,UO_0000065,,0.001
,,1257904,[],CHEMBL704112,Inhibition of Janus kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,,,CHEMBL1136216,Bioorg Med Chem Lett,2003,,CHEMBL104466,,CHEMBL104466,,0,http://www.openphacts.org/units/Nanomolar,196638,>,1,1,>,,IC50,nM,,50000.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,uM,UO_0000065,,50.0
,,1748676,[],CHEMBL870360,Inhibition of JAK2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,,,CHEMBL1145338,J Med Chem,2006,"{'bei': '9.64', 'le': '0.18', 'lle': '0.40', 'sei': '5.52'}",CHEMBL386760,,CHEMBL386760,6.62,0,http://www.openphacts.org/units/Nanomolar,533350,=,1,1,=,,IC50,nM,,240.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,uM,UO_0000065,,0.24
,,1807585,[],CHEMBL908418,Inhibition of JAK2,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,,CHEMBL1139695,Bioorg Med Chem Lett,2006,"{'bei': '25.48', 'le': '0.47', 'lle': '6.42', 'sei': '8.95'}",CHEMBL221959,TOFACITINIB,CHEMBL221959,7.96,0,http://www.openphacts.org/units/Nanomolar,622515,=,1,1,=,,IC50,nM,,11.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,nM,UO_0000065,,11.0
,,1807614,[],CHEMBL908418,Inhibition of JAK2,B,,,BAO_0000190,BAO_0000357,single protein format,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1.Cl,,,CHEMBL1139695,Bioorg Med Chem Lett,2006,"{'bei': '19.55', 'le': '0.36', 'lle': '3.93', 'sei': '7.54'}",CHEMBL557844,,CHEMBL220484,6.85,0,http://www.openphacts.org/units/Nanomolar,622544,=,1,1,=,,IC50,nM,,141.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,nM,UO_0000065,,141.0
,,1807615,[],CHEMBL908418,Inhibition of JAK2,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,,,CHEMBL1139695,Bioorg Med Chem Lett,2006,"{'bei': '18.86', 'le': '0.34', 'lle': '2.77', 'sei': '9.25'}",CHEMBL221378,,CHEMBL221378,7.55,0,http://www.openphacts.org/units/Nanomolar,622543,=,1,1,=,,IC50,nM,,28.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,nM,UO_0000065,,28.0
,,1807616,[],CHEMBL908418,Inhibition of JAK2,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1,,,CHEMBL1139695,Bioorg Med Chem Lett,2006,"{'bei': '18.54', 'le': '0.33', 'lle': '2.42', 'sei': '8.14'}",CHEMBL375205,,CHEMBL375205,7.54,0,http://www.openphacts.org/units/Nanomolar,622542,=,1,1,=,,IC50,nM,,29.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,nM,UO_0000065,,29.0
,,1807617,[],CHEMBL908418,Inhibition of JAK2,B,,,BAO_0000190,BAO_0000357,single protein format,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1,,,CHEMBL1139695,Bioorg Med Chem Lett,2006,"{'bei': '18.13', 'le': '0.33', 'lle': '3.43', 'sei': '6.99'}",CHEMBL220484,,CHEMBL220484,6.35,0,http://www.openphacts.org/units/Nanomolar,622541,=,1,1,=,,IC50,nM,,446.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,nM,UO_0000065,,446.0
,,1807618,[],CHEMBL908418,Inhibition of JAK2,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](Nc1cc(-c2cccc(C#N)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,,,CHEMBL1139695,Bioorg Med Chem Lett,2006,"{'bei': '17.37', 'le': '0.31', 'lle': '2.33', 'sei': '7.86'}",CHEMBL220969,,CHEMBL220969,7.25,0,http://www.openphacts.org/units/Nanomolar,622540,=,1,1,=,,IC50,nM,,56.0,CHEMBL2971,Homo sapiens,Tyrosine-protein kinase JAK2,9606,,,IC50,nM,UO_0000065,,56.0
