mol_id,source,source_id,canonical_smiles,inchikey,activity_type,activity_value_nM,p_activity,target,assay_id,confidence_score,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,split,notes
JAK2_79038ef114,ChEMBL,CHEMBL2062797,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,FTQMDBNOBLWTEF-UHFFFAOYSA-N,IC50,1615.0,5.791827,JAK2,CHEMBL2067611,,6,False,False,train,curated_from_chembl_api
JAK2_bb041e75cb,ChEMBL,CHEMBL2208028,CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C)cc1,XRNNLWRNKTXVIA-UHFFFAOYSA-N,IC50,5.1,8.29243,JAK2,CHEMBL2214787,,6,False,False,train,curated_from_chembl_api
JAK2_1eae0c1a0e,ChEMBL,CHEMBL1476181,CC1CCCN(CCCNC(=O)c2cc3c(Cl)nc4ccccc4c3s2)C1,KBQSNNCVJNKFHP-UHFFFAOYSA-N,IC50,3503.0,5.45556,JAK2,CHEMBL1613998,,6,False,False,train,curated_from_chembl_api
JAK2_155bd54352,ChEMBL,CHEMBL1923590,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)cn1,IKEZDZFCQUVLLG-UHFFFAOYSA-N,IC50,0.4,9.39794,JAK2,CHEMBL1926252,,6,False,False,train,curated_from_chembl_api
JAK2_d4e8488591,ChEMBL,CHEMBL3234881,Cc1cccc(Nc2sc(-c3ccc(F)cc3)cc2C(N)=O)n1,ACAOHWOPNZHWAF-UHFFFAOYSA-N,IC50,140.0,6.853872,JAK2,CHEMBL3239499,,6,False,False,train,curated_from_chembl_api
JAK2_d2047728cd,ChEMBL,CHEMBL2181322,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,AXXRIEDSBPYONW-UHFFFAOYSA-N,IC50,83.0,7.080922,JAK2,CHEMBL2184201,,18,True,False,train,curated_from_chembl_api
JAK2_3c0daf6c94,ChEMBL,CHEMBL3359929,C[C@@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,UPBRYBJZTWHUQK-BXUZGUMPSA-N,IC50,210.0,6.677781,JAK2,CHEMBL3377596,,6,False,False,train,curated_from_chembl_api
JAK2_e510bd5a84,ChEMBL,CHEMBL2181085,Nc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)COCC=CCOC2,LVRXBZNKAGNVHM-UHFFFAOYSA-N,IC50,35.0,7.455932,JAK2,CHEMBL2184201,,18,True,False,train,curated_from_chembl_api
JAK2_628eb3c7b6,ChEMBL,CHEMBL569966,CC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,BTOVCFAIIUJMFA-CQSZACIVSA-N,IC50,0.6,9.221849,JAK2,CHEMBL1044318,,6,False,False,train,curated_from_chembl_api
JAK2_8e43755f1e,ChEMBL,CHEMBL2325903,C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)C,YCFLEMHGWPQDSP-VIFPVBQESA-N,IC50,10.8,7.966576,JAK2,CHEMBL2329570,,6,False,False,train,curated_from_chembl_api
