activity_type,activity_value_nM,assay_id,canonical_smiles,confidence_score,has_constrained_ring_8_11,has_macrocycle_12_20,inchikey,max_ring_size,mol_id,notes,p_activity,source,source_id,split,target
IC50,1615.0,CHEMBL2067611,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,,False,False,FTQMDBNOBLWTEF-UHFFFAOYSA-N,6,JAK2_79038ef114,curated_from_chembl_api,5.791827,ChEMBL,CHEMBL2062797,train,JAK2
IC50,5.1,CHEMBL2214787,CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C)cc1,,False,False,XRNNLWRNKTXVIA-UHFFFAOYSA-N,6,JAK2_bb041e75cb,curated_from_chembl_api,8.29243,ChEMBL,CHEMBL2208028,train,JAK2
IC50,3503.0,CHEMBL1613998,CC1CCCN(CCCNC(=O)c2cc3c(Cl)nc4ccccc4c3s2)C1,,False,False,KBQSNNCVJNKFHP-UHFFFAOYSA-N,6,JAK2_1eae0c1a0e,curated_from_chembl_api,5.45556,ChEMBL,CHEMBL1476181,train,JAK2
IC50,0.4,CHEMBL1926252,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)cn1,,False,False,IKEZDZFCQUVLLG-UHFFFAOYSA-N,6,JAK2_155bd54352,curated_from_chembl_api,9.39794,ChEMBL,CHEMBL1923590,train,JAK2
IC50,140.0,CHEMBL3239499,Cc1cccc(Nc2sc(-c3ccc(F)cc3)cc2C(N)=O)n1,,False,False,ACAOHWOPNZHWAF-UHFFFAOYSA-N,6,JAK2_d4e8488591,curated_from_chembl_api,6.853872,ChEMBL,CHEMBL3234881,train,JAK2
IC50,83.0,CHEMBL2184201,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,,False,True,AXXRIEDSBPYONW-UHFFFAOYSA-N,18,JAK2_d2047728cd,curated_from_chembl_api,7.080922,ChEMBL,CHEMBL2181322,train,JAK2
IC50,210.0,CHEMBL3377596,C[C@@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,,False,False,UPBRYBJZTWHUQK-BXUZGUMPSA-N,6,JAK2_3c0daf6c94,curated_from_chembl_api,6.677781,ChEMBL,CHEMBL3359929,train,JAK2
IC50,35.0,CHEMBL2184201,Nc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)COCC=CCOC2,,False,True,LVRXBZNKAGNVHM-UHFFFAOYSA-N,18,JAK2_e510bd5a84,curated_from_chembl_api,7.455932,ChEMBL,CHEMBL2181085,train,JAK2
IC50,0.6,CHEMBL1044318,CC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,,False,False,BTOVCFAIIUJMFA-CQSZACIVSA-N,6,JAK2_628eb3c7b6,curated_from_chembl_api,9.221849,ChEMBL,CHEMBL569966,train,JAK2
IC50,10.8,CHEMBL2329570,C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)C,,False,False,YCFLEMHGWPQDSP-VIFPVBQESA-N,6,JAK2_8e43755f1e,curated_from_chembl_api,7.966576,ChEMBL,CHEMBL2325903,train,JAK2
IC50,4.8,CHEMBL1685409,Cc1cc(Nc2nc(N3CCN(C(=O)c4ccc(C#N)cc4)CC3)nn3cccc23)n[nH]1,,False,False,ZAKOKIKZDMKTLC-UHFFFAOYSA-N,6,JAK2_bb43002d12,curated_from_chembl_api,8.318759,ChEMBL,CHEMBL1682376,train,JAK2
IC50,2.1,CHEMBL1936085,CN(c1ncccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O,,False,False,JKNCXKNOUNKWSO-UHFFFAOYSA-N,6,JAK2_bfebc14fe9,curated_from_chembl_api,8.677781,ChEMBL,CHEMBL1934344,train,JAK2
IC50,0.6,CHEMBL1936085,COc1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12,,False,False,VSOBEWDEAFPUPX-UHFFFAOYSA-N,6,JAK2_2e8eed6911,curated_from_chembl_api,9.221849,ChEMBL,CHEMBL1934335,train,JAK2
IC50,750.0,CHEMBL1291235,O=c1[nH]ccc2nc(NC3CC(F)(F)C3)c3ccc(F)cc3c12,,False,False,ASPDEPIEGDDDCD-UHFFFAOYSA-N,6,JAK2_14d06e82bc,curated_from_chembl_api,6.124939,ChEMBL,CHEMBL1289096,train,JAK2
IC50,53.0,CHEMBL2184201,Oc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,,False,True,UVANEUUATLLBKA-UHFFFAOYSA-N,18,JAK2_396d75ed4a,curated_from_chembl_api,7.275724,ChEMBL,CHEMBL2181320,train,JAK2
IC50,308.0,CHEMBL3374493,COc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,,False,False,ABUHZFPSYFNGPG-UHFFFAOYSA-N,6,JAK2_f1e7af637d,curated_from_chembl_api,6.511449,ChEMBL,CHEMBL3330123,train,JAK2
IC50,11.0,CHEMBL1108564,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,,False,False,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,6,JAK2_9af79f3778,curated_from_chembl_api,7.958607,ChEMBL,CHEMBL1078178,train,JAK2
IC50,136.0,CHEMBL2067611,COc1ccccc1-c1cccn2nc(Nc3ccccc3)nc12,,False,False,HBCGXHDDFKAZGS-UHFFFAOYSA-N,6,JAK2_310f20bf06,curated_from_chembl_api,6.866461,ChEMBL,CHEMBL2062794,train,JAK2
IC50,23.7,CHEMBL2415128,O=C(O)c1ccc(Nc2nc3c(-c4cnn(C5CCCC5)c4)cccn3n2)cc1,,False,False,ORKMOELSWADEED-UHFFFAOYSA-N,6,JAK2_c7e43971d9,curated_from_chembl_api,7.625252,ChEMBL,CHEMBL2414540,train,JAK2
IC50,83.0,CHEMBL1102456,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccc(F)cc21,,False,False,MRYVGOHMJFCIFR-UHFFFAOYSA-N,6,JAK2_0ac788f1c8,curated_from_chembl_api,7.080922,ChEMBL,CHEMBL1081190,train,JAK2
IC50,1.7,CHEMBL2214787,C[C@@H](N)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,,False,False,DHNKBAKGYDFYFP-MRXNPFEDSA-N,6,JAK2_d918415381,curated_from_chembl_api,8.769551,ChEMBL,CHEMBL2208032,train,JAK2
IC50,0.9,CHEMBL1685409,Cc1cc(Nc2nc(N3CCN(C(=O)Cc4ccc(F)cc4)CC3)nn3cccc23)n[nH]1,,False,False,TZFDRICFHMOYIQ-UHFFFAOYSA-N,6,JAK2_1f52d2b5fb,curated_from_chembl_api,9.045757,ChEMBL,CHEMBL1682384,train,JAK2
IC50,3.0,CHEMBL2383938,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(F)c(N3CCS(=O)(=O)CC3)n2)n[nH]1,,False,False,VUTANNSKXVAAIF-LBPRGKRZSA-N,6,JAK2_ea3454a640,curated_from_chembl_api,8.522879,ChEMBL,CHEMBL2381986,train,JAK2
IC50,7832.0,CHEMBL1613998,COC1(OC)C(/C=C/c2ccc(Cl)cc2)C(C#N)(C#N)C1(OC)OC,,False,False,WTXBTYXCVPLYNX-JXMROGBWSA-N,6,JAK2_8a3262104b,curated_from_chembl_api,5.106127,ChEMBL,CHEMBL1976304,train,JAK2
IC50,29000.0,CHEMBL947777,Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,,False,False,CJXUHPRULWSPBE-UHFFFAOYSA-N,6,JAK2_1e564fa7d7,curated_from_chembl_api,4.537602,ChEMBL,CHEMBL475817,train,JAK2
IC50,3498.0,CHEMBL1613998,C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],,False,False,XLLDXYINDPHTJG-CMDGGOBGSA-N,6,JAK2_4501ba46d1,curated_from_chembl_api,5.45618,ChEMBL,CHEMBL1299997,train,JAK2
IC50,175.0,CHEMBL3239499,NC(=O)c1cc(-c2ccccc2)sc1Nc1ccncc1,,False,False,DVXWZGCFMXPDSQ-UHFFFAOYSA-N,6,JAK2_4bb01853de,curated_from_chembl_api,6.756962,ChEMBL,CHEMBL3234891,train,JAK2
IC50,5000.0,CHEMBL2214787,CC(=O)Nc1ccc(-c2ccnc(NCC3CN(C(=O)c4c(Cl)cccc4Cl)C3)n2)cc1,,False,False,DTVCSYNRPDBHIK-UHFFFAOYSA-N,6,JAK2_c9bfb2d3c7,curated_from_chembl_api,5.30103,ChEMBL,CHEMBL2207763,train,JAK2
IC50,10000.0,CHEMBL3118993,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(C2CCN(c3ccnc(F)c3)C2)c1,,False,False,XJVHQVSZWYUGJK-UHFFFAOYSA-N,6,JAK2_c5f0ce9a58,curated_from_chembl_api,5.0,ChEMBL,CHEMBL3114763,train,JAK2
IC50,100000.0,CHEMBL3363474,C#Cc1ccn2c(-c3ccnc(SC)n3)c(-c3ccc(F)cc3)nc2n1,,False,False,SGCIIARCCWAUSQ-UHFFFAOYSA-N,6,JAK2_8d121a21d7,curated_from_chembl_api,4.0,ChEMBL,CHEMBL3314272,train,JAK2
IC50,7255.0,CHEMBL1613998,Cc1ccc(C)c(Sc2ccc(NC(=O)CCl)cc2)c1,,False,False,KACFZWRSHRBOAC-UHFFFAOYSA-N,6,JAK2_bd7e2a006f,curated_from_chembl_api,5.139363,ChEMBL,CHEMBL1597039,train,JAK2
IC50,5600.0,CHEMBL1049518,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,,False,False,GWQOJNLUSACQPH-UHFFFAOYSA-N,7,JAK2_c706b0d0af,curated_from_chembl_api,5.251812,ChEMBL,CHEMBL591800,train,JAK2
IC50,1036.0,CHEMBL1613998,O=C(CCl)/N=c1\sccn1Cc1cccc2ccccc12,,False,False,UWMDLXSQGLERIU-VLGSPTGOSA-N,6,JAK2_b3e12556ba,curated_from_chembl_api,5.98464,ChEMBL,CHEMBL1973122,train,JAK2
IC50,95.0,CHEMBL1102456,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2cc(F)ccc21,,False,False,AWYBUVIAIMRQPX-UHFFFAOYSA-N,6,JAK2_aaf047e8d1,curated_from_chembl_api,7.022276,ChEMBL,CHEMBL1080110,train,JAK2
IC50,5700.0,CHEMBL2327181,c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,,False,False,VKHAJXJHGMVFFP-UHFFFAOYSA-N,6,JAK2_461a3f3c7d,curated_from_chembl_api,5.244125,ChEMBL,CHEMBL2322138,train,JAK2
IC50,860.0,CHEMBL1049518,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1F,,False,False,XZBDMMYLOSUXDO-UHFFFAOYSA-N,7,JAK2_ddf177d193,curated_from_chembl_api,6.065502,ChEMBL,CHEMBL591096,train,JAK2
IC50,0.8,CHEMBL3131376,O=c1[nH]ccc2c(Nc3c(Cl)cc(F)cc3Cl)nc3ccncc3c12,,False,False,CODIBUDSZRMNBU-UHFFFAOYSA-N,6,JAK2_0a1653190d,curated_from_chembl_api,9.09691,ChEMBL,CHEMBL3126341,train,JAK2
IC50,0.3,CHEMBL2378515,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,False,False,HFNKQEVNSGCOJV-OAHLLOKOSA-N,6,JAK2_0363b39a60,curated_from_chembl_api,9.522879,ChEMBL,CHEMBL1789941,train,JAK2
IC50,160.0,CHEMBL1948620,CN1C/C=C/CCOc2cc(F)cc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,,False,True,MDPQZSCXKLJMQD-NSCUHMNNSA-N,18,JAK2_ae95950785,curated_from_chembl_api,6.79588,ChEMBL,CHEMBL1946442,train,JAK2
IC50,132.0,CHEMBL1107753,N#CCNCc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,False,False,MJIQGRRGRNUPCX-UHFFFAOYSA-N,6,JAK2_4f6fafc041,curated_from_chembl_api,6.879426,ChEMBL,CHEMBL1078165,train,JAK2
