mol_id,source,source_id,canonical_smiles,inchikey,activity_type,activity_value_nM,p_activity,target,assay_id,confidence_score,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,split,notes
PREMAC_23e5646a75,ChEMBL_macrocycle_scan,CHEMBL29490,c1ccc(CNCCCCCN2CCCN(CCCCCNCc3ccccc3)CCN(CCCCCNCc3ccccc3)CCCN(CCCCCNCc3ccccc3)CC2)cc1,ZOBFQWCDUQPBHF-UHFFFAOYSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_bcf9dee9a6,ChEMBL_macrocycle_scan,CHEMBL293593,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,MQMAMLAYZKLECG-GNCAUCCPSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_039f0d6d38,ChEMBL_macrocycle_scan,CHEMBL412392,CCOc1ccc(C[C@H]2NC(=O)CC(CC)(CC)SSC[C@H](C(=O)N3CCC[C@H]3C(=O)N[C@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc3ccccc3)NC2=O)cc1,HAUODKFSJGOVIN-FYPSOLLUSA-N,,,,broad_macrocycle_pretrain,,,20,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_ecc28db5b9,ChEMBL_macrocycle_scan,CHEMBL24761,CNC(=O)[C@@H]1CCCCN(S(=O)(=O)c2ccccc2)CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N1,HLOJKFSLAAGGSY-HBMCJLEFSA-N,,,,broad_macrocycle_pretrain,,,13,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_0a00d50fe1,ChEMBL_macrocycle_scan,CHEMBL305863,CCCCCC[C@H]1OC(=O)CNC(=O)[C@@H]([C@H](C)OC)NC(=O)[C@H](CO)NC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C,PZHGRXQELWBQEP-OJHCMSPFSA-N,,,,broad_macrocycle_pretrain,,,19,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_5700bfcbed,ChEMBL_macrocycle_scan,CHEMBL295999,CC[C@H]1OC(=O)/C(C)=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)[C@@H]2NCCN3C(=O)O[C@@]1(C)[C@H]3[C@H]2C,ZSXFSOAHDGQXOT-UKFDWBBOSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_bea23dabfc,ChEMBL_macrocycle_scan,CHEMBL63956,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@@H]3C[C@@H](OC)[C@H](O[C@@H]4C[C@@H](OC)[C@H](O)[C@@H](C)O4)[C@@H](C)O3)[C@@H](C)/C=C/C=C3\COC4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,AZSNMRSAGSSBNP-KCHNCZCCSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_316ba023a3,ChEMBL_macrocycle_scan,CHEMBL305063,CC(C)[C@@H]1NC(=O)/C=C\CCCCCOc2ccc(cc2)C[C@@H]([C@H](O)CN2CC3CCCCC3C[C@H]2C(=O)NC(C)(C)C)NC1=O,VANGMTGZZOAFPM-SRUULYKESA-N,,,,broad_macrocycle_pretrain,,,19,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_e41102343b,ChEMBL_macrocycle_scan,CHEMBL18734,CN1C(=O)c2ccccc2SSc2ccccc2NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H]1CCCN=C(N)N,YITSCMGHJOGUNC-ROUUACIJSA-N,,,,broad_macrocycle_pretrain,,,17,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_2f72745443,ChEMBL_macrocycle_scan,CHEMBL431373,N=C(N)NCCC[C@@H]1NC(=O)c2cccc(c2)CSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,GJTFLSXWEKTYAH-JYJNAYRXSA-N,,,,broad_macrocycle_pretrain,,,18,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_86a12272f2,ChEMBL_macrocycle_scan,CHEMBL433450,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2cccc(N(C)C)c2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,JRUAHJDDIFIXLT-XAKBQOEISA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_ac6939b649,ChEMBL_macrocycle_scan,CHEMBL297210,CC[C@H]1OC(=O)/C(C)=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCOc3ccc(Cl)cc3)C(=O)O[C@]12C,QDGSUWPWTCTCTP-ZBEQBWKJSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
