mol_id,smiles,num_atoms,split
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,28,train
JAK2_bb041e75cb,CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C)cc1,30,train
JAK2_1eae0c1a0e,CC1CCCN(CCCNC(=O)c2cc3c(Cl)nc4ccccc4c3s2)C1,27,train
JAK2_155bd54352,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)cn1,32,train
JAK2_d4e8488591,Cc1cccc(Nc2sc(-c3ccc(F)cc3)cc2C(N)=O)n1,23,train
JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,33,train
JAK2_3c0daf6c94,C[C@@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,20,train
JAK2_e510bd5a84,Nc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)COCC=CCOC2,28,train
JAK2_628eb3c7b6,CC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,27,train
JAK2_8e43755f1e,C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)C,21,train
JAK2_bb43002d12,Cc1cc(Nc2nc(N3CCN(C(=O)c4ccc(C#N)cc4)CC3)nn3cccc23)n[nH]1,32,train
JAK2_bfebc14fe9,CN(c1ncccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O,38,train
JAK2_2e8eed6911,COc1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12,34,train
JAK2_14d06e82bc,O=c1[nH]ccc2nc(NC3CC(F)(F)C3)c3ccc(F)cc3c12,23,train
JAK2_396d75ed4a,Oc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,28,train
JAK2_f1e7af637d,COc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,24,train
JAK2_9af79f3778,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,31,train
JAK2_310f20bf06,COc1ccccc1-c1cccn2nc(Nc3ccccc3)nc12,24,train
JAK2_c7e43971d9,O=C(O)c1ccc(Nc2nc3c(-c4cnn(C5CCCC5)c4)cccn3n2)cc1,29,train
JAK2_0ac788f1c8,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccc(F)cc21,30,train
JAK2_d918415381,C[C@@H](N)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,31,train
JAK2_1f52d2b5fb,Cc1cc(Nc2nc(N3CCN(C(=O)Cc4ccc(F)cc4)CC3)nn3cccc23)n[nH]1,32,train
JAK2_ea3454a640,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(F)c(N3CCS(=O)(=O)CC3)n2)n[nH]1,32,train
JAK2_8a3262104b,COC1(OC)C(/C=C/c2ccc(Cl)cc2)C(C#N)(C#N)C1(OC)OC,25,train
JAK2_1e564fa7d7,Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,31,train
JAK2_4501ba46d1,C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],15,train
JAK2_4bb01853de,NC(=O)c1cc(-c2ccccc2)sc1Nc1ccncc1,21,train
JAK2_c9bfb2d3c7,CC(=O)Nc1ccc(-c2ccnc(NCC3CN(C(=O)c4c(Cl)cccc4Cl)C3)n2)cc1,32,train
JAK2_c5f0ce9a58,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(C2CCN(c3ccnc(F)c3)C2)c1,35,train
JAK2_8d121a21d7,C#Cc1ccn2c(-c3ccnc(SC)n3)c(-c3ccc(F)cc3)nc2n1,26,train
JAK2_bd7e2a006f,Cc1ccc(C)c(Sc2ccc(NC(=O)CCl)cc2)c1,20,train
JAK2_c706b0d0af,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,25,train
JAK2_b3e12556ba,O=C(CCl)/N=c1\sccn1Cc1cccc2ccccc12,21,train
JAK2_aaf047e8d1,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2cc(F)ccc21,30,train
JAK2_461a3f3c7d,c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,18,train
