fragment_id,mol_id,linker_smiles,chemotype_label
FRAG_6653015397,JAK2_d2047728cd,[1*]COC[5*],oxa
FRAG_a0ab864e2d,JAK2_d2047728cd,[2*]C=CCOCc1cccc([22*])c1,oxa
FRAG_7fa757b9b5,JAK2_d2047728cd,[2*]C=CCOC[28*],oxa
FRAG_9ef14e5f29,JAK2_d2047728cd,[2*]C=CCO[30*],oxa
FRAG_67a3ac2095,JAK2_d2047728cd,[2*]C=CC[31*],alkyl
FRAG_72e7fa6c1a,JAK2_d2047728cd,[3*]CC=CCOCc1cccc([22*])c1,oxa
FRAG_a7916827ad,JAK2_d2047728cd,[3*]CC=CCOC[28*],oxa
FRAG_1ff0ca69f6,JAK2_d2047728cd,[3*]CC=CCO[30*],oxa
FRAG_90a6cced96,JAK2_d2047728cd,[3*]CC=CC[31*],alkyl
FRAG_64457f5a90,JAK2_d2047728cd,[3*]CC=C[32*],alkyl
FRAG_d67c064bec,JAK2_d2047728cd,[4*]OCC=CCOC[28*],dioxa
FRAG_4107d86178,JAK2_d2047728cd,[4*]OCC=CCO[30*],dioxa
FRAG_32f7ad0718,JAK2_d2047728cd,[4*]OCC=CC[31*],oxa
FRAG_c16882ae4d,JAK2_d2047728cd,[4*]OCC=C[32*],oxa
FRAG_310f8f96a1,JAK2_d2047728cd,[4*]c1cc([17*])ccc1N1CCNCC1,diaza
FRAG_4af7ac37db,JAK2_d2047728cd,[5*]COCC=CCOC[28*],dioxa
FRAG_e58eb51403,JAK2_d2047728cd,[5*]COCC=CCO[30*],dioxa
FRAG_813f08e79f,JAK2_d2047728cd,[5*]COCC=CC[31*],oxa
FRAG_9bc89ee2d8,JAK2_d2047728cd,[5*]COCC=C[32*],oxa
FRAG_95b9cdb402,JAK2_d2047728cd,[7*]Nc1nccc([24*])n1,diaza
FRAG_a6913ff5b4,JAK2_d2047728cd,[17*]c1nccc([24*])n1,diaza
FRAG_5a1ed73588,JAK2_d2047728cd,[17*]c1nccc(-c2cccc([30*])c2)n1,diaza
FRAG_f31d6fd340,JAK2_d2047728cd,[22*]c1cccc([30*])c1,alkyl
FRAG_0c8fccda58,JAK2_d2047728cd,[22*]c1cccc(C[31*])c1,alkyl
FRAG_7b8f304c81,JAK2_d2047728cd,[22*]c1cccc(CO[32*])c1,oxa
FRAG_b0185e3974,JAK2_d2047728cd,*COCc1cccc([22*])c1,oxa
FRAG_56bdb8d90e,JAK2_d2047728cd,*COC[28*],oxa
FRAG_f5a6e323fd,JAK2_e510bd5a84,[5*]Nc1nccc([14*])n1,diaza
FRAG_dd2b269a56,JAK2_e510bd5a84,[7*]c1cc(N)cc(COCC=C[22*])c1,aza_oxa
