epoch,train_loss,val_f1,val_precision,val_recall,lr
1,0.049184,0.101852,0.05914,0.366667,0.0002999996721099292
2,0.036153,0.0,0.0,0.0,0.000299998688441155
3,0.0359,0.185366,0.108571,0.633333,0.00029999704899799244
4,0.032605,0.14433,0.078212,0.933333,0.00029999475378763283
5,0.032999,0.126722,0.069069,0.766667,0.000299991802820144
6,0.032949,0.126722,0.069069,0.766667,0.00029998819610847045
7,0.031925,0.2,0.115,0.766667,0.00029998393366843296
8,0.031545,0.126722,0.069069,0.766667,0.00029997901551872863
9,0.031266,0.126722,0.069069,0.766667,0.0002999734416809309
10,0.030707,0.2,0.115,0.766667,0.00029996721217948936
11,0.030121,0.190871,0.109005,0.766667,0.00029996032704172963
12,0.02944,0.245455,0.142105,0.9,0.0002999527862978533
13,0.028538,0.253521,0.147541,0.9,0.00029994458998093776
14,0.02791,0.241758,0.180328,0.366667,0.0002999357381269361
15,0.026932,0.22549,0.132184,0.766667,0.0002999262307746769
16,0.025407,0.259615,0.151685,0.9,0.00029991606796586395
17,0.024446,0.267327,0.156977,0.9,0.00029990524974507634
18,0.023784,0.272727,0.1875,0.5,0.00029989377615976815
19,0.022955,0.274112,0.161677,0.9,0.00029988164726026806
20,0.022764,0.27551,0.162651,0.9,0.00029986886309977943
21,0.02232,0.271357,0.159763,0.9,0.00029985542373437975
22,0.021504,0.278351,0.164634,0.9,0.00029984132922302066
23,0.021195,0.287293,0.172185,0.866667,0.00029982657962752767
24,0.020903,0.304094,0.184397,0.866667,0.0002998111750125997
25,0.02063,0.317073,0.19403,0.866667,0.0002997951154458089
26,0.020515,0.319018,0.195489,0.866667,0.0002997784009976004
27,0.020382,0.336634,0.239437,0.566667,0.0002997610317412919
28,0.020837,0.321429,0.195652,0.9,0.00029974300775307346
29,0.01987,0.329114,0.203125,0.866667,0.0002997243291120072
30,0.020002,0.336634,0.239437,0.566667,0.0002997049959000267
31,0.020441,0.313253,0.191176,0.866667,0.0002996850082019369
32,0.019429,0.333333,0.21875,0.7,0.00029966436610541367
33,0.019832,0.330097,0.232877,0.566667,0.00029964306970100326
34,0.019648,0.34,0.242857,0.566667,0.00029962111908212217
35,0.019292,0.342857,0.218182,0.8,0.00029959851434505655
36,0.019029,0.348387,0.216,0.9,0.00029957525558896184
37,0.020397,0.323353,0.19708,0.9,0.0002995513429158623
38,0.019427,0.368,0.242105,0.766667,0.00029952677643065067
39,0.019035,0.348624,0.240506,0.633333,0.0002995015562410875
40,0.019063,0.323353,0.19708,0.9,0.000299475682457801
41,0.019145,0.323353,0.19708,0.9,0.00029944915519428605
42,0.019264,0.346154,0.243243,0.6,0.00029942197456690436
43,0.019173,0.352941,0.219512,0.9,0.0002993941406948834
44,0.019282,0.346154,0.214286,0.9,0.0002993656537003162
45,0.018909,0.379562,0.242991,0.866667,0.00029933651370816057
46,0.018564,0.336449,0.233766,0.6,0.0002993067208462388
47,0.018488,0.346154,0.214286,0.9,0.00029927627524523704
48,0.018995,0.365079,0.239583,0.766667,0.0002992451770387045
49,0.019088,0.330275,0.227848,0.6,0.00029921342636305315
50,0.018972,0.396552,0.267442,0.766667,0.00029918102335755697
51,0.018996,0.333333,0.242424,0.533333,0.00029914796816435146
52,0.018827,0.342105,0.213115,0.866667,0.00029911426092843284
53,0.019448,0.344371,0.214876,0.866667,0.0002990799017976575
54,0.018775,0.348485,0.22549,0.766667,0.0002990448909227414
55,0.01875,0.346154,0.214286,0.9,0.0002990092284572594
56,0.019073,0.366667,0.244444,0.733333,0.0002989729145576445
57,0.019846,0.34375,0.22449,0.733333,0.00029893594938318726
58,0.01863,0.368794,0.234234,0.866667,0.000298898333096035
59,0.019034,0.376812,0.240741,0.866667,0.0002988600658611911
60,0.018929,0.352941,0.25,0.6,0.00029882114784651455
61,0.018414,0.357616,0.22314,0.9,0.00029878157922271864
62,0.019582,0.369231,0.24,0.8,0.00029874136016337074
63,0.018764,0.375,0.236842,0.9,0.00029870049084489137
64,0.01866,0.365079,0.239583,0.766667,0.0002986589714465533
65,0.018006,0.352941,0.219512,0.9,0.00029861680215048094
66,0.018671,0.357724,0.236559,0.733333,0.0002985739831416495
67,0.018628,0.348993,0.218487,0.866667,0.00029853051460788406
