epoch,train_loss,val_size_exact_accuracy,val_size_within_one_accuracy,val_chemo_accuracy,val_combined
1,3.063575,0.244825,0.511787,0.380519,0.45928
2,2.78575,0.262175,0.525428,0.395238,0.473352
3,2.657019,0.2818,0.55295,0.531889,0.544526
4,2.552768,0.298432,0.567668,0.536556,0.555223
5,2.480051,0.27462,0.549958,0.516214,0.53646
6,2.420964,0.329424,0.586694,0.553309,0.57334
7,2.371527,0.327989,0.627259,0.582506,0.609357
8,2.323595,0.352399,0.623429,0.561804,0.598779
9,2.285576,0.351322,0.59866,0.564557,0.585019
10,2.246856,0.370348,0.63372,0.575685,0.610506
11,2.217986,0.376212,0.646404,0.56695,0.614622
12,2.187989,0.378126,0.652627,0.577241,0.622472
13,2.170913,0.399067,0.66184,0.627378,0.648056
14,2.142856,0.392725,0.646404,0.610985,0.632236
15,2.133726,0.388297,0.6549,0.615771,0.639249
16,2.11099,0.377887,0.662917,0.62319,0.647026
17,2.099242,0.398349,0.660165,0.627857,0.647242
18,2.091182,0.409238,0.670695,0.625583,0.65265
19,2.067319,0.414503,0.681225,0.613378,0.654086
20,2.063037,0.400742,0.659328,0.635036,0.649611
21,2.055086,0.407443,0.681704,0.613378,0.654374
22,2.045054,0.407323,0.673088,0.660045,0.667871
23,2.038307,0.418332,0.677157,0.645208,0.664377
24,2.025098,0.411631,0.669977,0.628934,0.65356
25,2.028672,0.388656,0.677396,0.657293,0.669355
26,2.016816,0.419289,0.683858,0.636233,0.664808
27,2.013031,0.420247,0.67967,0.639823,0.663731
28,1.996451,0.419529,0.672729,0.635994,0.658035
29,1.987543,0.424794,0.685294,0.671054,0.679598
30,1.985299,0.394639,0.683858,0.65131,0.670839
31,1.979222,0.376212,0.668422,0.636472,0.655642
32,1.969121,0.428024,0.685533,0.634678,0.665191
33,1.969061,0.420127,0.680268,0.653345,0.669499
34,1.960648,0.418452,0.67249,0.635156,0.657557
35,1.962385,0.398468,0.686371,0.633122,0.665071
36,1.94501,0.430896,0.685294,0.629652,0.663037
37,1.93688,0.4084,0.674644,0.636472,0.659375
38,1.935571,0.428862,0.688405,0.635395,0.667201
39,1.92729,0.425631,0.693072,0.658131,0.679095
40,1.934035,0.42958,0.695345,0.642814,0.674333
41,1.910741,0.427546,0.685054,0.636353,0.665574
42,1.917274,0.424674,0.684695,0.661242,0.675314
43,1.909495,0.429221,0.703123,0.659208,0.685557
44,1.90889,0.42958,0.691636,0.660883,0.679335
45,1.902722,0.441187,0.69367,0.662439,0.681177
46,1.901248,0.436879,0.688285,0.667704,0.680053
47,1.897595,0.438554,0.694388,0.652627,0.677683
48,1.890614,0.422041,0.693191,0.641259,0.672418
49,1.888657,0.442743,0.703482,0.63037,0.674237
50,1.878664,0.43676,0.707192,0.666268,0.690822
51,1.877854,0.440349,0.70073,0.657293,0.683355
52,1.864898,0.439033,0.691277,0.674764,0.684672
53,1.862218,0.4437,0.711499,0.670935,0.695273
54,1.859764,0.45064,0.713534,0.671533,0.696733
55,1.8529,0.445614,0.706234,0.662798,0.68886
56,1.854587,0.448606,0.704439,0.640182,0.678736
57,1.851707,0.44023,0.696302,0.674644,0.687639
58,1.850561,0.446093,0.707431,0.663276,0.689769
59,1.836676,0.441426,0.71138,0.670695,0.695106
60,1.835229,0.437358,0.703362,0.666746,0.688716
61,1.830288,0.442982,0.701328,0.681345,0.693335
62,1.82547,0.45411,0.711739,0.652866,0.68819
63,1.826082,0.453991,0.718918,0.675601,0.701591
64,1.81642,0.444896,0.692713,0.664952,0.681608
65,1.814641,0.456145,0.706833,0.666986,0.690894
66,1.813553,0.45758,0.724662,0.662678,0.699868
67,1.801944,0.444418,0.703721,0.675003,0.692234
68,1.8012,0.460572,0.715568,0.673806,0.698863
69,1.799499,0.4577,0.712935,0.670336,0.695896
70,1.793464,0.444059,0.705277,0.675003,0.693167
71,1.781931,0.439751,0.711021,0.659208,0.690296
72,1.785917,0.446452,0.712816,0.676319,0.698217
73,1.784752,0.452794,0.706713,0.644011,0.681632
74,1.778316,0.457102,0.719517,0.695944,0.710087
75,1.761441,0.441905,0.715328,0.693431,0.706569
76,1.764499,0.459495,0.716166,0.682781,0.702812
77,1.759801,0.467034,0.725978,0.629771,0.687496
78,1.758853,0.469307,0.729568,0.66914,0.705397
79,1.753436,0.474094,0.730047,0.674644,0.707886
