epoch,train_loss,val_roc_auc,val_f1,val_precision,val_recall
1,1.349152,0.853496,0.096886,0.050909,1.0
2,1.257878,0.876067,0.09894,0.052045,1.0
3,1.226026,0.880195,0.09894,0.052045,1.0
4,1.245201,0.907859,0.092409,0.048443,1.0
5,1.225061,0.891894,0.109804,0.058091,1.0
6,1.186917,0.899326,0.146597,0.079096,1.0
7,1.245423,0.90662,0.115226,0.061135,1.0
8,1.190958,0.909923,0.098246,0.051661,1.0
9,1.181103,0.917355,0.117155,0.062222,1.0
10,1.226177,0.935522,0.145078,0.078212,1.0
11,1.169874,0.942953,0.104478,0.055118,1.0
12,1.138683,0.935797,0.084337,0.044025,1.0
13,1.146549,0.934421,0.100719,0.05303,1.0
14,1.152398,0.951211,0.118143,0.06278,1.0
15,1.095913,0.950936,0.111554,0.059072,1.0
16,1.100599,0.940889,0.10728,0.05668,1.0
17,1.097577,0.953276,0.123348,0.065728,1.0
18,1.106482,0.953413,0.101818,0.05364,1.0
19,1.054998,0.958505,0.252252,0.14433,1.0
20,1.246979,0.946532,0.101818,0.05364,1.0
21,1.085131,0.954101,0.125,0.066667,1.0
22,1.067694,0.951211,0.140704,0.075676,1.0
23,1.057996,0.956716,0.146597,0.079096,1.0
24,1.041735,0.955753,0.147368,0.079545,1.0
25,1.013383,0.948596,0.166667,0.090909,1.0
26,1.021086,0.956991,0.151351,0.081871,1.0
27,1.057626,0.956854,0.10728,0.05668,1.0
28,1.08693,0.956028,0.148148,0.08,1.0
29,1.020661,0.950385,0.138614,0.074468,1.0
30,1.053465,0.956579,0.142857,0.076923,1.0
31,0.997143,0.963598,0.163743,0.089172,1.0
32,1.037992,0.96057,0.105263,0.055556,1.0
33,1.044834,0.948321,0.127273,0.067961,1.0
34,1.007174,0.958781,0.109375,0.057851,1.0
35,1.051443,0.95534,0.25,0.142857,1.0
36,1.144758,0.949697,0.175,0.09589,1.0
37,0.982574,0.959744,0.12963,0.069307,1.0
38,0.998326,0.95768,0.120172,0.063927,1.0
39,0.976339,0.958505,0.145833,0.078652,1.0
40,1.04237,0.951762,0.2,0.112069,0.928571
41,0.948595,0.955202,0.232143,0.132653,0.928571
42,0.997381,0.959194,0.097902,0.051471,1.0
43,0.979155,0.961671,0.169697,0.092715,1.0
44,0.961078,0.956854,0.180645,0.099291,1.0
45,0.955024,0.951762,0.129032,0.068966,1.0
46,0.955835,0.949147,0.179487,0.098592,1.0
47,0.989406,0.959606,0.118644,0.063063,1.0
48,0.982028,0.949835,0.191781,0.106061,1.0
49,0.982659,0.960157,0.21374,0.119658,1.0
50,0.953471,0.961671,0.158192,0.08589,1.0
51,0.944315,0.954239,0.127854,0.068293,1.0
52,0.959296,0.956716,0.099644,0.052434,1.0
53,0.973593,0.959606,0.16092,0.0875,1.0
54,0.959459,0.946807,0.224138,0.127451,0.928571
55,0.939832,0.960157,0.233333,0.132075,1.0
56,0.927463,0.958092,0.12069,0.06422,1.0
57,0.943821,0.956028,0.130233,0.069652,1.0
58,0.89515,0.960157,0.197183,0.109375,1.0
59,0.93218,0.952587,0.176101,0.096552,1.0
60,0.880977,0.942953,0.127273,0.067961,1.0
61,0.972606,0.961258,0.227642,0.12844,1.0
62,0.893552,0.953276,0.195804,0.108527,1.0
63,0.897415,0.953,0.167665,0.091503,1.0
64,0.904429,0.962909,0.148936,0.08046,1.0
65,0.878284,0.958643,0.213115,0.12037,0.928571
66,0.890766,0.947358,0.209677,0.118182,0.928571
67,1.023959,0.962634,0.180645,0.099291,1.0
68,0.905667,0.956991,0.209677,0.118182,0.928571
69,0.93643,0.95011,0.2,0.111111,1.0
70,0.89199,0.951073,0.213115,0.12037,0.928571
71,0.93468,0.959194,0.235294,0.133333,1.0
72,0.903255,0.958092,0.202899,0.112903,1.0
73,0.910532,0.953,0.122807,0.065421,1.0
74,0.902797,0.962084,0.229508,0.12963,1.0
75,0.893124,0.961258,0.168675,0.092105,1.0
76,0.867804,0.957955,0.220339,0.125,0.928571
77,0.874692,0.954377,0.222222,0.125,1.0
78,0.853048,0.95534,0.135266,0.072539,1.0
79,0.851271,0.951486,0.245283,0.141304,0.928571
80,0.892549,0.960157,0.205882,0.114754,1.0
81,0.87651,0.954239,0.205882,0.114754,1.0
82,0.869688,0.945706,0.156425,0.084848,1.0
83,0.890366,0.935797,0.154696,0.083832,1.0
84,0.874931,0.953688,0.178344,0.097902,1.0
85,0.904736,0.954377,0.169697,0.092715,1.0
86,0.891562,0.955065,0.164706,0.089744,1.0
87,0.876108,0.940063,0.245283,0.141304,0.928571
88,0.918364,0.954239,0.21374,0.119658,1.0
89,0.834439,0.953276,0.191176,0.106557,0.928571
90,0.879395,0.953826,0.175,0.09589,1.0
91,0.85649,0.95011,0.236364,0.135417,0.928571
92,0.876987,0.953551,0.175,0.09589,1.0
93,0.900713,0.934971,0.125561,0.066986,1.0
94,0.890704,0.952037,0.2,0.112069,0.928571
95,0.841618,0.954789,0.225806,0.127273,1.0
96,0.841075,0.953964,0.233333,0.132075,1.0
97,0.859529,0.946669,0.232143,0.132653,0.928571
98,0.888326,0.939788,0.122807,0.065421,1.0
99,0.900334,0.949835,0.187919,0.103704,1.0
100,0.864361,0.933182,0.151163,0.082278,0.928571
101,0.859523,0.945844,0.132701,0.071066,1.0
102,0.829117,0.943229,0.170732,0.093333,1.0
103,0.841587,0.948046,0.216667,0.122642,0.928571
104,0.853271,0.950936,0.181818,0.1,1.0
105,0.851291,0.951762,0.21875,0.122807,1.0
106,0.834499,0.945844,0.159091,0.08642,1.0
107,0.827558,0.939926,0.240741,0.138298,0.928571
108,0.81038,0.957267,0.212121,0.118644,1.0
109,0.882623,0.954101,0.215385,0.12069,1.0
110,0.82504,0.954927,0.245283,0.141304,0.928571
111,0.8647,0.956303,0.176101,0.096552,1.0
112,0.829577,0.953138,0.254545,0.145833,1.0
113,0.826259,0.942678,0.220339,0.125,0.928571
114,0.845303,0.950523,0.181818,0.1,1.0
115,1.001459,0.953276,0.229508,0.12963,1.0
116,0.823769,0.941852,0.168831,0.092857,0.928571
117,0.829683,0.937448,0.167665,0.091503,1.0
118,0.830349,0.939513,0.254902,0.147727,0.928571
119,0.817522,0.940339,0.238532,0.136842,0.928571
120,0.967041,0.941715,0.189189,0.104478,1.0
121,0.790073,0.951349,0.155556,0.084337,1.0
122,0.83582,0.945156,0.209677,0.118182,0.928571
123,0.866775,0.953964,0.216667,0.122642,0.928571
124,0.849883,0.958918,0.225806,0.127273,1.0
125,0.860082,0.952863,0.198582,0.110236,1.0
126,0.829141,0.953688,0.241379,0.137255,1.0
127,0.826776,0.937999,0.198473,0.111111,0.928571
128,0.780379,0.943229,0.216667,0.122642,0.928571
129,0.85685,0.940889,0.163743,0.089172,1.0
130,0.791228,0.940751,0.14359,0.077348,1.0
131,0.82164,0.945018,0.176101,0.096552,1.0
132,0.87274,0.952312,0.288889,0.171053,0.928571
133,0.859022,0.949972,0.155556,0.084337,1.0
134,0.886979,0.931118,0.324324,0.2,0.857143
135,0.831917,0.945293,0.145078,0.078212,1.0
136,0.928746,0.935659,0.155556,0.084337,1.0
137,0.806032,0.940889,0.141414,0.076087,1.0
138,0.798218,0.951762,0.224138,0.127451,0.928571
139,0.867331,0.941715,0.197183,0.109375,1.0
140,0.851969,0.944467,0.188406,0.104839,0.928571
141,0.836353,0.948321,0.170732,0.093333,1.0
142,0.829382,0.948183,0.164706,0.089744,1.0
143,0.763559,0.944055,0.185714,0.103175,0.928571
144,0.792733,0.950385,0.245614,0.14,1.0
145,0.892809,0.941164,0.189189,0.104478,1.0
146,0.786471,0.951624,0.245283,0.141304,0.928571
147,0.8246,0.948734,0.236364,0.135417,0.928571
148,0.800905,0.951073,0.25,0.144444,0.928571
149,0.840442,0.947908,0.173913,0.095238,1.0
150,0.830547,0.935384,0.169697,0.092715,1.0
151,0.90993,0.949697,0.206349,0.116071,0.928571
152,0.791101,0.953413,0.191781,0.106061,1.0
153,0.76898,0.943779,0.17284,0.094595,1.0
154,0.861713,0.948183,0.179487,0.098592,1.0
155,0.812435,0.940889,0.220339,0.125,0.928571
156,0.821091,0.950798,0.195804,0.108527,1.0
157,0.830509,0.950248,0.22807,0.13,0.928571
158,0.99451,0.949972,0.203125,0.114035,0.928571
159,0.899021,0.935109,0.216667,0.122642,0.928571
160,0.803046,0.948871,0.191781,0.106061,1.0
161,0.759334,0.952037,0.17284,0.094595,1.0
162,0.874718,0.944605,0.254902,0.147727,0.928571
163,0.787928,0.95011,0.241379,0.137255,1.0
164,0.773474,0.94722,0.215385,0.12069,1.0
165,0.864648,0.948183,0.208955,0.116667,1.0
166,1.074603,0.941164,0.176871,0.097744,0.928571
167,0.894417,0.941577,0.171779,0.09396,1.0
168,0.919319,0.935659,0.19697,0.110169,0.928571
169,0.747648,0.93387,0.16568,0.090323,1.0
170,0.843325,0.951624,0.240741,0.138298,0.928571
171,0.874199,0.953964,0.220339,0.125,0.928571
172,0.800929,0.945568,0.177215,0.097222,1.0
173,0.806331,0.950661,0.177215,0.097222,1.0
174,0.782633,0.930017,0.161491,0.088435,0.928571
175,0.743767,0.951624,0.233333,0.132075,1.0
176,0.793736,0.956716,0.220339,0.125,0.928571
177,0.738882,0.951486,0.25,0.144444,0.928571
178,0.779071,0.947908,0.215385,0.12069,1.0
179,0.734164,0.949972,0.213115,0.12037,0.928571
180,0.769355,0.956441,0.212121,0.118644,1.0
181,0.76958,0.953826,0.2,0.111111,1.0
182,0.794374,0.951624,0.2,0.111111,1.0
183,0.737329,0.938962,0.191176,0.106557,0.928571
184,0.79766,0.938962,0.177215,0.097222,1.0
185,0.766919,0.952037,0.180645,0.099291,1.0
186,0.832099,0.930292,0.176101,0.096552,1.0
187,0.835141,0.951073,0.224138,0.127451,0.928571
188,0.76321,0.949422,0.22807,0.13,0.928571
189,0.772459,0.951073,0.241379,0.137255,1.0
190,0.742106,0.948183,0.265306,0.154762,0.928571
191,0.852234,0.955478,0.22807,0.13,0.928571
192,0.743623,0.952037,0.2,0.111111,1.0
193,0.836707,0.955615,0.216667,0.122642,0.928571
194,0.807317,0.948734,0.2,0.111111,1.0
195,0.825792,0.957129,0.225806,0.127273,1.0
196,0.780776,0.95245,0.189189,0.104478,1.0
197,0.805033,0.95245,0.21875,0.122807,1.0
198,0.794657,0.941027,0.236364,0.135417,0.928571
199,0.765953,0.951762,0.222222,0.125,1.0
200,0.797294,0.948183,0.187919,0.103704,1.0
201,0.819259,0.945844,0.295455,0.175676,0.928571
202,0.788546,0.938412,0.17284,0.094595,1.0
203,0.782943,0.94433,0.173913,0.095238,1.0
204,0.783313,0.936072,0.240741,0.138298,0.928571
205,0.777417,0.948734,0.180645,0.099291,1.0
206,0.799733,0.954789,0.220339,0.125,0.928571
207,0.761756,0.952312,0.212121,0.118644,1.0
208,0.79998,0.944743,0.19403,0.108333,0.928571
209,0.797773,0.925337,0.203125,0.114035,0.928571
210,0.83647,0.939375,0.152941,0.083333,0.928571
211,0.813246,0.954652,0.225806,0.127273,1.0
212,0.800449,0.948321,0.25,0.144444,0.928571
213,0.814578,0.951486,0.22807,0.13,0.928571
214,0.804425,0.95534,0.197183,0.109375,1.0
215,0.765722,0.955202,0.202899,0.112903,1.0
216,0.875386,0.951762,0.229508,0.12963,1.0
217,0.755321,0.939375,0.22807,0.13,0.928571
218,0.761875,0.942953,0.181818,0.1,1.0
219,0.710105,0.957404,0.241379,0.137255,1.0
220,0.775436,0.948871,0.236364,0.135417,0.928571
221,0.756272,0.961258,0.229508,0.12963,1.0
222,0.773358,0.952587,0.254902,0.147727,0.928571
223,0.784638,0.956166,0.197183,0.109375,1.0
224,0.731515,0.953964,0.240741,0.138298,0.928571
225,0.736915,0.95589,0.25,0.142857,1.0
226,1.000521,0.948596,0.236364,0.135417,0.928571
227,0.813233,0.947358,0.171779,0.09396,1.0
