candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes
CAND_6afe76f8e5,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCCCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,KXAKXECKJWZSFC-UHFFFAOYSA-N,True,True,True,643.858,5.6396,125.93,2,7,5,0.2884,5.977,c1ccc2c(c1)CCCCCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,18,True,False,True,macrocycle_bridge_alkyl_path9_ring17
CAND_1052640622,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCNCCOCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,HNAYFKAAPGSGKW-UHFFFAOYSA-N,True,True,True,646.818,2.9052,147.19,3,9,5,0.2979,5.674,c1ccc2c(c1)CCNCCOCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,18,True,False,True,macrocycle_bridge_oxa_aza_path9_ring17
CAND_4ca6bad5c7,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCOCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,UPKCLYKAQARMHI-UHFFFAOYSA-N,True,True,True,645.83,4.4859,135.16,2,8,5,0.3244,5.669,c1ccc2c(c1)CCCOCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,18,True,False,True,macrocycle_bridge_oxa_path9_ring17
CAND_c07607a96b,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCNCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,KBGPSBJBAREWSF-UHFFFAOYSA-N,True,True,True,644.846,4.0589,137.96,3,8,5,0.2959,5.663,c1ccc2c(c1)CCCNCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,18,True,False,True,macrocycle_bridge_aza_path9_ring17
CAND_d8606a3d69,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCSCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,UYCYSAWKDARWRU-UHFFFAOYSA-N,True,True,True,661.898,5.2025,125.93,2,8,5,0.2991,5.859,c1ccc2c(c1)CCCSCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,18,True,False,True,macrocycle_bridge_thioether_path9_ring17
CAND_569ada26eb,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCCNCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,ZYWZZHREGILNJW-UHFFFAOYSA-N,True,True,True,658.873,4.449,137.96,3,8,5,0.2862,5.741,c1ccc2c(c1)CCCCNCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,19,True,False,True,macrocycle_bridge_aza_path9_ring18
CAND_229d506b6a,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCCOCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,JSPRMAKRLOKJCS-UHFFFAOYSA-N,True,True,True,659.857,4.876,135.16,2,8,5,0.3099,5.746,c1ccc2c(c1)CCCCOCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,19,True,False,True,macrocycle_bridge_oxa_path9_ring18
CAND_000adff0e0,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCCCCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,YBWHFVXGPMOMPN-UHFFFAOYSA-N,True,True,True,657.885,6.0297,125.93,2,7,5,0.2685,6.25,c1ccc2c(c1)CCCCCCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,19,True,False,True,macrocycle_bridge_alkyl_path9_ring18
CAND_b9ef91030f,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCCCSCCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,FODJQTFHZWNGNH-UHFFFAOYSA-N,True,True,True,675.925,5.5926,125.93,2,8,5,0.2805,6.132,c1ccc2c(c1)CCCCSCCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,19,True,False,True,macrocycle_bridge_thioether_path9_ring18
CAND_c7408d12be,macrocycle_linker,JAK2_6f8843e888,CN(c1cccc2c1CCNCCOCCCc1cc(ccc1C1CCN(CC(N)=O)CC1)Nc1ncc3ccc-2n3n1)S(C)(=O)=O,QWDJKAZHPUAWQZ-UHFFFAOYSA-N,True,True,True,660.845,3.2953,147.19,3,9,5,0.2935,5.752,c1ccc2c(c1)CCNCCOCCCc1cc(ccc1C1CCNCC1)Nc1ncc3ccc-2n3n1,19,True,False,True,macrocycle_bridge_oxa_aza_path9_ring18
