parent_mol_id,seed_smiles,status,atom_a,atom_b,path_bonds,linker_length,target_ring,anchor_score_a,anchor_score_b,linker_probability,chemotype,generated_smiles,extracted_linker_smiles,known_linker_smiles,candidate_id,inchikey
JAK2_6f8843e888,CN(c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_e1ad5dee43,NS(=O)(=O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]ccc23)c(Cl)c1,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_6d4bc95598,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nn12,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_b891e0a2ae,COc1ccccc1-c1ccc2cnc(Nc3ccc(C(=O)N4CCOCC4)cc3)nn12,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_69019d0e87,O=c1[nH]ccc2c3[nH]c(-c4c(F)cccc4Cl)nc3c3ccc(F)cc3c12,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_e6b69b948a,O=c1[nH]ccc2c(Nc3c(Cl)cc(C(O)C(F)F)cc3Cl)nc3ccncc3c12,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_6c55e74feb,COc1cc(Nc2ncc3ccc(-c4ccccc4)n3n2)cc(OC)c1OC,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_c68e5406e0,C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_a16dc6f15f,CS(=O)(=O)Nc1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_11eb785811,CS(=O)(=O)c1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_6bbe5c39de,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCOCC4)cc3)nn12,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_0be2eaa185,NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cccc(CO)c5)n4n3)cc2)CC1,no_valid_anchor_pair,,,,,,,,,,,,,,
JAK2_4c8ff71131,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)cn1,no_valid_anchor_pair,,,,,,,,,,,,,,
