candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes
CAND_5a164fb16c,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,SPVWFDQKMXQKBE-SEBUGHOLSA-N,True,True,True,436.541,1.8429,114.77,2,6,1,0.705,5.006,O=C1N[C@@H](C(=O)N2CCCC2)C2CC2CSCC2(CC2)c2cnc3[nH]cc1c3n2,13,True,False,True,"v5_3_model_guided_anchor_pair=19-25;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=thioether"
CAND_f14ad9ba35,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,FYCAHTMFAMULSV-SEBUGHOLSA-N,True,True,True,420.473,1.1263,124.0,2,6,1,0.7126,4.917,O=C1N[C@@H](C(=O)N2CCCC2)C2CC2COCC2(CC2)c2cnc3[nH]cc1c3n2,13,True,False,True,"v5_3_model_guided_anchor_pair=19-25;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=oxa"
CAND_d7295004a0,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,OCXBEBDLAHWVLE-SEBUGHOLSA-N,True,True,True,419.489,0.6993,126.8,3,6,1,0.6245,4.911,O=C1N[C@@H](C(=O)N2CCCC2)C2CC2CNCC2(CC2)c2cnc3[nH]cc1c3n2,13,True,False,True,"v5_3_model_guided_anchor_pair=19-25;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=aza"
CAND_49e76c18fa,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,XBZKYLTXKLNUSQ-WYXOVGLDSA-N,True,True,True,418.501,2.28,114.77,2,5,1,0.7373,4.906,O=C1N[C@@H](C(=O)N2CCCC2)C2CC2CCCC2(CC2)c2cnc3[nH]cc1c3n2,13,True,False,True,"v5_3_model_guided_anchor_pair=19-25;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=oxa_aza"
CAND_38de1fc846,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,YLWJLPCJNFQMCO-YGFYOVKCSA-N,True,True,True,436.541,2.0589,114.77,2,6,1,0.7072,5.006,O=C1N[C@@H](C(=O)N2CCCC2)C2(CC2)CSCC2CC2c2cnc3[nH]cc1c3n2,13,True,False,True,"v5_3_model_guided_anchor_pair=24-20;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=thioether"
CAND_c71340cdb2,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,RGFMCTZPJBFCLO-YGFYOVKCSA-N,True,True,True,420.473,1.3423,124.0,2,6,1,0.7175,4.917,O=C1N[C@@H](C(=O)N2CCCC2)C2(CC2)COCC2CC2c2cnc3[nH]cc1c3n2,13,True,False,True,"v5_3_model_guided_anchor_pair=24-20;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=oxa"
CAND_492981f42f,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,IPHWYJUXNGKNHB-YGFYOVKCSA-N,True,True,True,419.489,0.9153,126.8,3,6,1,0.6308,4.911,O=C1N[C@@H](C(=O)N2CCCC2)C2(CC2)CNCC2CC2c2cnc3[nH]cc1c3n2,13,True,False,True,"v5_3_model_guided_anchor_pair=24-20;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=aza"
CAND_584cb6401d,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,HOMDVHDDTYNNLA-URGFFDDHSA-N,True,True,True,418.501,2.496,114.77,2,5,1,0.7384,4.906,O=C1N[C@@H](C(=O)N2CCCC2)C2(CCCC3CC3c3cnc4[nH]cc1c4n3)CC2,13,True,False,True,"v5_3_model_guided_anchor_pair=24-20;anchor_scores=0.822,0.678;linker_length=3;target_ring=12;linker_prob=0.278;chemotype=alkyl"
CAND_010738c49b,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,GDOIQDMSOKVZOZ-WAPNNBGYSA-N,True,True,True,419.489,0.8418,126.8,3,6,1,0.6287,4.661,O=C1N[C@H](C2CC2)C(=O)N2CCCC2CNCC2(CC2)c2cnc3[nH]cc1c3n2,14,True,False,True,"v5_3_model_guided_anchor_pair=19-4;anchor_scores=0.822,0.678;linker_length=3;target_ring=13;linker_prob=0.234;chemotype=aza"
CAND_1e356c92c8,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CC2COCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,CJARQMPCFPOYTL-WAPNNBGYSA-N,True,True,True,420.473,1.2688,124.0,2,6,1,0.716,4.667,O=C1N[C@H](C2CC2)C(=O)N2CCCC2COCC2(CC2)c2cnc3[nH]cc1c3n2,14,True,False,True,"v5_3_model_guided_anchor_pair=19-4;anchor_scores=0.822,0.678;linker_length=3;target_ring=13;linker_prob=0.234;chemotype=oxa"
