candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes
CAND_3aa6861e09,rdkit,JAK2_6f8843e888,CN(c1cc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)ccc1F)S(C)(=O)=O,ULCNJPUZPMCPMA-UHFFFAOYSA-N,True,True,True,551.648,3.3395,125.93,2,7,8,0.344,4.32,c1ccc(-c2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nn23)cc1,6,False,False,True,rdkit_reaction_aryl_F
CAND_0a6343278d,rdkit,JAK2_6f8843e888,CN(c1cc(F)cc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O,ASHZWPQXLULTRH-UHFFFAOYSA-N,True,True,True,551.648,3.3395,125.93,2,7,8,0.344,4.32,c1ccc(-c2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nn23)cc1,6,False,False,True,rdkit_reaction_aryl_F
CAND_1b62edf1a9,rdkit,JAK2_6f8843e888,CN(c1ccc(F)c(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O,YWAKJAJJMYXGPK-UHFFFAOYSA-N,True,True,True,551.648,3.3395,125.93,2,7,8,0.344,4.32,c1ccc(-c2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nn23)cc1,6,False,False,True,rdkit_reaction_aryl_F
CAND_b87fc5d76b,rdkit,JAK2_6f8843e888,CN(c1cccc(-c2c(F)cc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O,KUVMJWLKVGDNPM-UHFFFAOYSA-N,True,True,True,551.648,3.3395,125.93,2,7,8,0.344,4.32,c1ccc(-c2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nn23)cc1,6,False,False,True,rdkit_reaction_aryl_F
CAND_2e2d49cc71,rdkit,JAK2_6f8843e888,CN(c1cccc(-c2cc(F)c3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O,BDAAOUNLNJDJJR-UHFFFAOYSA-N,True,True,True,551.648,3.3395,125.93,2,7,8,0.344,4.32,c1ccc(-c2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nn23)cc1,6,False,False,True,rdkit_reaction_aryl_F
CAND_697cbaf8e1,rdkit,JAK2_e1ad5dee43,NS(=O)(=O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]ccc23)c(Cl)c1F,HRMGDNLZKYZQTP-UHFFFAOYSA-N,True,True,True,454.27,3.3082,130.83,3,6,3,0.3217,2.954,O=c1[nH]ccc2c(Nc3ccccc3)nc3ccncc3c12,6,False,False,True,rdkit_reaction_aryl_F
CAND_d4b75fc2b8,rdkit,JAK2_e1ad5dee43,NS(=O)(=O)c1cc(Cl)c(Nc2nc3c(F)cncc3c3c(=O)[nH]ccc23)c(Cl)c1,DSYJMXIGNQHKDD-UHFFFAOYSA-N,True,True,True,454.27,3.3082,130.83,3,6,3,0.4074,2.954,O=c1[nH]ccc2c(Nc3ccccc3)nc3ccncc3c12,6,False,False,True,rdkit_reaction_aryl_F
CAND_a67a7a2d95,rdkit,JAK2_e1ad5dee43,NS(=O)(=O)c1cc(Cl)c(Nc2nc3cc(F)ncc3c3c(=O)[nH]ccc23)c(Cl)c1,XAYIDHGTPMIDGK-UHFFFAOYSA-N,True,True,True,454.27,3.3082,130.83,3,6,3,0.3217,2.954,O=c1[nH]ccc2c(Nc3ccccc3)nc3ccncc3c12,6,False,False,True,rdkit_reaction_aryl_F
CAND_8d9d446e88,rdkit,JAK2_e1ad5dee43,NS(=O)(=O)c1cc(Cl)c(Nc2nc3ccnc(F)c3c3c(=O)[nH]ccc23)c(Cl)c1,KSLAYWAAYNSLDA-UHFFFAOYSA-N,True,True,True,454.27,3.3082,130.83,3,6,3,0.3217,2.954,O=c1[nH]ccc2c(Nc3ccccc3)nc3ccncc3c12,6,False,False,True,rdkit_reaction_aryl_F
CAND_66b0ebb866,rdkit,JAK2_e1ad5dee43,NS(=O)(=O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]c(F)cc23)c(Cl)c1,YXICKYFMJLHPBQ-UHFFFAOYSA-N,True,True,True,454.27,3.3082,130.83,3,6,3,0.3217,2.954,O=c1[nH]ccc2c(Nc3ccccc3)nc3ccncc3c12,6,False,False,True,rdkit_reaction_aryl_F
CAND_c3a069854a,rdkit,JAK2_6d4bc95598,COc1c(F)cccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nn12,QDZHOLLNTODVJF-UHFFFAOYSA-N,True,True,True,432.503,4.0394,57.93,1,6,5,0.5138,3.283,c1ccc(-c2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nn23)cc1,6,False,False,True,rdkit_reaction_aryl_F
CAND_aa89c47e16,rdkit,JAK2_6d4bc95598,COc1cc(F)ccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nn12,MOWFDPQRPQXTBJ-UHFFFAOYSA-N,True,True,True,432.503,4.0394,57.93,1,6,5,0.5138,3.283,c1ccc(-c2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nn23)cc1,6,False,False,True,rdkit_reaction_aryl_F
