candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes
CAND_8f58782c4d,v5_5_pocket_guided,JAK2_79038ef114,COc1ccc2cc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)ccc(n3n1)COCSC2,WZVJNUBMAYWWLX-UHFFFAOYSA-N,True,True,True,482.587,4.2729,94.82,1,8,3,0.4626,4.512,c1ccc(-c2ccc3n4nc(nc24)Nc2cccc(c2)CSCOC3)cc1,13,True,False,True,
CAND_0ea6b3bd67,v5_5_pocket_guided,JAK2_79038ef114,COc1c2cccc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)ccc(n3n1)COCSC2,GFTMCJSHGRIVKS-UHFFFAOYSA-N,True,True,True,482.587,4.2729,94.82,1,8,3,0.4626,4.512,c1ccc(-c2ccc3n4nc(nc24)Nc2cccc(c2)CSCOC3)cc1,13,True,False,True,
CAND_0f3be20d2f,v5_5_pocket_guided,JAK2_79038ef114,COc1c2cccc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)ccc(n3n1)CCOCSC2,FHFSKGKUKFJYKM-UHFFFAOYSA-N,True,True,True,496.614,4.3154,94.82,1,8,3,0.4483,4.59,c1ccc(-c2ccc3n4nc(nc24)Nc2cccc(c2)CSCOCC3)cc1,14,True,False,True,
CAND_aba9ac81c8,v5_5_pocket_guided,JAK2_79038ef114,COc1ccc2cc1Nc1nc3c(cccn3n1)-c1ccc(S(C)(=O)=O)cc1COCNC2,VUDALQCKUAEHPE-UHFFFAOYSA-N,True,True,True,465.535,3.1293,106.85,2,8,2,0.4651,4.292,c1cc2cc(c1)Nc1nc3c(cccn3n1)-c1ccccc1COCNC2,15,True,False,True,
CAND_85fbfbf3db,v5_5_pocket_guided,JAK2_79038ef114,COc1ccc2cc1Nc1nc3c(cccn3n1)-c1ccc(S(C)(=O)=O)cc1COCNCC2,HLEHIBQKCZJUQY-UHFFFAOYSA-N,True,True,True,479.562,3.1718,106.85,2,8,2,0.4516,4.37,c1cc2cc(c1)Nc1nc3c(cccn3n1)-c1ccccc1COCNCC2,16,True,False,True,
CAND_59b9cb396b,v5_5_pocket_guided,JAK2_79038ef114,COc1cc2ccc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)cc(cn3n1)COCNC2,WSSFYINJYAWSEU-UHFFFAOYSA-N,True,True,True,465.535,3.1293,106.85,2,8,3,0.4753,4.417,c1ccc(-c2cc3cn4nc(nc24)Nc2ccc(cc2)CNCOC3)cc1,15,True,False,True,
CAND_b11643e912,v5_5_pocket_guided,JAK2_79038ef114,COc1cc2ccc1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)cc(cn3n1)COCNCC2,QBTQFNJQGUERMZ-UHFFFAOYSA-N,True,True,True,479.562,3.1718,106.85,2,8,3,0.4615,4.495,c1ccc(-c2cc3cn4nc(nc24)Nc2ccc(cc2)CCNCOC3)cc1,16,True,False,True,
CAND_7c716cbf2c,v5_5_pocket_guided,JAK2_79038ef114,COc1cc2ccc1Nc1nc3c(cccn3n1)-c1ccc(S(C)(=O)=O)cc1COCNC2,STVBEEZSNSULKV-UHFFFAOYSA-N,True,True,True,465.535,3.1293,106.85,2,8,2,0.4651,4.292,c1ccc2c(c1)COCNCc1ccc(cc1)Nc1nc3c-2cccn3n1,16,True,False,True,
CAND_715e53ab6e,v5_5_pocket_guided,JAK2_79038ef114,COc1cc2ccc1Nc1nc3c(cccn3n1)-c1ccc(S(C)(=O)=O)cc1COCNCC2,WHWUVVNJPWYGAV-UHFFFAOYSA-N,True,True,True,479.562,3.1718,106.85,2,8,2,0.4516,4.37,c1ccc2c(c1)COCNCCc1ccc(cc1)Nc1nc3c-2cccn3n1,17,True,False,True,
CAND_97d10b2bf0,v5_5_pocket_guided,JAK2_79038ef114,COc1cccc2c1Nc1nc3c(-c4ccc(S(C)(=O)=O)cc4)cc(cn3n1)COCSC2,ZCSPCTBPNAVUIE-UHFFFAOYSA-N,True,True,True,482.587,4.2729,94.82,1,8,3,0.4626,4.512,c1ccc(-c2cc3cn4nc(nc24)Nc2ccccc2CSCOC3)cc1,13,True,False,True,
