parent_mol_id,seed_smiles,atom_a,atom_b,anchor_score_a,anchor_score_b,path_bonds,linker_length,target_ring,chemotype,size_probability,chemotype_probability,linker_probability,policy_probability,reward_probability,status,generated_smiles,extracted_linker_smiles,candidate_id,inchikey,known_linker_smiles
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,8.0,16.0,aza,0.650454,0.698076,0.454067,0.454067,0.157482,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,8.0,16.0,diaza,0.650454,0.188689,0.122734,0.122734,0.229686,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,8.0,16.0,aza_oxa,0.650454,0.090856,0.059097,0.059097,0.275733,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,9.0,17.0,aza,0.292905,0.698076,0.20447,0.20447,0.15231,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,9.0,17.0,diaza,0.292905,0.188689,0.055268,0.055268,0.224386,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,9.0,17.0,aza_oxa,0.292905,0.090856,0.026612,0.026612,0.266303,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,7.0,15.0,aza,0.038514,0.698076,0.026886,0.026886,0.153659,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,7.0,15.0,diaza,0.038514,0.188689,0.007267,0.007267,0.232187,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,0.0,0.035574,0.020879,8.0,7.0,15.0,aza_oxa,0.038514,0.090856,0.003499,0.003499,0.28326,rejected_by_reward_model,,,,,
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,25.0,5.0,0.035574,0.017479,7.0,5.0,12.0,aza_oxa,0.521147,0.943495,0.4917,0.4917,0.195269,rejected_by_reward_model,,,,,
