candidate_id,extracted_linker_count,known_linker_count,novel_linker_count,linker_novel,linker_smiles,known_linker_smiles,novel_linker_smiles
CAND_8f58782c4d,15,0,15,True,[25*]COCS[32*];[25*]COC[31*];[28*]OCS[32*];[5*]CSCOC[25*];[5*]CSCO[28*];[5*]CSC[29*];[8*]c1cc(CSCO[28*])ccc1OC;[8*]c1cc(CSC[29*])ccc1OC;[8*]c1cc(CS[30*])ccc1OC;[8*]c1cc(C[31*])ccc1OC;[8*]c1cc([32*])ccc1OC;[9*]Nc1cc(CSC[29*])ccc1OC;[9*]Nc1cc(CS[30*])ccc1OC;[9*]Nc1cc(C[31*])ccc1OC;[9*]Nc1cc([32*])ccc1OC,,[25*]COCS[32*];[25*]COC[31*];[28*]OCS[32*];[5*]CSCOC[25*];[5*]CSCO[28*];[5*]CSC[29*];[8*]c1cc(CSCO[28*])ccc1OC;[8*]c1cc(CSC[29*])ccc1OC;[8*]c1cc(CS[30*])ccc1OC;[8*]c1cc(C[31*])ccc1OC;[8*]c1cc([32*])ccc1OC;[9*]Nc1cc(CSC[29*])ccc1OC;[9*]Nc1cc(CS[30*])ccc1OC;[9*]Nc1cc(C[31*])ccc1OC;[9*]Nc1cc([32*])ccc1OC
CAND_0ea6b3bd67,15,0,15,True,[25*]COCS[32*];[25*]COC[31*];[28*]OCS[32*];[3*]CSCOC[25*];[3*]CSCO[28*];[3*]CSC[29*];[8*]c1cccc(CSCO[28*])c1OC;[8*]c1cccc(CSC[29*])c1OC;[8*]c1cccc(CS[30*])c1OC;[8*]c1cccc(C[31*])c1OC;[8*]c1cccc([32*])c1OC;[9*]Nc1cccc(CSC[29*])c1OC;[9*]Nc1cccc(CS[30*])c1OC;[9*]Nc1cccc(C[31*])c1OC;[9*]Nc1cccc([32*])c1OC,,[25*]COCS[32*];[25*]COC[31*];[28*]OCS[32*];[3*]CSCOC[25*];[3*]CSCO[28*];[3*]CSC[29*];[8*]c1cccc(CSCO[28*])c1OC;[8*]c1cccc(CSC[29*])c1OC;[8*]c1cccc(CS[30*])c1OC;[8*]c1cccc(C[31*])c1OC;[8*]c1cccc([32*])c1OC;[9*]Nc1cccc(CSC[29*])c1OC;[9*]Nc1cccc(CS[30*])c1OC;[9*]Nc1cccc(C[31*])c1OC;[9*]Nc1cccc([32*])c1OC
CAND_0f3be20d2f,19,0,19,True,[25*]CCOCS[33*];[25*]CCOC[32*];[25*]CCO[31*];[28*]COCS[33*];[28*]COC[32*];[29*]OCS[33*];[3*]CSCOCC[25*];[3*]CSCOC[28*];[3*]CSCO[29*];[3*]CSC[30*];[8*]c1cccc(CSCO[29*])c1OC;[8*]c1cccc(CSC[30*])c1OC;[8*]c1cccc(CS[31*])c1OC;[8*]c1cccc(C[32*])c1OC;[8*]c1cccc([33*])c1OC;[9*]Nc1cccc(CSC[30*])c1OC;[9*]Nc1cccc(CS[31*])c1OC;[9*]Nc1cccc(C[32*])c1OC;[9*]Nc1cccc([33*])c1OC,,[25*]CCOCS[33*];[25*]CCOC[32*];[25*]CCO[31*];[28*]COCS[33*];[28*]COC[32*];[29*]OCS[33*];[3*]CSCOCC[25*];[3*]CSCOC[28*];[3*]CSCO[29*];[3*]CSC[30*];[8*]c1cccc(CSCO[29*])c1OC;[8*]c1cccc(CSC[30*])c1OC;[8*]c1cccc(CS[31*])c1OC;[8*]c1cccc(C[32*])c1OC;[8*]c1cccc([33*])c1OC;[9*]Nc1cccc(CSC[30*])c1OC;[9*]Nc1cccc(CS[31*])c1OC;[9*]Nc1cccc(C[32*])c1OC;[9*]Nc1cccc([33*])c1OC
CAND_aba9ac81c8,20,0,20,True,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCN[32*];[27*]COC[31*];[28*]OCN[32*];[5*]CNCOC[27*];[5*]CNCO[28*];[5*]CNC[29*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1cc(CNCO[28*])ccc1OC;[8*]c1cc(CNC[29*])ccc1OC;[8*]c1cc(CN[30*])ccc1OC;[8*]c1cc(C[31*])ccc1OC;[8*]c1cc([32*])ccc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1cc(CNC[29*])ccc1OC;[9*]Nc1cc(CN[30*])ccc1OC;[9*]Nc1cc(C[31*])ccc1OC;[9*]Nc1cc([32*])ccc1OC,,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCN[32*];[27*]COC[31*];[28*]OCN[32*];[5*]CNCOC[27*];[5*]CNCO[28*];[5*]CNC[29*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1cc(CNCO[28*])ccc1OC;[8*]c1cc(CNC[29*])ccc1OC;[8*]c1cc(CN[30*])ccc1OC;[8*]c1cc(C[31*])ccc1OC;[8*]c1cc([32*])ccc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1cc(CNC[29*])ccc1OC;[9*]Nc1cc(CN[30*])ccc1OC;[9*]Nc1cc(C[31*])ccc1OC;[9*]Nc1cc([32*])ccc1OC
CAND_85fbfbf3db,24,0,24,True,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCNC[33*];[27*]COCN[32*];[27*]COC[31*];[28*]OCNC[33*];[28*]OCN[32*];[29*]CNC[33*];[5*]CCNCOC[27*];[5*]CCNCO[28*];[5*]CCNC[29*];[5*]CCN[30*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1cc(CCNC[29*])ccc1OC;[8*]c1cc(CCN[30*])ccc1OC;[8*]c1cc(CC[31*])ccc1OC;[8*]c1cc(C[32*])ccc1OC;[8*]c1cc([33*])ccc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1cc(CCN[30*])ccc1OC;[9*]Nc1cc(CC[31*])ccc1OC;[9*]Nc1cc(C[32*])ccc1OC;[9*]Nc1cc([33*])ccc1OC,,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCNC[33*];[27*]COCN[32*];[27*]COC[31*];[28*]OCNC[33*];[28*]OCN[32*];[29*]CNC[33*];[5*]CCNCOC[27*];[5*]CCNCO[28*];[5*]CCNC[29*];[5*]CCN[30*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1cc(CCNC[29*])ccc1OC;[8*]c1cc(CCN[30*])ccc1OC;[8*]c1cc(CC[31*])ccc1OC;[8*]c1cc(C[32*])ccc1OC;[8*]c1cc([33*])ccc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1cc(CCN[30*])ccc1OC;[9*]Nc1cc(CC[31*])ccc1OC;[9*]Nc1cc(C[32*])ccc1OC;[9*]Nc1cc([33*])ccc1OC
CAND_59b9cb396b,15,0,15,True,[24*]COCN[32*];[24*]COC[31*];[28*]OCN[32*];[4*]CNCOC[24*];[4*]CNCO[28*];[4*]CNC[29*];[8*]c1ccc(CNCO[28*])cc1OC;[8*]c1ccc(CNC[29*])cc1OC;[8*]c1ccc(CN[30*])cc1OC;[8*]c1ccc(C[31*])cc1OC;[8*]c1ccc([32*])cc1OC;[9*]Nc1ccc(CNC[29*])cc1OC;[9*]Nc1ccc(CN[30*])cc1OC;[9*]Nc1ccc(C[31*])cc1OC;[9*]Nc1ccc([32*])cc1OC,,[24*]COCN[32*];[24*]COC[31*];[28*]OCN[32*];[4*]CNCOC[24*];[4*]CNCO[28*];[4*]CNC[29*];[8*]c1ccc(CNCO[28*])cc1OC;[8*]c1ccc(CNC[29*])cc1OC;[8*]c1ccc(CN[30*])cc1OC;[8*]c1ccc(C[31*])cc1OC;[8*]c1ccc([32*])cc1OC;[9*]Nc1ccc(CNC[29*])cc1OC;[9*]Nc1ccc(CN[30*])cc1OC;[9*]Nc1ccc(C[31*])cc1OC;[9*]Nc1ccc([32*])cc1OC
CAND_b11643e912,19,0,19,True,[24*]COCNC[33*];[24*]COCN[32*];[24*]COC[31*];[28*]OCNC[33*];[28*]OCN[32*];[29*]CNC[33*];[4*]CCNCOC[24*];[4*]CCNCO[28*];[4*]CCNC[29*];[4*]CCN[30*];[8*]c1ccc(CCNC[29*])cc1OC;[8*]c1ccc(CCN[30*])cc1OC;[8*]c1ccc(CC[31*])cc1OC;[8*]c1ccc(C[32*])cc1OC;[8*]c1ccc([33*])cc1OC;[9*]Nc1ccc(CCN[30*])cc1OC;[9*]Nc1ccc(CC[31*])cc1OC;[9*]Nc1ccc(C[32*])cc1OC;[9*]Nc1ccc([33*])cc1OC,,[24*]COCNC[33*];[24*]COCN[32*];[24*]COC[31*];[28*]OCNC[33*];[28*]OCN[32*];[29*]CNC[33*];[4*]CCNCOC[24*];[4*]CCNCO[28*];[4*]CCNC[29*];[4*]CCN[30*];[8*]c1ccc(CCNC[29*])cc1OC;[8*]c1ccc(CCN[30*])cc1OC;[8*]c1ccc(CC[31*])cc1OC;[8*]c1ccc(C[32*])cc1OC;[8*]c1ccc([33*])cc1OC;[9*]Nc1ccc(CCN[30*])cc1OC;[9*]Nc1ccc(CC[31*])cc1OC;[9*]Nc1ccc(C[32*])cc1OC;[9*]Nc1ccc([33*])cc1OC
CAND_7c716cbf2c,20,0,20,True,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCN[32*];[27*]COC[31*];[28*]OCN[32*];[4*]CNCOC[27*];[4*]CNCO[28*];[4*]CNC[29*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1ccc(CNCO[28*])cc1OC;[8*]c1ccc(CNC[29*])cc1OC;[8*]c1ccc(CN[30*])cc1OC;[8*]c1ccc(C[31*])cc1OC;[8*]c1ccc([32*])cc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1ccc(CNC[29*])cc1OC;[9*]Nc1ccc(CN[30*])cc1OC;[9*]Nc1ccc(C[31*])cc1OC;[9*]Nc1ccc([32*])cc1OC,,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCN[32*];[27*]COC[31*];[28*]OCN[32*];[4*]CNCOC[27*];[4*]CNCO[28*];[4*]CNC[29*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1ccc(CNCO[28*])cc1OC;[8*]c1ccc(CNC[29*])cc1OC;[8*]c1ccc(CN[30*])cc1OC;[8*]c1ccc(C[31*])cc1OC;[8*]c1ccc([32*])cc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1ccc(CNC[29*])cc1OC;[9*]Nc1ccc(CN[30*])cc1OC;[9*]Nc1ccc(C[31*])cc1OC;[9*]Nc1ccc([32*])cc1OC
CAND_715e53ab6e,24,0,24,True,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCNC[33*];[27*]COCN[32*];[27*]COC[31*];[28*]OCNC[33*];[28*]OCN[32*];[29*]CNC[33*];[4*]CCNCOC[27*];[4*]CCNCO[28*];[4*]CCNC[29*];[4*]CCN[30*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1ccc(CCNC[29*])cc1OC;[8*]c1ccc(CCN[30*])cc1OC;[8*]c1ccc(CC[31*])cc1OC;[8*]c1ccc(C[32*])cc1OC;[8*]c1ccc([33*])cc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1ccc(CCN[30*])cc1OC;[9*]Nc1ccc(CC[31*])cc1OC;[9*]Nc1ccc(C[32*])cc1OC;[9*]Nc1ccc([33*])cc1OC,,[12*]c1ccc(S(C)(=O)=O)cc1CO[30*];[12*]c1ccc(S(C)(=O)=O)cc1C[29*];[12*]c1ccc(S(C)(=O)=O)cc1[28*];[27*]COCNC[33*];[27*]COCN[32*];[27*]COC[31*];[28*]OCNC[33*];[28*]OCN[32*];[29*]CNC[33*];[4*]CCNCOC[27*];[4*]CCNCO[28*];[4*]CCNC[29*];[4*]CCN[30*];[7*]Nc1nc2c([18*])cccn2n1;[8*]c1ccc(CCNC[29*])cc1OC;[8*]c1ccc(CCN[30*])cc1OC;[8*]c1ccc(CC[31*])cc1OC;[8*]c1ccc(C[32*])cc1OC;[8*]c1ccc([33*])cc1OC;[8*]c1nc2c([18*])cccn2n1;[9*]Nc1ccc(CCN[30*])cc1OC;[9*]Nc1ccc(CC[31*])cc1OC;[9*]Nc1ccc(C[32*])cc1OC;[9*]Nc1ccc([33*])cc1OC
CAND_97d10b2bf0,15,0,15,True,[24*]COCS[32*];[24*]COC[31*];[28*]OCS[32*];[6*]CSCOC[24*];[6*]CSCO[28*];[6*]CSC[29*];[8*]c1c(CSCO[28*])cccc1OC;[8*]c1c(CSC[29*])cccc1OC;[8*]c1c(CS[30*])cccc1OC;[8*]c1c(C[31*])cccc1OC;[8*]c1c([32*])cccc1OC;[9*]Nc1c(CSC[29*])cccc1OC;[9*]Nc1c(CS[30*])cccc1OC;[9*]Nc1c(C[31*])cccc1OC;[9*]Nc1c([32*])cccc1OC,,[24*]COCS[32*];[24*]COC[31*];[28*]OCS[32*];[6*]CSCOC[24*];[6*]CSCO[28*];[6*]CSC[29*];[8*]c1c(CSCO[28*])cccc1OC;[8*]c1c(CSC[29*])cccc1OC;[8*]c1c(CS[30*])cccc1OC;[8*]c1c(C[31*])cccc1OC;[8*]c1c([32*])cccc1OC;[9*]Nc1c(CSC[29*])cccc1OC;[9*]Nc1c(CS[30*])cccc1OC;[9*]Nc1c(C[31*])cccc1OC;[9*]Nc1c([32*])cccc1OC
