candidate_id,smiles,sdf_path,status
CAND_e39c68c1d0,FCC=CNC1=NN=C2N=CC(=CC=CO2)C=CC=CC=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_e39c68c1d0.sdf,prepared
CAND_bd9a5bcc10,FNc1ncccccc2ccccc2ocnn1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_bd9a5bcc10.sdf,prepared
CAND_31c1461a1a,CCCN1CCCCN(C=CCl)CCCCCC1=O,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_31c1461a1a.sdf,prepared
CAND_8e1f1bf521,FCOC=CNC1=NN2COc3c(cccc32)C=CC=CC=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_8e1f1bf521.sdf,prepared
CAND_45fd077ab1,CC(C)[C@@H](NC1=NCC=CNC(=O)CN(C)N=CC=C1)C(F)(F)F,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_45fd077ab1.sdf,prepared
CAND_03abc0c2b1,CC[C@H](C1CCCC1)N1C=CC=NC=NCNC=CCC=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_03abc0c2b1.sdf,prepared
CAND_d8ca5c309a,CC1=NC=C(F)C=NN=CN=C(Cl)C=CC(n2cc(C)cn2)N=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_d8ca5c309a.sdf,prepared
CAND_dad5236b95,CC1=CC=CC2=NCN(C3=CC=COCC3)NN2COC=CC=C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_dad5236b95.sdf,prepared
CAND_5bcd4c7daf,CC1=CC=CC=COC2=NNC2(NC=CCl)N=CC=C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_5bcd4c7daf.sdf,prepared
CAND_3404dcdd42,C[C@H]1CC=CC=CN=C(n2cnc3ccncc32)N=CC=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_3404dcdd42.sdf,prepared
CAND_8f55b07da4,FC=CNC1=NNNCOc2ccccc2C=CC=CC=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_8f55b07da4.sdf,prepared
CAND_395a83733f,FNC1N=CC=CC=Cc2ccccc2OCNN=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_395a83733f.sdf,prepared
CAND_d69f8c8d4a,FC1=CC=CNN=C2C=C(C=CC=CO2)NCN=C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_d69f8c8d4a.sdf,prepared
CAND_9b7c0adad8,CCN1C=CC=C2C=CN=CC=CC=C(Cl)C3=NC3(C=C2)NCC1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_9b7c0adad8.sdf,prepared
CAND_67afdb076f,CNC1=NC=NC(N[C@@H](C)c2ccccc2)=CCN=CC(=O)NO1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_67afdb076f.sdf,prepared
CAND_801ac66786,C[C@H]1CC=CC=CCC2(C=Nc3ccncc32)N=C(N(C)C)C=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_801ac66786.sdf,prepared
CAND_962ca21bbb,ClC=CC=CNC1NN2COc3c(cccc32)C=CC=CCS1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_962ca21bbb.sdf,prepared
CAND_68b80f53f9,C[C@H]1C=C(F)C=NC(=N)C=CC=C=C(Nc2cn(C)cn2)CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_68b80f53f9.sdf,prepared
CAND_f3d4556a8b,O=C(Cc1ccccc1)N1CC=Nn2cccc2C2=CCC2C=NCC1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_f3d4556a8b.sdf,prepared
CAND_22d092771b,C[C@H]1CC=C(F)C=NN=C(N2CCOCC2)C=C(Nc2ncc(C#N)s2)N=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_22d092771b.sdf,prepared
CAND_a1d6bc1fc3,CS(=O)(=O)C=CC1=CN2CN=CCC=C=C(S(C)(=O)=O)C=CCN2N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_a1d6bc1fc3.sdf,prepared
CAND_b57d4c3adc,Cn1ncc2c1CC=C1CC(C)(C(F)(F)F)C[CH]NC=NC=C(O2)C(=O)N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_b57d4c3adc.sdf,prepared
CAND_764d7e347a,FC1C=NCNCC=CC=CCCC2NC=NN2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_764d7e347a.sdf,prepared
CAND_f5e0e8639b,O=S1(=O)C=C2C=NC3=NNC=CC(=CC(=C2)C=CC1)C=C(CF)C=CC=CN3,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_f5e0e8639b.sdf,prepared
CAND_cd3f4c17f2,COC1=COCC=C2C=COC1N=C(NC=CC=CCl)C(F)=CN=CN2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_cd3f4c17f2.sdf,prepared
CAND_a5703c232e,CC12C=CC=NC(NCC=CCF)NCOC=CC1=C2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_a5703c232e.sdf,prepared
CAND_8473513606,C[C@H]1CC=CC=CCC2(C=CCC=CN=CN2)N=CC=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_8473513606.sdf,prepared
CAND_a337ce9f82,C[C@@H]1CC=C(Cl)C=CN=CN=C(C2=C3N=CC=CN3C2N=N)C=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_a337ce9f82.sdf,prepared
CAND_f8d207ebf9,O=C1CC=CN=C(NC=C2C=CC(N3CCOCC3)=CO2)N=CC#CC=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_f8d207ebf9.sdf,prepared
CAND_c28d6877ef,O=COCC1=CNC=NC=CC2=NNOC3(N=C13)c1cc(Cl)ccc12,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_c28d6877ef.sdf,prepared
CAND_8644fd175c,FC1=CC2=CC3=CC=CC(CC=C=C3)NN=C(N=C2)NC=CC=C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_8644fd175c.sdf,prepared
CAND_577f2e4a02,CN1C=CNC(=O)CC=NNC=CC(N)=NCC(c2cc(Cl)ccc2Cl)=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_577f2e4a02.sdf,prepared
CAND_7dcbdae80a,NC1OCCCCN(Cl)SCCCN1CCF,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_7dcbdae80a.sdf,prepared
CAND_3d3d2ca880,CS(=O)(=O)n1cnnc(NN=CF)ncccccc2cccnc21,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_3d3d2ca880.sdf,prepared
CAND_f613c77d25,CC1(C)CC(C(=O)NF)C=NC(N)=CCC=CC=CC=CS(=O)(=O)N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_f613c77d25.sdf,prepared
CAND_2f4037447d,C[C@@H](N=C(F)C=N)N1C=NC2C=CC=CC(=N1)N=CN(C)C=CN2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_2f4037447d.sdf,prepared
CAND_445bda5e64,C1=CC=CC=NC=CC2=CC=CN3CCC(N=CO2)NC(C3)N=1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_445bda5e64.sdf,prepared
CAND_cc70ad3aa7,NC1SN2C=CC3=NC2=C1c1cc(ncn1)NCC=CC=C(F)C=C3,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_cc70ad3aa7.sdf,prepared
CAND_2333b40a1e,NC(=O)c1cnc2cc1NCC(F)=CC=CC1(CC1)[C@H](C(F)(F)F)N2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_2333b40a1e.sdf,prepared
CAND_29cf1d90ca,C[C@H]1C=C2C=CCNC(=N2)C2=NCC=CCC=NC(COC2)O1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_29cf1d90ca.sdf,prepared
CAND_efcc99d5da,COC1=C(OC)C23N=C2C(OC=O)=CNC=NC=CC(=C1)C=CO3,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_efcc99d5da.sdf,prepared
CAND_68664579d9,CCC[C@@H]1CC=C(F)C=CCSC2(C=CN1)CCNN1C=CC=NC12,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_68664579d9.sdf,prepared
CAND_b7f89eaaeb,COc1cc2ccc1C=C1C=CC=NC(NC=CC=C(C=O)C1=N)N2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_b7f89eaaeb.sdf,prepared
CAND_a2f01d5a38,O=CNC=CC=c1[nH]c2nc1=CC=CC(F)=CC(O)c1ccc(Cl)c-2c1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_a2f01d5a38.sdf,prepared
CAND_f169596727,C1=CC=NC2=NN(COc3ccccc3C=C1)CN1CCN(CC1)c1cccn12,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_f169596727.sdf,prepared
CAND_bc25cf8d1d,COc1ccccc1-c1ccc2n1NC=C(F)C(N1CCN(C)CC1)=CC=CNCN=C2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_bc25cf8d1d.sdf,prepared
CAND_cd1b05bb61,COc1cc2ccc1C=CC=CC1=NC(NC=CC=C(OC=O)C1=N)N2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_cd1b05bb61.sdf,prepared
CAND_fd6b88bd62,N=C1N=CC=CC(C=C[C@H]2CCCN2)=CC=CNNC1=O,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_fd6b88bd62.sdf,prepared
CAND_ab5598f4f0,ClCCNC1=C=Nn2cccc2C2C=CC(=NN2)NC=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_ab5598f4f0.sdf,prepared
CAND_164da61b83,C=CC1=CC(=CNC(=O)[C@H]2CCCN2)N=CC(N2CCOCC2)=CC=CN=CC=C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_164da61b83.sdf,prepared
CAND_08a3534750,CC(=O)NC=C1C=C(C2=CC=NCNC3=CC=CCNCCOCCC3=N2)C=CC1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_08a3534750.sdf,prepared
CAND_527b0c26f5,CC=CC1=NNC=C2C[C@@H](C=NC=C2F)NC(C#N)(N=CCC)N=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_527b0c26f5.sdf,prepared
CAND_fa2553a110,CC1=NC=C(F)C=NNN=c2cc[nH]c2=C(Nc2cn(C)cn2)N=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_fa2553a110.sdf,prepared
CAND_3fa11742db,C[C@H](ONC1=CN=CC=NNC2=CCC2NC=N1)c1ccc(F)cn1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_3fa11742db.sdf,prepared
CAND_6741d8c72c,C[C@@H]1CC2=NCSC3=C(N=CC3CC(N)=NNC=C2)N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_6741d8c72c.sdf,prepared
CAND_5b2ed42749,CCCC1=CN=CNC=CC(=O)N[C@@H](C(=O)NCCC#N)CC(C)CC1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\CAND_5b2ed42749.sdf,prepared
