candidate_id,smiles,docking_engine,receptor_pdb,grid_center_x,grid_center_y,grid_center_z,grid_size_x,grid_size_y,grid_size_z,best_score,pose_rank,pose_file,pose_image,control_or_generated,notes
CAND_baa376c0dd,C=Cc1ccccc1C(N)C=C1C=NC2=NN1CN1CCN(CC1)c1ccc(cc1F)N2,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-9.186,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_baa376c0dd_vina_out.pdbqt,,generated,parsed
CAND_ab5598f4f0,ClCCNC1=C=Nn2cccc2C2C=CC(=NN2)NC=N1,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.01,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_ab5598f4f0_vina_out.pdbqt,,generated,parsed
CAND_cc70ad3aa7,NC1SN2C=CC3=NC2=C1c1cc(ncn1)NCC=CC=C(F)C=C3,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.648,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_cc70ad3aa7_vina_out.pdbqt,,generated,parsed
CAND_daf82c369e,CC1C=NC=C(F)CN=c2nc(Cl)ccc2=C(NC=C2N=CCCN2)N=CN1,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.584,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_daf82c369e_vina_out.pdbqt,,generated,parsed
CAND_b5d4c77a0b,C=Cc1cccc2[nH]nc(n3[nH]cc(n(CS(C)(=O)=O)c1)N1CCOCC1C=C3)N=C2,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.525,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_b5d4c77a0b_vina_out.pdbqt,,generated,parsed
CAND_d7042ec02b,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)CNCCO3)s1,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.497,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_d7042ec02b_vina_out.pdbqt,,generated,parsed
CAND_2b6e6df8b8,N#CC[C@@H]1C2CCCC2CCNCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.472,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_2b6e6df8b8_vina_out.pdbqt,,generated,parsed
CAND_3d3d2ca880,CS(=O)(=O)n1cnnc(NN=CF)ncccccc2cccnc21,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.396,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_3d3d2ca880_vina_out.pdbqt,,generated,parsed
CAND_fa2553a110,CC1=NC=C(F)C=NNN=c2cc[nH]c2=C(Nc2cn(C)cn2)N=CN1,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.366,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_fa2553a110_vina_out.pdbqt,,generated,parsed
CAND_75476d0578,N#CC[C@@H]1C2CCCC2CCOCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,vina,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.36,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\poses\CAND_75476d0578_vina_out.pdbqt,,generated,parsed
