candidate_id,canonical_smiles,se3_geometry_loss,se3_geometry_confidence,se3_geometry_status
CAND_5152217faa,Fc1cc2cc(F)c1CN1CCOCC1CCCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,12.092066,0.076382,scored
CAND_396f994be3,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CCCC2C1,13.294484,0.069957,scored
CAND_598172bd63,Fc1cc2cc(F)c1CN1CCOCC1CCCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,6.128136,0.140289,scored
CAND_9c6324c16c,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3COCC2C1,11.999246,0.076928,scored
CAND_3c64f44e76,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3COCC2C1,18.912845,0.050219,scored
CAND_d3037c6bbb,Fc1cc2cc(F)c1CN1CCOCC1CNCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,13.51109,0.068913,scored
CAND_dbfbb7d1cf,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3CSCC2C1,7.861243,0.112851,scored
CAND_f134535edd,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CNCC2C1,10.184599,0.089409,scored
CAND_9b2dbc98ed,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CSCC2C1,4.029285,0.198835,scored
CAND_1675c88065,Fc1cc2cc(F)c1CN1CCOC(CNCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,15.186306,0.061781,scored
CAND_c5284988bc,Fc1cc2cc(F)c1CN1CCOC(CSCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,10.078538,0.090265,scored
CAND_c32c4f2b09,Fc1cc2cc(F)c1CN1CCOCC1COCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,13.00635,0.071396,scored
CAND_d26b3db662,Fc1cc2cc(F)c1CN1CCOC(COCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,4.512921,0.181392,scored
CAND_13947fed1a,Fc1cc2cc(F)c1CN1CCOC(CCCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,9.630725,0.094067,scored
CAND_a8aa3f8065,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3CNCC2C1,11.055647,0.082949,scored
CAND_454e8d3cd4,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3CCCC2C1,10.13907,0.089774,scored
CAND_5580e1eed5,Fc1cc2cc(F)c1CN1CCOCC1COCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,11.854824,0.077792,scored
CAND_3b164e0480,Fc1cc2cc(F)c1CN1CCOCC1CNCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,11.793847,0.078163,scored
CAND_9f32e71b10,Fc1cc2cc(F)c1CN1CCOCC1CSCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,12.818078,0.072369,scored
