ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_010738c49b,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_010738c49b.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_010738c49b.pdbqt,36,9,4,CG->C:2;G0->C:2,cleaned
CAND_02bca8d718,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_02bca8d718.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_02bca8d718.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_09deb650c1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_09deb650c1.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_09deb650c1.pdbqt,39,10,4,CG->C:2;G0->C:2,cleaned
CAND_0dab0539d2,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_0dab0539d2.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_0dab0539d2.pdbqt,40,11,4,CG->C:2;G0->C:2,cleaned
CAND_0e55be250e,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_0e55be250e.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_0e55be250e.pdbqt,38,12,4,CG->C:2;G0->C:2,cleaned
CAND_11be2ba7cd,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_11be2ba7cd.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_11be2ba7cd.pdbqt,42,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_13947fed1a,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_13947fed1a.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_13947fed1a.pdbqt,42,8,4,CG->C:2;G0->C:2,cleaned
CAND_1675c88065,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_1675c88065.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_1675c88065.pdbqt,43,8,4,CG->C:2;G0->C:2,cleaned
CAND_1e356c92c8,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_1e356c92c8.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_1e356c92c8.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_1ec7ae5d21,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_1ec7ae5d21.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_1ec7ae5d21.pdbqt,48,10,4,CG->C:2;G0->C:2,cleaned
CAND_1f4eb01ec0,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_1f4eb01ec0.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_1f4eb01ec0.pdbqt,44,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_206c165320,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_206c165320.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_206c165320.pdbqt,43,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
