candidate_id,smiles,docking_engine,receptor_pdb,grid_center_x,grid_center_y,grid_center_z,grid_size_x,grid_size_y,grid_size_z,best_score,pose_rank,pose_file,pose_image,control_or_generated,notes
CAND_3688f8acdc,CN1CCN(c2cc3cc(c2)Nc2nc4c(cccn4n2)-c2ccc(F)c(c2)CSCOC3)CC1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-12.7,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_3688f8acdc_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_8a1aaec84d,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cc2cc(c1)OC1CCN(C1)c1cc(F)nc(c1)CNCOC2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.6,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_8a1aaec84d_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_cd7232c3e5,O=C1NC(=O)C2=C1Nc1cccc(C3CCN(c4ccnc(F)c4)C3)c1COCOCc1ccc3c2c[nH]c3c1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.6,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_cd7232c3e5_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_2395f6bbf3,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cc2cc(c1)C1CCN(C1)c1cc(F)nc(c1)COCOC2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.4,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_2395f6bbf3_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_2d29a49cf1,O=C(/C1=N/N=C/c2cc(O)c(O)c(c2)COCNCc2ccc1cc2)c1ccccc1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.4,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_2d29a49cf1_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_6a1a769c80,Nc1nn2ccc3nc2c1-c1cc(ncn1)N[C@@H]1CCc2cccc(c21)COCNC3,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.4,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_6a1a769c80_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_0fcbc91443,c1cc2nc(n1)Nc1ccc(N3CCOCC3)c(c1)COCNCc1cc3cc-2ccc3[nH]1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.3,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_0fcbc91443_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_35b54cf2d0,C[C@@H]1Nc2cc(-c3cnn(C)c3)nc(n2)-n2cnc3cc(ncc32)COCNCc2ccc1cc2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.2,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_35b54cf2d0_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_3ea11f7096,C[C@@H]1Nc2cc(N3CCN(C)CC3)nc(n2)-n2cnc3cc(ncc32)CNCOCc2cccc1c2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.0,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_3ea11f7096_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_e4ba124c43,O=c1[nH]ccc2c3nc4cc(ncc4c12)CSCSCc1c(-c2ccn[nH]2)cc(Cl)c(c1Cl)N3,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.0,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_e4ba124c43_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_02f70af471,C[C@@H]1Nc2nc(nc3c2cc(C(=O)NS(C)(=O)=O)n3C)-n2cnc3ccnc(c32)CNCOCc2cccc1c2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.8,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_02f70af471_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_3198f64aca,Nc1nn2c3ccnc2c1-c1cc(ncn1)N[C@@H]1CCc2ccc(cc21)CCCC3,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.8,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_3198f64aca_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_41d4e94ffe,C[C@@H]1Nc2nc(-n3cnc4ccncc43)nc3c2cc(n3C)C(=O)N2CCOC(CNCOCc3cccc1c3)C2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.8,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_41d4e94ffe_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_5069130231,C[C@@H]1Nc2cc(N3CCN(C)CC3)nc(n2)-n2cnc3ccnc(c32)COCOCc2cccc1c2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.8,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_5069130231_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_b57d9cfa48,O=C1NC(=O)C2=C1Nc1cc(cc(C3CCN(c4ccnc(F)c4)C3)c1)CNCOCc1ccc3c2c[nH]c3c1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.8,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_b57d9cfa48_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_496377791d,Cc1cc2cc(n1)Nc1sc(cc1C(N)=O)-c1cccc(c1)COCOC2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.7,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_496377791d_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_a385ecc3f2,C[C@@H]1Nc2nc(-n3cnc4ccncc43)nc3c2c(c(C(=O)NS(C)(=O)=O)n3C)COCOCc2cccc1c2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.7,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_a385ecc3f2_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_5eea81b5b7,Nc1nn2ccc3nc2c1-c1cc(ncn1)N[C@@H]1CCc2ccc(cc21)COCNC3,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.6,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_5eea81b5b7_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_677ee4400c,Cn1cc2c(n1)-c1ccc(c(Cl)c1)COCNCc1ccn3ncc(c3n1)C(=O)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.6,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_677ee4400c_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_6c9f919126,N#Cc1ccc2nc3n(c2c1)-c1ncc2[nH]c(=O)n(c2n1)Cc1ccc(c(F)c1F)CNCOC3,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.6,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_6c9f919126_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
CAND_7e8acdf14b,CC[C@H]1Nc2cc(ncn2)-c2c(N)nn3ccc(nc23)CNCOCc2cc1ccc2F,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.6,1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\poses\CAND_7e8acdf14b_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1_fast_screen
