candidate_id,qed,sa_score,mw,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk
CAND_892f0a0b8a,0.266,4.856,481.541,2.7089,116.7,3,8,9,0,True,0.6697,0.571556,1.0,no_major_descriptor_risk
CAND_2d82a3112f,0.4356,3.417,447.587,2.8277,107.14,4,7,9,0,True,0.74602,0.731444,1.0,no_major_descriptor_risk
CAND_8ada73d8e7,0.4854,4.029,521.647,2.3524,125.93,2,8,7,1,True,0.66943,0.663444,1.0,1_lipinski_violations
CAND_bdbcf4400b,0.2971,4.97,533.658,2.9027,129.09,3,7,8,1,True,0.584695,0.558889,1.0,1_lipinski_violations
CAND_3b04a27187,0.5475,3.075,337.88,2.8003,61.14,3,5,3,0,True,0.796375,0.769444,1.0,no_major_descriptor_risk
CAND_d7461075fe,0.477,4.668,546.657,0.9226,138.29,2,8,9,1,True,0.66565,0.592444,1.0,1_lipinski_violations
CAND_cf512c1a59,0.1739,4.554,584.772,1.8181,144.52,5,10,12,1,False,0.446755,0.605111,1.0,1_lipinski_violations;veber_fail
CAND_95aa521837,0.5537,4.412,536.662,2.3093,138.29,2,8,7,1,True,0.700165,0.620889,1.0,1_lipinski_violations
CAND_e20a58fcca,0.4017,5.357,535.674,3.0423,118.09,2,8,9,1,True,0.631765,0.515889,1.0,1_lipinski_violations
CAND_e6133af127,0.1886,2.0,318.851,2.7294,49.74,0,5,6,0,True,0.63487,0.888889,1.0,no_major_descriptor_risk
CAND_bf67072403,0.6004,4.017,420.561,2.6418,86.32,2,6,9,0,True,0.82018,0.664778,1.0,no_major_descriptor_risk
CAND_36309cbbbd,0.1698,5.167,537.63,2.343,129.08,4,8,7,1,True,0.52741,0.537,1.0,1_lipinski_violations
CAND_8cb2979ad0,0.6684,3.041,379.829,0.7696,126.54,3,6,3,0,True,0.85078,0.773222,1.0,no_major_descriptor_risk
CAND_e1abfebd36,0.3066,3.157,468.347,3.8173,130.83,3,7,4,0,True,0.68797,0.760333,1.0,no_major_descriptor_risk
CAND_8584dc54b3,0.5567,3.235,437.308,3.2207,100.52,2,5,4,0,True,0.800515,0.751667,1.0,no_major_descriptor_risk
CAND_84c5759bee,0.4125,3.171,448.291,3.2843,130.83,3,6,3,0,True,0.735625,0.758778,1.0,no_major_descriptor_risk
CAND_d66195d460,0.5224,3.341,456.311,1.0072,146.77,4,7,2,0,False,0.70258,0.739889,1.0,veber_fail
CAND_61a13aa5a3,0.1393,3.319,429.934,0.6157,156.22,5,8,11,0,False,0.530185,0.742333,1.0,veber_fail
CAND_02d78109d0,0.3924,3.274,444.344,1.7633,117.75,2,7,6,0,True,0.72658,0.747333,1.0,no_major_descriptor_risk
CAND_cc393e6d14,0.5941,2.437,361.21,1.9952,92.15,2,5,3,0,True,0.817345,0.840333,1.0,no_major_descriptor_risk
CAND_ce51ba69e3,0.3152,3.149,444.275,2.6702,130.83,3,6,5,0,True,0.69184,0.761222,1.0,no_major_descriptor_risk
CAND_6c76b542f8,0.3727,2.663,424.313,2.3603,113.76,4,5,2,0,True,0.717715,0.815222,1.0,no_major_descriptor_risk
CAND_436049ba6f,0.2114,3.85,435.532,1.413,99.74,3,7,5,0,True,0.64513,0.683333,1.0,no_major_descriptor_risk
CAND_b681ee447e,0.3134,3.195,407.522,2.0169,101.51,4,8,7,0,True,0.69103,0.756111,1.0,no_major_descriptor_risk
CAND_daa71d20f5,0.7791,3.392,429.528,2.9579,67.73,2,8,4,0,True,0.900595,0.734222,1.0,no_major_descriptor_risk
CAND_f29733c56b,0.5629,4.148,430.556,1.7833,86.46,4,6,6,0,True,0.803305,0.650222,1.0,no_major_descriptor_risk
CAND_f45b75400d,0.6527,3.495,416.529,4.1001,69.31,2,6,5,0,True,0.843715,0.722778,1.0,no_major_descriptor_risk
CAND_d5653d80c6,0.8722,3.528,386.499,3.7495,40.1,1,5,3,0,True,0.94249,0.719111,1.0,no_major_descriptor_risk
CAND_b54831aa81,0.6061,3.534,423.586,3.4984,65.64,2,6,9,0,True,0.822745,0.718444,1.0,no_major_descriptor_risk
CAND_962ca21bbb,0.8132,3.575,347.871,3.8031,36.53,2,5,3,0,True,0.91594,0.713889,1.0,no_major_descriptor_risk
CAND_b11c9f0778,0.3719,3.381,427.512,3.8861,70.29,1,7,6,0,True,0.717355,0.735444,1.0,no_major_descriptor_risk
CAND_f36df41b19,0.5798,4.02,416.529,4.2481,78.1,3,6,2,0,True,0.81091,0.664444,1.0,no_major_descriptor_risk
CAND_723862eda4,0.8165,3.464,388.515,3.2662,48.89,2,5,2,0,True,0.917425,0.726222,1.0,no_major_descriptor_risk
CAND_1844a5e7cb,0.5604,2.814,406.534,3.3418,64.49,2,7,6,0,True,0.80218,0.798444,1.0,no_major_descriptor_risk
CAND_1976dc1ded,0.5396,3.533,423.517,2.636,91.61,3,6,9,0,True,0.79282,0.718556,1.0,no_major_descriptor_risk
CAND_b7f89eaaeb,0.7259,3.7,334.379,2.6767,86.57,3,6,2,0,True,0.876655,0.7,1.0,no_major_descriptor_risk
CAND_7d74780f2a,0.433,3.708,351.41,1.743,78.32,2,7,6,0,True,0.74485,0.699111,1.0,no_major_descriptor_risk
CAND_f2c45e07fa,0.1924,3.308,405.458,1.8081,101.87,1,7,4,0,True,0.63658,0.743556,1.0,no_major_descriptor_risk
CAND_62c3a47470,0.5545,3.253,449.536,2.8445,78.76,2,7,4,0,True,0.799525,0.749667,1.0,no_major_descriptor_risk
CAND_94975a67a5,0.6982,4.128,449.536,2.9965,80.99,1,8,5,0,True,0.86419,0.652444,1.0,no_major_descriptor_risk
CAND_6ef33d2db1,0.658,4.239,460.538,3.1083,99.91,2,7,5,0,True,0.8461,0.640111,1.0,no_major_descriptor_risk
CAND_146ee69953,0.7279,3.656,445.523,2.7559,87.55,2,7,5,0,True,0.877555,0.704889,1.0,no_major_descriptor_risk
CAND_39f7040853,0.2855,3.211,410.478,-0.4073,106.8,1,7,7,0,True,0.678475,0.754333,1.0,no_major_descriptor_risk
CAND_38772660c0,0.4281,3.522,421.501,2.8175,100.73,3,6,9,0,True,0.742645,0.719778,1.0,no_major_descriptor_risk
CAND_dd3a7cbff4,0.4175,2.507,382.757,4.5512,74.43,2,3,1,0,True,0.737875,0.832556,1.0,no_major_descriptor_risk
CAND_ac0bf2a6d4,0.6011,2.527,354.812,4.7891,41.13,2,2,2,0,True,0.820495,0.830333,1.0,no_major_descriptor_risk
CAND_aa54f839ab,0.7681,3.06,405.857,3.174,57.78,2,3,4,0,True,0.895645,0.771111,1.0,no_major_descriptor_risk
CAND_ec89e4f93e,0.6943,2.246,371.774,2.3447,57.78,2,2,3,0,True,0.862435,0.861556,1.0,no_major_descriptor_risk
CAND_a18fae3685,0.8297,2.918,357.816,2.6561,57.78,2,2,3,0,True,0.923365,0.786889,1.0,no_major_descriptor_risk
CAND_cc645ecf5d,0.7976,2.688,383.785,2.7935,57.78,2,2,4,0,True,0.90892,0.812444,1.0,no_major_descriptor_risk
CAND_2d74ef7763,0.2729,2.25,271.723,1.7963,67.15,3,3,8,0,True,0.672805,0.861111,1.0,no_major_descriptor_risk
CAND_f327edc232,0.31,2.394,362.339,4.085,87.56,3,3,1,0,True,0.6895,0.845111,1.0,no_major_descriptor_risk
CAND_a135a966b9,0.2228,2.375,272.707,2.4415,50.36,2,3,9,0,True,0.65026,0.847222,1.0,no_major_descriptor_risk
CAND_fb4e8ff7f4,0.5854,2.799,358.775,3.5326,41.13,2,2,2,0,True,0.81343,0.800111,1.0,no_major_descriptor_risk
CAND_bc94024b31,0.3647,3.093,411.799,4.8545,86.79,2,4,2,0,True,0.714115,0.767444,1.0,no_major_descriptor_risk
CAND_83fc16f7dd,0.6018,3.179,427.238,3.9302,76.96,3,5,6,0,True,0.82081,0.757889,1.0,no_major_descriptor_risk
CAND_973c4f8fdf,0.2756,2.25,326.13,1.8055,73.72,3,4,8,0,True,0.67402,0.861111,1.0,no_major_descriptor_risk
CAND_5ac5ceef35,0.456,3.685,428.266,3.8712,62.72,2,4,8,0,True,0.7552,0.701667,1.0,no_major_descriptor_risk
CAND_e15f64d9ad,0.5919,3.44,429.254,4.2341,86.08,3,5,6,0,True,0.816355,0.728889,1.0,no_major_descriptor_risk
CAND_6da3458816,0.1079,3.977,458.296,2.6384,97.78,5,6,11,0,False,0.516055,0.669222,1.0,veber_fail
CAND_8a01aa4ffc,0.1984,3.357,459.28,4.2023,84.31,2,6,12,0,False,0.55678,0.738111,1.0,veber_fail
CAND_3ba88cf515,0.4156,3.71,410.276,3.2605,64.93,2,4,5,0,True,0.73702,0.698889,1.0,no_major_descriptor_risk
CAND_9adbefbda4,0.5975,3.382,396.249,1.3788,57.62,2,5,3,0,True,0.818875,0.735333,1.0,no_major_descriptor_risk
