candidate_id,safety_proxy_score,main_risk
CAND_892f0a0b8a,1.0,no_major_descriptor_risk
CAND_2d82a3112f,1.0,no_major_descriptor_risk
CAND_8ada73d8e7,1.0,1_lipinski_violations
CAND_bdbcf4400b,1.0,1_lipinski_violations
CAND_3b04a27187,1.0,no_major_descriptor_risk
CAND_d7461075fe,1.0,1_lipinski_violations
CAND_cf512c1a59,1.0,1_lipinski_violations;veber_fail
CAND_95aa521837,1.0,1_lipinski_violations
CAND_e20a58fcca,1.0,1_lipinski_violations
CAND_e6133af127,1.0,no_major_descriptor_risk
CAND_bf67072403,1.0,no_major_descriptor_risk
CAND_36309cbbbd,1.0,1_lipinski_violations
CAND_8cb2979ad0,1.0,no_major_descriptor_risk
CAND_e1abfebd36,1.0,no_major_descriptor_risk
CAND_8584dc54b3,1.0,no_major_descriptor_risk
CAND_84c5759bee,1.0,no_major_descriptor_risk
CAND_d66195d460,1.0,veber_fail
CAND_61a13aa5a3,1.0,veber_fail
CAND_02d78109d0,1.0,no_major_descriptor_risk
CAND_cc393e6d14,1.0,no_major_descriptor_risk
CAND_ce51ba69e3,1.0,no_major_descriptor_risk
CAND_6c76b542f8,1.0,no_major_descriptor_risk
CAND_436049ba6f,1.0,no_major_descriptor_risk
CAND_b681ee447e,1.0,no_major_descriptor_risk
CAND_daa71d20f5,1.0,no_major_descriptor_risk
CAND_f29733c56b,1.0,no_major_descriptor_risk
CAND_f45b75400d,1.0,no_major_descriptor_risk
CAND_d5653d80c6,1.0,no_major_descriptor_risk
CAND_b54831aa81,1.0,no_major_descriptor_risk
CAND_962ca21bbb,1.0,no_major_descriptor_risk
CAND_b11c9f0778,1.0,no_major_descriptor_risk
CAND_f36df41b19,1.0,no_major_descriptor_risk
CAND_723862eda4,1.0,no_major_descriptor_risk
CAND_1844a5e7cb,1.0,no_major_descriptor_risk
CAND_1976dc1ded,1.0,no_major_descriptor_risk
CAND_b7f89eaaeb,1.0,no_major_descriptor_risk
CAND_7d74780f2a,1.0,no_major_descriptor_risk
CAND_f2c45e07fa,1.0,no_major_descriptor_risk
CAND_62c3a47470,1.0,no_major_descriptor_risk
CAND_94975a67a5,1.0,no_major_descriptor_risk
CAND_6ef33d2db1,1.0,no_major_descriptor_risk
CAND_146ee69953,1.0,no_major_descriptor_risk
CAND_39f7040853,1.0,no_major_descriptor_risk
CAND_38772660c0,1.0,no_major_descriptor_risk
CAND_dd3a7cbff4,1.0,no_major_descriptor_risk
CAND_ac0bf2a6d4,1.0,no_major_descriptor_risk
CAND_aa54f839ab,1.0,no_major_descriptor_risk
CAND_ec89e4f93e,1.0,no_major_descriptor_risk
CAND_a18fae3685,1.0,no_major_descriptor_risk
CAND_cc645ecf5d,1.0,no_major_descriptor_risk
CAND_2d74ef7763,1.0,no_major_descriptor_risk
CAND_f327edc232,1.0,no_major_descriptor_risk
CAND_a135a966b9,1.0,no_major_descriptor_risk
CAND_fb4e8ff7f4,1.0,no_major_descriptor_risk
CAND_bc94024b31,1.0,no_major_descriptor_risk
CAND_83fc16f7dd,1.0,no_major_descriptor_risk
CAND_973c4f8fdf,1.0,no_major_descriptor_risk
CAND_5ac5ceef35,1.0,no_major_descriptor_risk
CAND_e15f64d9ad,1.0,no_major_descriptor_risk
CAND_6da3458816,1.0,veber_fail
CAND_8a01aa4ffc,1.0,veber_fail
CAND_3ba88cf515,1.0,no_major_descriptor_risk
CAND_9adbefbda4,1.0,no_major_descriptor_risk
CAND_09a8be36ed,1.0,no_major_descriptor_risk
CAND_94c5db3f6e,1.0,no_major_descriptor_risk
CAND_220ce7b9ab,1.0,no_major_descriptor_risk
CAND_b230549669,1.0,no_major_descriptor_risk
CAND_2db098539b,1.0,no_major_descriptor_risk
CAND_fcd1b77bb2,1.0,no_major_descriptor_risk
CAND_91bdb3b904,1.0,no_major_descriptor_risk
CAND_1c0791d79a,1.0,no_major_descriptor_risk
CAND_6cf50e6636,1.0,no_major_descriptor_risk
CAND_87e2e00ede,1.0,no_major_descriptor_risk
CAND_b8508fb54f,1.0,no_major_descriptor_risk
CAND_fe5592637a,1.0,no_major_descriptor_risk
CAND_aa88250717,1.0,no_major_descriptor_risk
CAND_37480bff4b,1.0,no_major_descriptor_risk
