candidate_id,qed,sa_score,mw,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk
CAND_8f58782c4d,0.4626,4.512,482.587,4.2729,94.82,1,8,3,0,True,0.75817,0.609778,1.0,no_major_descriptor_risk
CAND_0ea6b3bd67,0.4626,4.512,482.587,4.2729,94.82,1,8,3,0,True,0.75817,0.609778,1.0,no_major_descriptor_risk
CAND_0f3be20d2f,0.4483,4.59,496.614,4.3154,94.82,1,8,3,0,True,0.751735,0.601111,1.0,no_major_descriptor_risk
CAND_aba9ac81c8,0.4651,4.292,465.535,3.1293,106.85,2,8,2,0,True,0.759295,0.634222,1.0,no_major_descriptor_risk
CAND_85fbfbf3db,0.4516,4.37,479.562,3.1718,106.85,2,8,2,0,True,0.75322,0.625556,1.0,no_major_descriptor_risk
CAND_59b9cb396b,0.4753,4.417,465.535,3.1293,106.85,2,8,3,0,True,0.763885,0.620333,1.0,no_major_descriptor_risk
CAND_b11643e912,0.4615,4.495,479.562,3.1718,106.85,2,8,3,0,True,0.757675,0.611667,1.0,no_major_descriptor_risk
CAND_7c716cbf2c,0.4651,4.292,465.535,3.1293,106.85,2,8,2,0,True,0.759295,0.634222,1.0,no_major_descriptor_risk
CAND_715e53ab6e,0.4516,4.37,479.562,3.1718,106.85,2,8,2,0,True,0.75322,0.625556,1.0,no_major_descriptor_risk
CAND_97d10b2bf0,0.4626,4.512,482.587,4.2729,94.82,1,8,3,0,True,0.75817,0.609778,1.0,no_major_descriptor_risk
CAND_ae3e5b7c5c,0.4483,4.59,496.614,4.3154,94.82,1,8,3,0,True,0.751735,0.601111,1.0,no_major_descriptor_risk
CAND_eee3e9a9b2,0.4526,4.387,482.587,4.2729,94.82,1,8,2,0,True,0.75367,0.623667,1.0,no_major_descriptor_risk
CAND_49672ce1f9,0.4651,4.292,465.535,3.1293,106.85,2,8,2,0,True,0.759295,0.634222,1.0,no_major_descriptor_risk
CAND_fefc918672,0.4516,4.37,479.562,3.1718,106.85,2,8,2,0,True,0.75322,0.625556,1.0,no_major_descriptor_risk
CAND_8a6617e03a,0.5006,4.67,488.592,3.8266,100.64,3,8,2,0,True,0.77527,0.592222,1.0,no_major_descriptor_risk
CAND_f11ff7167e,0.4455,5.197,521.712,5.6868,79.38,2,8,2,2,True,0.552475,0.533667,1.0,2_lipinski_violations
CAND_fd80188ca2,0.4305,5.038,549.766,5.5556,79.38,2,8,2,2,True,0.545725,0.551333,1.0,2_lipinski_violations
