candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes,best_score,qed_admet,sa_score_admet,mw_admet,logp_admet,tpsa_admet,hbd_admet,hba_admet,rotatable_bonds_admet,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk,pose_score,pose_decision,contacts_within_4A,hard_clashes_lt_1_8A,smiles,docking_score,diversity_cluster,docking_score_scaled,novelty_score,final_weighted_score,rank,decision,diverse_rank,selection_tier
CAND_baa376c0dd,selfies,JAK2_364f20ca75,C=Cc1ccccc1C(N)C=C1C=NC2=NN1CN1CCN(CC1)c1ccc(cc1F)N2,BSUZOJRXDIRMHF-UHFFFAOYSA-N,True,True,True,431.519,3.215,72.49,2,7,3,0.7809,4.478,C1=NC2=NN(CN3CCN(CC3)c3ccc(cc3)N2)C1=CCc1ccccc1,13,True,False,True,selfies_token_mutation,-9.186,0.7809,4.478,431.519,3.215,72.49,2,7,3,0,True,0.901405,0.613556,1.0,no_major_descriptor_risk,1.0,pass,651.0,0.0,C=Cc1ccccc1C(N)C=C1C=NC2=NN1CN1CCN(CC1)c1ccc(cc1F)N2,-9.186,scaffold_78b359a6,1.0,1.0,0.922314,1,primary_candidate,1,final_candidate
CAND_ab5598f4f0,selfies,JAK2_725776d8f2,ClCCNC1=C=Nn2cccc2C2C=CC(=NN2)NC=N1,JQBNMSJHQZTBDY-UHFFFAOYSA-N,True,True,True,303.757,0.7362,78.1,3,6,3,0.7207,3.825,C1=CN=CNC2=NNC(C=C2)c2cccn2N=1,12,True,False,True,selfies_token_mutation,-8.01,0.7207,3.825,303.757,0.7362,78.1,3,6,3,0,True,0.874315,0.686111,1.0,no_major_descriptor_risk,1.0,pass,523.0,0.0,ClCCNC1=C=Nn2cccc2C2C=CC(=NN2)NC=N1,-8.01,scaffold_d9e480f6,0.7922261484098939,1.0,0.855059,2,primary_candidate,2,final_candidate
CAND_cc70ad3aa7,selfies,JAK2_02db94a4e8,NC1SN2C=CC3=NC2=C1c1cc(ncn1)NCC=CC=C(F)C=C3,DZPPITDNTKRNJR-UHFFFAOYSA-N,True,True,True,354.414,2.7534,79.43,2,7,0,0.6976,3.475,C1=CC=CC2=NC3=C(CSN3C=C2)c2cc(ncn2)NCC=C1,15,True,False,True,selfies_token_mutation,-7.648,0.6976,3.475,354.414,2.7534,79.43,2,7,0,0,True,0.86392,0.725,1.0,no_major_descriptor_risk,1.0,pass,630.0,0.0,NC1SN2C=CC3=NC2=C1c1cc(ncn1)NCC=CC=C(F)C=C3,-7.648,scaffold_91eb6050,0.728268551236749,1.0,0.836428,3,primary_candidate,3,final_candidate
CAND_daf82c369e,selfies,JAK2_3bd770708d,CC1C=NC=C(F)CN=c2nc(Cl)ccc2=C(NC=C2N=CCCN2)N=CN1,LAHCLFYBEMGRGL-UHFFFAOYSA-N,True,True,True,402.865,0.7746,98.42,3,8,2,0.6364,3.744,C1=CN=CCNC=NC(NC=C2N=CCCN2)=c2cccnc2=NC1,13,True,False,True,selfies_token_mutation,-7.584,0.6364,3.744,402.865,0.7746,98.42,3,8,2,0,True,0.83638,0.695111,1.0,no_major_descriptor_risk,1.0,pass,605.0,0.0,CC1C=NC=C(F)CN=c2nc(Cl)ccc2=C(NC=C2N=CCCN2)N=CN1,-7.584,scaffold_40e60915,0.7169611307420494,1.0,0.822479,4,primary_candidate,4,final_candidate
CAND_3d3d2ca880,selfies,JAK2_bfebc14fe9,CS(=O)(=O)n1cnnc(NN=CF)ncccccc2cccnc21,LTSOPMVUCNEXPU-UHFFFAOYSA-N,True,True,True,363.378,1.6025,115.02,1,8,3,0.6504,3.149,c1ccncnnc[nH]c2ncccc2cc1,13,True,False,True,selfies_token_mutation,-7.396,0.6504,3.149,363.378,1.6025,115.02,1,8,3,0,True,0.84268,0.761222,1.0,no_major_descriptor_risk,1.0,pass,535.0,0.0,CS(=O)(=O)n1cnnc(NN=CF)ncccccc2cccnc21,-7.396,scaffold_f8e3ff1f,0.6837455830388692,1.0,0.82203,5,primary_candidate,5,final_candidate
CAND_b5d4c77a0b,selfies,JAK2_c5ba052617,C=Cc1cccc2[nH]nc(n3[nH]cc(n(CS(C)(=O)=O)c1)N1CCOCC1C=C3)N=C2,FUULXEFZUCPUBC-UHFFFAOYSA-N,True,True,True,443.533,2.1126,113.3,2,6,3,0.7544,4.545,C1=Cn2[nH]cc([nH]cccccc3[nH]nc2N=C3)N2CCOCC12,14,True,False,True,selfies_token_mutation,-7.525,0.7544,4.545,443.533,2.1126,113.3,2,6,3,0,True,0.88948,0.606111,1.0,no_major_descriptor_risk,1.0,pass,703.0,0.0,C=Cc1cccc2[nH]nc(n3[nH]cc(n(CS(C)(=O)=O)c1)N1CCOCC1C=C3)N=C2,-7.525,scaffold_f4434f2d,0.7065371024734983,1.0,0.816101,6,primary_candidate,6,backup_candidate
CAND_a2f01d5a38,selfies,JAK2_8b3014135f,O=CNC=CC=c1[nH]c2nc1=CC=CC(F)=CC(O)c1ccc(Cl)c-2c1,APUNIQXGYNTAHG-UHFFFAOYSA-N,True,True,True,371.799,2.0074,78.01,3,3,3,0.7221,3.696,C=c1[nH]c2nc1=CC=CC=CCc1cccc-2c1,12,True,False,True,selfies_token_mutation,-7.319,0.7221,3.696,371.799,2.0074,78.01,3,3,3,0,True,0.874945,0.700444,1.0,no_major_descriptor_risk,1.0,pass,551.0,0.0,O=CNC=CC=c1[nH]c2nc1=CC=CC(F)=CC(O)c1ccc(Cl)c-2c1,-7.319,scaffold_6c4fe7c0,0.6701413427561838,1.0,0.814605,7,primary_candidate,7,backup_candidate
CAND_fa2553a110,selfies,JAK2_763cf817fa,CC1=NC=C(F)C=NNN=c2cc[nH]c2=C(Nc2cn(C)cn2)N=CN1,HYEBCQDZDXIBTI-UHFFFAOYSA-N,True,True,True,356.369,-0.1032,119.14,4,8,2,0.6005,3.235,C1=CN=CNC=NC(Nc2c[nH]cn2)=c2[nH]ccc2=NNN=C1,14,True,False,True,selfies_token_mutation,-7.366,0.6005,3.235,356.369,-0.1032,119.14,4,8,2,0,True,0.820225,0.751667,1.0,no_major_descriptor_risk,1.0,pass,638.0,0.0,CC1=NC=C(F)C=NNN=c2cc[nH]c2=C(Nc2cn(C)cn2)N=CN1,-7.366,scaffold_9bc8257d,0.6784452296819787,1.0,0.814251,8,primary_candidate,8,backup_candidate
CAND_577f2e4a02,selfies,JAK2_48f4c39175,CN1C=CNC(=O)CC=NNC=CC(N)=NCC(c2cc(Cl)ccc2Cl)=N1,WNGWMOUPHPGITC-UHFFFAOYSA-N,True,True,True,408.293,2.0667,107.47,3,7,1,0.6613,3.149,O=C1CC=NNC=CC=NCC(c2ccccc2)=NNC=CN1,16,True,False,True,selfies_token_mutation,-7.219,0.6613,3.149,408.293,2.0667,107.47,3,7,1,0,True,0.847585,0.761222,1.0,no_major_descriptor_risk,1.0,pass,669.0,0.0,CN1C=CNC(=O)CC=NNC=CC(N)=NCC(c2cc(Cl)ccc2Cl)=N1,-7.219,scaffold_6b73eb83,0.6524734982332157,1.0,0.812066,9,primary_candidate,9,backup_candidate
CAND_bd9a5bcc10,selfies,JAK2_4c13d3aa84,FNc1ncccccc2ccccc2ocnn1,ADBSJDPVMIPLJO-UHFFFAOYSA-N,True,True,True,258.256,3.163,63.84,1,5,1,0.7958,2.825,c1ccncnncoc2ccccc2cc1,13,True,False,True,selfies_token_mutation,-6.899,0.7958,2.825,258.256,3.163,63.84,1,5,1,0,True,0.90811,0.797222,1.0,no_major_descriptor_risk,1.0,pass,424.0,0.0,FNc1ncccccc2ccccc2ocnn1,-6.899,scaffold_51270458,0.5959363957597174,1.0,0.809783,10,primary_candidate,10,backup_candidate
