candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes,best_score,qed_admet,sa_score_admet,mw_admet,logp_admet,tpsa_admet,hbd_admet,hba_admet,rotatable_bonds_admet,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk,pose_score,pose_decision,contacts_within_4A,hard_clashes_lt_1_8A,smiles,docking_score,diversity_cluster,docking_score_scaled,novelty_score,final_weighted_score,rank,decision,diverse_rank,selection_tier
CAND_3d3d2ca880,selfies,JAK2_bfebc14fe9,CS(=O)(=O)n1cnnc(NN=CF)ncccccc2cccnc21,LTSOPMVUCNEXPU-UHFFFAOYSA-N,True,True,True,363.378,1.6025,115.02,1,8,3,0.6504,3.149,c1ccncnnc[nH]c2ncccc2cc1,13,True,False,True,selfies_token_mutation,-7.396,0.6504,3.149,363.378,1.6025,115.02,1,8,3,0,True,0.84268,0.761222,1.0,no_major_descriptor_risk,0.5,,,,CS(=O)(=O)n1cnnc(NN=CF)ncccccc2cccnc21,-7.396,scaffold_f8e3ff1f,0.9805626598465472,1.0,0.850916,1,primary_candidate,1,final_candidate
CAND_a2f01d5a38,selfies,JAK2_8b3014135f,O=CNC=CC=c1[nH]c2nc1=CC=CC(F)=CC(O)c1ccc(Cl)c-2c1,APUNIQXGYNTAHG-UHFFFAOYSA-N,True,True,True,371.799,2.0074,78.01,3,3,3,0.7221,3.696,C=c1[nH]c2nc1=CC=CC=CCc1cccc-2c1,12,True,False,True,selfies_token_mutation,-7.319,0.7221,3.696,371.799,2.0074,78.01,3,3,3,0,True,0.874945,0.700444,1.0,no_major_descriptor_risk,0.5,,,,O=CNC=CC=c1[nH]c2nc1=CC=CC(F)=CC(O)c1ccc(Cl)c-2c1,-7.319,scaffold_6c4fe7c0,0.9608695652173912,1.0,0.84136,2,primary_candidate,2,final_candidate
CAND_2b6e6df8b8,macrocycle_linker,JAK2_0363b39a60,N#CC[C@@H]1C2CCCC2CCNCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,VDQMFHBPWOGLFL-JFUPDXTOSA-N,True,True,True,375.48,3.2283,95.21,2,5,1,0.6808,4.417,c1cc2c3nc(nc2[nH]1)CCNCCC1CCCC1Cn1cc-3cn1,14,True,False,True,macrocycle_bridge_aza_path8_ring13,-7.472,0.6808,4.417,375.48,3.2283,95.21,2,5,1,0,True,0.85636,0.620333,1.0,no_major_descriptor_risk,0.5,,,,N#CC[C@@H]1C2CCCC2CCNCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,-7.472,scaffold_606cf99c,1.0,1.0,0.839322,3,primary_candidate,3,final_candidate
CAND_577f2e4a02,selfies,JAK2_48f4c39175,CN1C=CNC(=O)CC=NNC=CC(N)=NCC(c2cc(Cl)ccc2Cl)=N1,WNGWMOUPHPGITC-UHFFFAOYSA-N,True,True,True,408.293,2.0667,107.47,3,7,1,0.6613,3.149,O=C1CC=NNC=CC=NCC(c2ccccc2)=NNC=CN1,16,True,False,True,selfies_token_mutation,-7.219,0.6613,3.149,408.293,2.0667,107.47,3,7,1,0,True,0.847585,0.761222,1.0,no_major_descriptor_risk,0.5,,,,CN1C=CNC(=O)CC=NNC=CC(N)=NCC(c2cc(Cl)ccc2Cl)=N1,-7.219,scaffold_6b73eb83,0.9352941176470588,1.0,0.836053,4,primary_candidate,4,final_candidate
CAND_5e5838b904,macrocycle_linker,JAK2_050c16628f,Cc1cc(Nc2nc3cnc2CCOCc2nc(ccc2F)[C@H](C)N3)n[nH]1,AOZHMQSZGNXZOR-NSHDSACASA-N,True,True,True,369.404,3.0316,100.64,3,7,2,0.6382,4.008,c1cc2nc(c1)COCCc1ncc(nc1Nc1cc[nH]n1)NC2,13,True,False,True,macrocycle_bridge_oxa_path8_ring12,-7.359,0.6382,4.008,369.404,3.0316,100.64,3,7,2,0,True,0.83719,0.665778,1.0,no_major_descriptor_risk,0.5,,,,Cc1cc(Nc2nc3cnc2CCOCc2nc(ccc2F)[C@H](C)N3)n[nH]1,-7.359,scaffold_4337f475,0.971099744245524,1.0,0.83219,5,primary_candidate,5,final_candidate
CAND_75476d0578,macrocycle_linker,JAK2_0363b39a60,N#CC[C@@H]1C2CCCC2CCOCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,QYDGGBDUYYADAE-JFUPDXTOSA-N,True,True,True,376.464,3.6553,92.41,1,5,1,0.6996,4.422,c1cc2c3nc(nc2[nH]1)CCOCCC1CCCC1Cn1cc-3cn1,14,True,False,True,macrocycle_bridge_oxa_path8_ring13,-7.36,0.6996,4.422,376.464,3.6553,92.41,1,5,1,0,True,0.86482,0.619778,1.0,no_major_descriptor_risk,0.5,,,,N#CC[C@@H]1C2CCCC2CCOCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,-7.36,scaffold_367ff175,0.9713554987212276,1.0,0.830905,6,primary_candidate,6,backup_candidate
CAND_7dce99bd6a,selfies,JAK2_8953307114,O=C(C=CC=C1C=CC#CONC(NC=CCl)=NCC=CC=C1)N1CCOCC1,PTSBDGPGWXSPBV-UHFFFAOYSA-N,True,True,True,414.893,2.1477,75.19,2,6,3,0.5464,3.436,O=C(C=CC=C1C=CC#CONC=NCC=CC=C1)N1CCOCC1,14,True,False,True,selfies_token_mutation,-7.285,0.5464,3.436,414.893,2.1477,75.19,2,6,3,0,True,0.79588,0.729333,1.0,no_major_descriptor_risk,0.5,,,,O=C(C=CC=C1C=CC#CONC(NC=CCl)=NCC=CC=C1)N1CCOCC1,-7.285,scaffold_0fd555ef,0.9521739130434782,1.0,0.826837,7,primary_candidate,7,backup_candidate
CAND_1450c465bc,macrocycle_linker,JAK2_0363b39a60,N#CC[C@@H]1C2CCCC2CCCCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,QIXOLEJZBZMQDB-GXOAENINSA-N,True,True,True,374.492,4.809,83.18,1,4,1,0.6624,4.411,c1cc2c3nc(nc2[nH]1)CCCCCC1CCCC1Cn1cc-3cn1,14,True,False,True,macrocycle_bridge_alkyl_path8_ring13,-7.348,0.6624,4.411,374.492,4.809,83.18,1,4,1,0,True,0.84808,0.621,1.0,no_major_descriptor_risk,0.5,,,,N#CC[C@@H]1C2CCCC2CCCCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,-7.348,scaffold_f5f19feb,0.9682864450127876,1.0,0.826666,8,primary_candidate,8,backup_candidate
CAND_101875c1e6,macrocycle_linker,JAK2_0363b39a60,N#CC[C@@H]1C2CCCC2COCNCc2nc(c3cc[nH]c3n2)-c2cnn1c2,ROZNGROZQMHHMM-PUJMQQBBSA-N,True,True,True,377.452,2.7698,104.44,2,6,1,0.6756,4.428,c1cc2c3nc(nc2[nH]1)CNCOCC1CCCC1Cn1cc-3cn1,14,True,False,True,macrocycle_bridge_oxa_aza_path8_ring13,-7.277,0.6756,4.428,377.452,2.7698,104.44,2,6,1,0,True,0.85402,0.619111,1.0,no_major_descriptor_risk,0.5,,,,N#CC[C@@H]1C2CCCC2COCNCc2nc(c3cc[nH]c3n2)-c2cnn1c2,-7.277,scaffold_9c383230,0.9501278772378516,1.0,0.821215,9,primary_candidate,9,backup_candidate
CAND_164da61b83,selfies,JAK2_1509a7bf44,C=CC1=CC(=CNC(=O)[C@H]2CCCN2)N=CC(N2CCOCC2)=CC=CN=CC=C1,IIMJEUVTCVKTHU-JOCHJYFZSA-N,True,True,True,407.518,2.2496,78.32,2,6,4,0.7493,4.02,O=C(NC=C1C=CC=CC=NC=CC=C(N2CCOCC2)C=N1)[C@H]1CCCN1,13,True,False,True,selfies_token_mutation,-7.103,0.7493,4.02,407.518,2.2496,78.32,2,6,4,0,True,0.887185,0.664444,1.0,no_major_descriptor_risk,0.5,,,,C=CC1=CC(=CNC(=O)[C@H]2CCCN2)N=CC(N2CCOCC2)=CC=CN=CC=C1,-7.103,scaffold_4073b921,0.905626598465473,1.0,0.819073,10,primary_candidate,10,backup_candidate
CAND_5ca47dbfbb,macrocycle_linker,JAK2_eb0f359259,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)COCCO3)s1,OIHKOJWIWWAURC-JTQLQIEISA-N,True,True,True,403.443,2.9963,106.97,2,10,2,0.6675,3.997,c1cc2nc(n1)CNc1nc(Nc3nccs3)cc(n1)OCCOC2,13,True,False,True,macrocycle_bridge_oxa_path9_ring12,-7.152,0.6675,3.997,403.443,2.9963,106.97,2,10,2,0,True,0.850375,0.667,1.0,no_major_descriptor_risk,0.5,,,,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)COCCO3)s1,-7.152,scaffold_94351de0,0.918158567774936,1.0,0.81648,11,primary_candidate,11,backup_candidate
