candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes,best_score,qed_admet,sa_score_admet,mw_admet,logp_admet,tpsa_admet,hbd_admet,hba_admet,rotatable_bonds_admet,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk,pose_score,pose_decision,contacts_within_4A,hard_clashes_lt_1_8A,smiles,docking_score,diversity_cluster,docking_score_scaled,novelty_score,final_weighted_score,rank,decision,diverse_rank,selection_tier
CAND_3688f8acdc,v5_5_pocket_guided,JAK2_85fd848de0,CN1CCN(c2cc3cc(c2)Nc2nc4c(cccn4n2)-c2ccc(F)c(c2)CSCOC3)CC1,XKHPINUHYPWYRA-UHFFFAOYSA-N,True,True,True,490.608,4.7517,57.93,1,7,1,0.4132,4.306,c1cc2cc(c1)-c1cccn3nc(nc13)Nc1cc(cc(N3CCNCC3)c1)COCSC2,16,True,False,True,,-12.7,0.4132,4.306,490.608,4.7517,57.93,1,7,1,0,True,0.73594,0.632667,1.0,no_major_descriptor_risk,1.0,pass,509.0,0.0,CN1CCN(c2cc3cc(c2)Nc2nc4c(cccn4n2)-c2ccc(F)c(c2)CSCOC3)CC1,-12.7,scaffold_0bbf63a0,1.0,1.0,0.892088,1,primary_candidate,1,final_candidate
CAND_496377791d,v5_5_pocket_guided,JAK2_b9143a07c2,Cc1cc2cc(n1)Nc1sc(cc1C(N)=O)-c1cccc(c1)COCOC2,NWFWEOFLXPWCMX-UHFFFAOYSA-N,True,True,True,381.457,3.9653,86.47,2,6,1,0.6661,3.5,c1cc2cc(c1)-c1ccc(s1)Nc1cc(ccn1)COCOC2,15,True,False,True,,-10.7,0.6661,3.5,381.457,3.9653,86.47,2,6,1,0,True,0.849745,0.722222,1.0,no_major_descriptor_risk,1.0,pass,526.0,0.0,Cc1cc2cc(n1)Nc1sc(cc1C(N)=O)-c1cccc(c1)COCOC2,-10.7,scaffold_499bf1ff,0.7647058823529411,1.0,0.845929,2,primary_candidate,2,final_candidate
CAND_2d29a49cf1,v5_5_pocket_guided,JAK2_05f74b5037,O=C(/C1=N/N=C/c2cc(O)c(O)c(c2)COCNCc2ccc1cc2)c1ccccc1,HFSGJWLZTNGOQI-AVUVYENUSA-N,True,True,True,415.449,3.3812,103.51,3,7,2,0.4398,4.014,O=C(/C1=N/N=C/c2cccc(c2)COCNCc2ccc1cc2)c1ccccc1,16,True,False,True,,-11.4,0.4398,4.014,415.449,3.3812,103.51,3,7,2,0,True,0.74791,0.665111,1.0,no_major_descriptor_risk,1.0,pass,783.0,0.0,O=C(/C1=N/N=C/c2cc(O)c(O)c(c2)COCNCc2ccc1cc2)c1ccccc1,-11.4,scaffold_e33f483b,0.8470588235294118,1.0,0.845819,3,primary_candidate,3,final_candidate
CAND_6a1a769c80,v5_5_pocket_guided,JAK2_52e2aaf803,Nc1nn2ccc3nc2c1-c1cc(ncn1)N[C@@H]1CCc2cccc(c21)COCNC3,NUWSAFNFZTWKEP-MRXNPFEDSA-N,True,True,True,414.473,2.4452,115.28,3,8,0,0.4019,4.008,c1cc2c3c(c1)COCNCc1ccn4ncc(c4n1)-c1cc(ncn1)N[C@@H]3CC2,16,True,False,True,,-11.4,0.4019,4.008,414.473,2.4452,115.28,3,8,0,0,True,0.730855,0.665778,1.0,no_major_descriptor_risk,1.0,pass,559.0,0.0,Nc1nn2ccc3nc2c1-c1cc(ncn1)N[C@@H]1CCc2cccc(c21)COCNC3,-11.4,scaffold_d95d7f6a,0.8470588235294118,1.0,0.842508,4,primary_candidate,4,final_candidate
CAND_0fcbc91443,v5_5_pocket_guided,JAK2_a02e005f3d,c1cc2nc(n1)Nc1ccc(N3CCOCC3)c(c1)COCNCc1cc3cc-2ccc3[nH]1,ZBVJJMKGXXDPEM-UHFFFAOYSA-N,True,True,True,442.523,3.7824,87.33,3,7,1,0.4135,4.039,c1cc2nc(n1)Nc1ccc(N3CCOCC3)c(c1)COCNCc1cc3cc-2ccc3[nH]1,17,True,False,True,,-11.3,0.4135,4.039,442.523,3.7824,87.33,3,7,1,0,True,0.736075,0.662333,1.0,no_major_descriptor_risk,0.92,pass,664.0,1.0,c1cc2nc(n1)Nc1ccc(N3CCOCC3)c(c1)COCNCc1cc3cc-2ccc3[nH]1,-11.3,scaffold_0fcbc914,0.8352941176470589,1.0,0.826918,5,primary_candidate,5,final_candidate
CAND_35b54cf2d0,v5_5_pocket_guided,JAK2_dea7048134,C[C@@H]1Nc2cc(-c3cnn(C)c3)nc(n2)-n2cnc3cc(ncc32)COCNCc2ccc1cc2,CCOPCBQKJNRAJA-INIZCTEOSA-N,True,True,True,467.537,3.3614,107.6,2,8,1,0.3865,4.428,c1cc2ccc1CNCOCc1cc3ncn(c3cn1)-c1nc(cc(-c3cn[nH]c3)n1)NC2,19,True,False,True,,-11.2,0.3865,4.428,467.537,3.3614,107.6,2,8,1,0,True,0.723925,0.619111,1.0,no_major_descriptor_risk,1.0,pass,382.0,0.0,C[C@@H]1Nc2cc(-c3cnn(C)c3)nc(n2)-n2cnc3cc(ncc32)COCNCc2ccc1cc2,-11.2,scaffold_0f573b57,0.8235294117647057,1.0,0.825887,6,primary_candidate,6,backup_candidate
CAND_3198f64aca,v5_5_pocket_guided,JAK2_52e2aaf803,Nc1nn2c3ccnc2c1-c1cc(ncn1)N[C@@H]1CCc2ccc(cc21)CCCC3,ACEXWFKYJJAXGD-GOSISDBHSA-N,True,True,True,397.486,3.7467,94.02,2,6,0,0.4693,3.914,c1nc2cc(n1)-c1cnn3c(ccnc13)CCCCc1ccc3c(c1)[C@@H](CC3)N2,16,True,False,True,,-10.8,0.4693,3.914,397.486,3.7467,94.02,2,6,0,0,True,0.761185,0.676222,1.0,no_major_descriptor_risk,1.0,pass,749.0,0.0,Nc1nn2c3ccnc2c1-c1cc(ncn1)N[C@@H]1CCc2ccc(cc21)CCCC3,-10.8,scaffold_7347de76,0.7764705882352941,1.0,0.825435,7,primary_candidate,7,backup_candidate
CAND_3ea11f7096,v5_5_pocket_guided,JAK2_3ef5e26b1b,C[C@@H]1Nc2cc(N3CCN(C)CC3)nc(n2)-n2cnc3cc(ncc32)CNCOCc2cccc1c2,ZRQKLBWEVOWVCL-SFHVURJKSA-N,True,True,True,485.596,2.7127,96.26,2,9,1,0.4218,4.528,c1cc2cc(c1)COCNCc1cc3ncn(c3cn1)-c1nc(cc(N3CCNCC3)n1)NC2,18,True,False,True,,-11.0,0.4218,4.528,485.596,2.7127,96.26,2,9,1,0,True,0.73981,0.608,1.0,no_major_descriptor_risk,1.0,pass,564.0,0.0,C[C@@H]1Nc2cc(N3CCN(C)CC3)nc(n2)-n2cnc3cc(ncc32)CNCOCc2cccc1c2,-11.0,scaffold_832d5239,0.7999999999999999,1.0,0.819162,8,primary_candidate,8,backup_candidate
CAND_677ee4400c,v5_5_pocket_guided,JAK2_b64ffa805a,Cn1cc2c(n1)-c1ccc(c(Cl)c1)COCNCc1ccn3ncc(c3n1)C(=O)N2,BOCDWFSOOQHYDK-UHFFFAOYSA-N,True,True,True,423.864,2.6128,98.37,2,6,0,0.4509,3.81,O=C1Nc2c[nH]nc2-c2ccc(cc2)COCNCc2ccn3ncc1c3n2,17,True,False,True,,-10.6,0.4509,3.81,423.864,2.6128,98.37,2,6,0,0,True,0.752905,0.687778,1.0,no_major_descriptor_risk,1.0,pass,534.0,0.0,Cn1cc2c(n1)-c1ccc(c(Cl)c1)COCNCc1ccn3ncc(c3n1)C(=O)N2,-10.6,scaffold_65ac2f97,0.7529411764705882,1.0,0.817277,9,primary_candidate,9,backup_candidate
CAND_5069130231,v5_5_pocket_guided,JAK2_3ef5e26b1b,C[C@@H]1Nc2cc(N3CCN(C)CC3)nc(n2)-n2cnc3ccnc(c32)COCOCc2cccc1c2,MGEZOVFBODUKOI-SFHVURJKSA-N,True,True,True,486.58,3.1397,93.46,1,9,1,0.4355,4.534,c1cc2cc(c1)COCOCc1nccc3ncn(c13)-c1nc(cc(N3CCNCC3)n1)NC2,16,True,False,True,,-10.8,0.4355,4.534,486.58,3.1397,93.46,1,9,1,0,True,0.745975,0.607333,1.0,no_major_descriptor_risk,1.0,pass,608.0,0.0,C[C@@H]1Nc2cc(N3CCN(C)CC3)nc(n2)-n2cnc3ccnc(c32)COCOCc2cccc1c2,-10.8,scaffold_2c4b8aa7,0.7764705882352941,1.0,0.81206,10,primary_candidate,10,backup_candidate
