rank,candidate_id,smiles,image_path,status
1,CAND_baa376c0dd,C=Cc1ccccc1C(N)C=C1C=NC2=NN1CN1CCN(CC1)c1ccc(cc1F)N2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_baa376c0dd.png,rendered
2,CAND_ab5598f4f0,ClCCNC1=C=Nn2cccc2C2C=CC(=NN2)NC=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_ab5598f4f0.png,rendered
3,CAND_cc70ad3aa7,NC1SN2C=CC3=NC2=C1c1cc(ncn1)NCC=CC=C(F)C=C3,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_cc70ad3aa7.png,rendered
4,CAND_daf82c369e,CC1C=NC=C(F)CN=c2nc(Cl)ccc2=C(NC=C2N=CCCN2)N=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_daf82c369e.png,rendered
5,CAND_3d3d2ca880,CS(=O)(=O)n1cnnc(NN=CF)ncccccc2cccnc21,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_3d3d2ca880.png,rendered
6,CAND_b5d4c77a0b,C=Cc1cccc2[nH]nc(n3[nH]cc(n(CS(C)(=O)=O)c1)N1CCOCC1C=C3)N=C2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_b5d4c77a0b.png,rendered
7,CAND_a2f01d5a38,O=CNC=CC=c1[nH]c2nc1=CC=CC(F)=CC(O)c1ccc(Cl)c-2c1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_a2f01d5a38.png,rendered
8,CAND_fa2553a110,CC1=NC=C(F)C=NNN=c2cc[nH]c2=C(Nc2cn(C)cn2)N=CN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_fa2553a110.png,rendered
9,CAND_577f2e4a02,CN1C=CNC(=O)CC=NNC=CC(N)=NCC(c2cc(Cl)ccc2Cl)=N1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_577f2e4a02.png,rendered
10,CAND_bd9a5bcc10,FNc1ncccccc2ccccc2ocnn1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_bd9a5bcc10.png,rendered
11,CAND_d7042ec02b,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)CNCCO3)s1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_d7042ec02b.png,rendered
12,CAND_2b6e6df8b8,N#CC[C@@H]1C2CCCC2CCNCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_2b6e6df8b8.png,rendered
13,CAND_bc25cf8d1d,COc1ccccc1-c1ccc2n1NC=C(F)C(N1CCN(C)CC1)=CC=CNCN=C2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_bc25cf8d1d.png,rendered
14,CAND_f3d4556a8b,O=C(Cc1ccccc1)N1CC=Nn2cccc2C2=CCC2C=NCC1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_f3d4556a8b.png,rendered
15,CAND_5e5838b904,Cc1cc(Nc2nc3cnc2CCOCc2nc(ccc2F)[C@H](C)N3)n[nH]1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_5e5838b904.png,rendered
16,CAND_75476d0578,N#CC[C@@H]1C2CCCC2CCOCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_75476d0578.png,rendered
17,CAND_7dce99bd6a,O=C(C=CC=C1C=CC#CONC(NC=CCl)=NCC=CC=C1)N1CCOCC1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_7dce99bd6a.png,rendered
18,CAND_1450c465bc,N#CC[C@@H]1C2CCCC2CCCCCc2nc(c3cc[nH]c3n2)-c2cnn1c2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_1450c465bc.png,rendered
19,CAND_164da61b83,C=CC1=CC(=CNC(=O)[C@H]2CCCN2)N=CC(N2CCOCC2)=CC=CN=CC=C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_164da61b83.png,rendered
20,CAND_c62f51e470,CC1=CCNC=NCN2CCN(C(=O)Cc3ccccc3F)CC2=NNC=CC=CNN1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\molecule_images\CAND_c62f51e470.png,rendered
