rank,pocket_guided_rank,candidate_id,selection_tier,decision,pocket_guided_decision,best_score,final_weighted_score,pocket_guided_final_score,pose_decision,pose_score,pose_score_with_pocket_electronics,pocket_electronic_fit_score,electrostatic_score,hbond_score,hydrophobic_score,aromatic_score,hbond_opportunity_pairs,hydrophobic_contacts,aromatic_contacts,pocket_fit_decision,contacts_within_4A,hard_clashes_lt_1_8A,se3_geometry_loss,se3_geometry_confidence,se3_geometry_status,admet_score,synthesis_score,safety_proxy_score,qed,sa_score,mw,logp,tpsa,lipinski_violations,veber_pass,max_ring_size,main_risk,canonical_smiles,molecule_image
1,1,CAND_5152217faa,final_candidate,primary_candidate,primary_candidate,-11.4,0.860718,0.848047,pass,1.0,0.911404,0.803121,0.659994,0.934783,0.642857,0.932773,43,63,111,pass,822.0,0.0,12.092066,0.076382,scored,0.608005,0.594111,1.0,0.3489,4.653,530.623,4.9019,68.1,1,True,18,1_lipinski_violations,Fc1cc2cc(F)c1CN1CCOCC1CCCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\01_CAND_5152217faa.png
2,2,CAND_396f994be3,final_candidate,primary_candidate,primary_candidate,-11.4,0.844347,0.83934,pass,1.0,0.919715,0.821589,0.661405,0.949153,0.710744,0.947368,56,86,144,pass,936.0,0.0,13.294484,0.069957,scored,0.58132,0.520556,1.0,0.2896,5.315,604.727,4.5403,82.53,1,True,20,1_lipinski_violations,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CCCC2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\02_CAND_396f994be3.png
3,3,CAND_598172bd63,final_candidate,primary_candidate,primary_candidate,-11.3,0.844002,0.836707,pass,1.0,0.914878,0.810841,0.664226,0.914286,0.692982,0.939394,32,79,124,pass,790.0,0.0,6.128136,0.140289,scored,0.60679,0.538556,1.0,0.3462,5.153,530.623,4.9738,68.1,1,True,19,1_lipinski_violations,Fc1cc2cc(F)c1CN1CCOCC1CCCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\03_CAND_598172bd63.png
4,4,CAND_9c6324c16c,final_candidate,primary_candidate,primary_candidate,-11.3,0.842709,0.835274,pass,1.0,0.914011,0.808914,0.664165,0.914286,0.678899,0.949045,32,74,149,pass,780.0,0.0,11.999246,0.076928,scored,0.592075,0.549556,1.0,0.3135,5.054,557.645,4.5934,53.96,1,True,20,1_lipinski_violations,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3COCC2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\04_CAND_9c6324c16c.png
5,5,CAND_3c64f44e76,final_candidate,primary_candidate,primary_candidate,-11.3,0.836861,0.831833,pass,1.0,0.916303,0.814007,0.665162,0.943396,0.675926,0.943262,50,73,133,pass,869.0,0.0,18.912845,0.050219,scored,0.585505,0.519333,1.0,0.2989,5.326,606.699,3.3866,91.76,1,True,20,1_lipinski_violations,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3COCC2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\05_CAND_3c64f44e76.png
8,6,CAND_d3037c6bbb,backup_candidate,primary_candidate,primary_candidate,-10.9,0.812604,0.810671,pass,1.0,0.911719,0.803819,0.662577,0.916667,0.663462,0.927273,33,69,102,pass,823.0,0.0,13.51109,0.068913,scored,0.61309,0.537889,1.0,0.3602,5.159,531.611,3.3931,80.13,1,True,19,1_lipinski_violations,Fc1cc2cc(F)c1CN1CCOCC1CNCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\08_CAND_d3037c6bbb.png
10,7,CAND_dbfbb7d1cf,backup_candidate,primary_candidate,primary_candidate,-11.2,0.807922,0.806859,pass,1.0,0.911391,0.803091,0.666949,0.896552,0.663462,0.949045,26,69,149,pass,816.0,0.0,7.861243,0.112851,scored,0.47917,0.522444,1.0,0.2826,5.298,573.713,5.31,44.73,2,True,20,2_lipinski_violations,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3CSCC2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\10_CAND_dbfbb7d1cf.png
7,8,CAND_f134535edd,backup_candidate,primary_candidate,primary_candidate,-11.0,0.814857,0.804604,pass,1.0,0.895713,0.768252,0.666093,0.944444,0.666667,0.947712,51,70,145,review,925.0,0.0,10.184599,0.089409,scored,0.59716,0.519889,1.0,0.3248,5.321,605.715,2.9596,94.56,1,True,20,1_lipinski_violations,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CNCC2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\07_CAND_f134535edd.png
9,9,CAND_9b2dbc98ed,backup_candidate,primary_candidate,primary_candidate,-11.0,0.809978,0.800517,pass,1.0,0.895137,0.766972,0.662731,0.928571,0.681818,0.94702,39,75,143,review,955.0,0.0,4.029285,0.198835,scored,0.5806,0.509444,1.0,0.288,5.415,622.767,4.1032,82.53,1,True,20,1_lipinski_violations,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CSCC2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\09_CAND_9b2dbc98ed.png
6,10,CAND_1675c88065,backup_candidate,primary_candidate,primary_candidate,-11.0,0.824937,0.799081,pass,1.0,0.868334,0.707408,0.665857,0.945455,0.611111,0.901235,52,55,73,review,894.0,0.0,15.186306,0.061781,scored,0.613225,0.565667,1.0,0.3605,4.909,531.611,3.3212,80.13,1,True,19,1_lipinski_violations,Fc1cc2cc(F)c1CN1CCOC(CNCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\molecule_images\06_CAND_1675c88065.png
