fragment_id,mol_id,macrocycle_smiles,core_smiles,linker_smiles,macrocycle_ring_size,linker_heavy_atoms,core_heavy_atoms,linker_max_ring_size,bond_a,bond_b,anchor_atom_indices,notes
FRAG_6653015397,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[2*]C=CCOCc1cccc(-c2ccnc(Nc3ccc(N4CCNCC4)c([4*])c3)n2)c1,[1*]COC[5*],18,3,30,0,1,4,1;5,largest_ring_two_bond_fragmentation
FRAG_a0ab864e2d,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[1*]COCc1cc(Nc2nccc([24*])n2)ccc1N1CCNCC1,[2*]C=CCOCc1cccc([22*])c1,18,11,22,6,1,23,2;22,largest_ring_two_bond_fragmentation
FRAG_7fa757b9b5,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[1*]COCc1cc(Nc2nccc(-c3cccc([30*])c3)n2)ccc1N1CCNCC1,[2*]C=CCOC[28*],18,5,28,0,1,29,2;28,largest_ring_two_bond_fragmentation
FRAG_9ef14e5f29,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[1*]COCc1cc(Nc2nccc(-c3cccc(C[31*])c3)n2)ccc1N1CCNCC1,[2*]C=CCO[30*],18,4,29,0,1,30,2;30,largest_ring_two_bond_fragmentation
FRAG_67a3ac2095,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[1*]COCc1cc(Nc2nccc(-c3cccc(CO[32*])c3)n2)ccc1N1CCNCC1,[2*]C=CC[31*],18,3,30,0,1,31,2;31,largest_ring_two_bond_fragmentation
FRAG_72e7fa6c1a,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[2*]OCc1cc(Nc2nccc([24*])n2)ccc1N1CCNCC1,[3*]CC=CCOCc1cccc([22*])c1,18,12,21,6,2,23,3;22,largest_ring_two_bond_fragmentation
FRAG_a7916827ad,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[2*]OCc1cc(Nc2nccc(-c3cccc([30*])c3)n2)ccc1N1CCNCC1,[3*]CC=CCOC[28*],18,6,27,0,2,29,3;28,largest_ring_two_bond_fragmentation
FRAG_1ff0ca69f6,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[2*]OCc1cc(Nc2nccc(-c3cccc(C[31*])c3)n2)ccc1N1CCNCC1,[3*]CC=CCO[30*],18,5,28,0,2,30,3;30,largest_ring_two_bond_fragmentation
FRAG_90a6cced96,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[2*]OCc1cc(Nc2nccc(-c3cccc(CO[32*])c3)n2)ccc1N1CCNCC1,[3*]CC=CC[31*],18,4,29,0,2,31,3;31,largest_ring_two_bond_fragmentation
FRAG_64457f5a90,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,*COCc1cccc(-c2ccnc(Nc3ccc(N4CCNCC4)c(CO[2*])c3)n2)c1,[3*]CC=C[32*],18,3,30,0,2,32,3;32,largest_ring_two_bond_fragmentation
FRAG_d67c064bec,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[3*]Cc1cc(Nc2nccc(-c3cccc([30*])c3)n2)ccc1N1CCNCC1,[4*]OCC=CCOC[28*],18,7,26,0,3,29,4;28,largest_ring_two_bond_fragmentation
FRAG_4107d86178,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[3*]Cc1cc(Nc2nccc(-c3cccc(C[31*])c3)n2)ccc1N1CCNCC1,[4*]OCC=CCO[30*],18,6,27,0,3,30,4;30,largest_ring_two_bond_fragmentation
FRAG_32f7ad0718,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[3*]Cc1cc(Nc2nccc(-c3cccc(CO[32*])c3)n2)ccc1N1CCNCC1,[4*]OCC=CC[31*],18,5,28,0,3,31,4;31,largest_ring_two_bond_fragmentation
FRAG_c16882ae4d,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,*COCc1cccc(-c2ccnc(Nc3ccc(N4CCNCC4)c(C[3*])c3)n2)c1,[4*]OCC=C[32*],18,4,29,0,3,32,4;32,largest_ring_two_bond_fragmentation
FRAG_310f8f96a1,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[5*]COCC=CCOCc1cccc(-c2ccnc(N[7*])n2)c1,[4*]c1cc([17*])ccc1N1CCNCC1,18,12,21,6,4,16,4;17,largest_ring_two_bond_fragmentation
FRAG_4af7ac37db,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[4*]c1cc(Nc2nccc(-c3cccc([30*])c3)n2)ccc1N1CCNCC1,[5*]COCC=CCOC[28*],18,8,25,0,4,29,5;28,largest_ring_two_bond_fragmentation
FRAG_e58eb51403,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[4*]c1cc(Nc2nccc(-c3cccc(C[31*])c3)n2)ccc1N1CCNCC1,[5*]COCC=CCO[30*],18,7,26,0,4,30,5;30,largest_ring_two_bond_fragmentation
FRAG_813f08e79f,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[4*]c1cc(Nc2nccc(-c3cccc(CO[32*])c3)n2)ccc1N1CCNCC1,[5*]COCC=CC[31*],18,6,27,0,4,31,5;31,largest_ring_two_bond_fragmentation
FRAG_9bc89ee2d8,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,*COCc1cccc(-c2ccnc(Nc3ccc(N4CCNCC4)c([4*])c3)n2)c1,[5*]COCC=C[32*],18,5,28,0,4,32,5;32,largest_ring_two_bond_fragmentation
FRAG_95b9cdb402,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[17*]c1ccc(N2CCNCC2)c(COCC=CCOCc2cccc([22*])c2)c1,[7*]Nc1nccc([24*])n1,18,7,26,6,16,23,7;24,largest_ring_two_bond_fragmentation
FRAG_a6913ff5b4,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[18*]Nc1ccc(N2CCNCC2)c(COCC=CCOCc2cccc([22*])c2)c1,[17*]c1nccc([24*])n1,18,6,27,6,17,23,17;24,largest_ring_two_bond_fragmentation
FRAG_5a1ed73588,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[18*]Nc1ccc(N2CCNCC2)c(COCC=CCOC[28*])c1,[17*]c1nccc(-c2cccc([30*])c2)n1,18,12,21,6,17,29,17;30,largest_ring_two_bond_fragmentation
FRAG_f31d6fd340,JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,[24*]c1ccnc(Nc2ccc(N3CCNCC3)c(COCC=CCOC[28*])c2)n1,[22*]c1cccc([30*])c1,18,6,27,6,23,29,22;30,largest_ring_two_bond_fragmentation
