epoch,train_loss,val_loss,train_exact_accuracy,train_within_one_accuracy,val_exact_accuracy,val_within_one_accuracy,val_mae_atoms
1,2.6319775581359863,2.5707454681396484,0.072693,0.195713,0.072165,0.214433,3.610309
2,2.5905749797821045,2.5405309200286865,0.073625,0.201771,0.070103,0.212371,3.591753
3,2.5572309494018555,2.511253833770752,0.074091,0.215284,0.070103,0.218557,3.556701
4,2.526704788208008,2.4829745292663574,0.076421,0.214818,0.072165,0.228866,3.478351
5,2.5030078887939453,2.4557278156280518,0.082479,0.223206,0.072165,0.228866,3.441237
6,2.4735231399536133,2.4295639991760254,0.083411,0.227866,0.074227,0.239175,3.385567
7,2.444629430770874,2.404513359069824,0.086207,0.241845,0.084536,0.247423,3.296907
8,2.4134676456451416,2.3806257247924805,0.082479,0.246039,0.084536,0.261856,3.214433
9,2.388770580291748,2.3579392433166504,0.09739,0.257223,0.090722,0.274227,3.150516
10,2.3767824172973633,2.336479663848877,0.095061,0.273532,0.092784,0.278351,3.051547
11,2.3516080379486084,2.3162853717803955,0.108574,0.287978,0.107216,0.305155,2.931959
12,2.3246450424194336,2.297377347946167,0.115098,0.308947,0.117526,0.331959,2.77732
13,2.304070234298706,2.279775619506836,0.133737,0.342964,0.123711,0.342268,2.694845
14,2.2937536239624023,2.2634949684143066,0.138863,0.359739,0.152577,0.385567,2.494845
15,2.2688260078430176,2.248539924621582,0.143523,0.361603,0.158763,0.391753,2.408247
16,2.261232852935791,2.234896421432495,0.143523,0.38164,0.16701,0.420619,2.292783
17,2.2379157543182373,2.222567081451416,0.175676,0.405871,0.173196,0.426804,2.245361
18,2.2257237434387207,2.2115159034729004,0.173346,0.416589,0.16701,0.424742,2.251546
19,2.2112529277801514,2.201704740524292,0.188257,0.43849,0.175258,0.430928,2.216495
20,2.2013986110687256,2.1930935382843018,0.180336,0.425443,0.189691,0.445361,2.076289
21,2.1937828063964844,2.1856210231781006,0.190587,0.439422,0.195876,0.45567,2.0
22,2.183502674102783,2.1792173385620117,0.201771,0.448276,0.214433,0.474227,1.952577
23,2.1733109951019287,2.1738009452819824,0.210158,0.456664,0.22268,0.484536,1.929897
24,2.1735284328460693,2.169285297393799,0.208295,0.453402,0.224742,0.494845,1.905155
25,2.1672117710113525,2.1655781269073486,0.213886,0.45014,0.218557,0.482474,1.950516
26,2.16705584526062,2.162571430206299,0.220876,0.45014,0.22268,0.507217,1.934021
