epoch,train_loss,val_loss,train_exact_accuracy,train_within_one_accuracy,val_exact_accuracy,val_within_one_accuracy,val_mae_atoms
1,2.302999258041382,2.3007562160491943,0.095893,0.28317,0.101399,0.277885,2.820049
2,2.300930976867676,2.2991085052490234,0.104835,0.282482,0.126685,0.232319,4.24477
3,2.2991065979003906,2.2976813316345215,0.131662,0.250484,0.1263,0.231293,4.254011
4,2.2974016666412354,2.2964725494384766,0.132809,0.240854,0.1263,0.231293,4.254011
5,2.296029567718506,2.2954823970794678,0.132809,0.240803,0.1263,0.231293,4.254011
6,2.2946321964263916,2.2947065830230713,0.132809,0.240803,0.1263,0.231293,4.254011
7,2.293630361557007,2.2941412925720215,0.132809,0.240803,0.1263,0.231293,4.254011
8,2.292914867401123,2.2937724590301514,0.132809,0.240803,0.1263,0.231293,4.254011
9,2.2923386096954346,2.2935755252838135,0.132809,0.240803,0.1263,0.231293,4.254011
10,2.2919294834136963,2.293511390686035,0.132809,0.240803,0.1263,0.231293,4.254011
11,2.2916598320007324,2.293527364730835,0.132809,0.240803,0.1263,0.231293,4.254011
12,2.2915499210357666,2.293562412261963,0.132809,0.240803,0.1263,0.231293,4.254011
13,2.2913968563079834,2.2935593128204346,0.132809,0.240803,0.1263,0.231293,4.254011
14,2.291459560394287,2.2934770584106445,0.132809,0.240803,0.1263,0.231293,4.254011
15,2.291123867034912,2.293294906616211,0.132809,0.240803,0.1263,0.231293,4.254011
16,2.2910261154174805,2.293010711669922,0.132809,0.240803,0.1263,0.231293,4.254011
17,2.2907729148864746,2.292637586593628,0.132809,0.240803,0.1263,0.231293,4.254011
18,2.290391683578491,2.2921996116638184,0.132809,0.240803,0.1263,0.231293,4.254011
19,2.2899270057678223,2.2917184829711914,0.132809,0.240803,0.1263,0.231293,4.254011
20,2.2895398139953613,2.2912185192108154,0.132809,0.240803,0.1263,0.231293,4.254011
21,2.2892873287200928,2.290717124938965,0.132809,0.240803,0.1263,0.231293,4.254011
22,2.2888100147247314,2.290226459503174,0.132809,0.240803,0.1263,0.231293,4.254011
23,2.2883450984954834,2.2897534370422363,0.132809,0.240803,0.1263,0.231293,4.254011
24,2.2878735065460205,2.2892985343933105,0.132809,0.240803,0.1263,0.231293,4.254011
25,2.2874255180358887,2.288860559463501,0.132809,0.240803,0.1263,0.231293,4.254011
26,2.2869725227355957,2.2884318828582764,0.132809,0.240803,0.1263,0.231293,4.254011
27,2.2867276668548584,2.2880091667175293,0.132809,0.240803,0.1263,0.231293,4.254011
28,2.2864391803741455,2.287585973739624,0.132809,0.240828,0.1263,0.231293,4.254011
29,2.2860286235809326,2.287156581878662,0.132809,0.240803,0.1263,0.231293,4.254011
30,2.2857303619384766,2.2867159843444824,0.132834,0.240828,0.1263,0.231293,4.254011
31,2.285160541534424,2.2862610816955566,0.132859,0.240803,0.1263,0.231293,4.254011
32,2.284674882888794,2.285790205001831,0.132809,0.240854,0.1263,0.231293,4.253755
33,2.284367799758911,2.285303831100464,0.132859,0.240905,0.1263,0.231293,4.253113
34,2.283907890319824,2.284801959991455,0.132834,0.240879,0.1263,0.231293,4.252214
35,2.283327579498291,2.2842838764190674,0.132859,0.240981,0.1263,0.231293,4.251059
36,2.2828307151794434,2.2837507724761963,0.133063,0.24116,0.1263,0.231293,4.250931
37,2.2823269367218018,2.2832014560699463,0.132987,0.241313,0.1263,0.231293,4.249647
38,2.281836748123169,2.282634973526001,0.133089,0.241516,0.126428,0.232191,4.247209
39,2.2811083793640137,2.2820491790771484,0.133063,0.242051,0.126428,0.232191,4.246695
40,2.2804195880889893,2.2814416885375977,0.133318,0.242688,0.127326,0.232319,4.244385
41,2.279768705368042,2.280810594558716,0.133726,0.243402,0.126428,0.232961,4.244385
42,2.2791574001312256,2.2801527976989746,0.134082,0.245058,0.12707,0.233218,4.240663
43,2.2787420749664307,2.279466390609741,0.134515,0.246535,0.126556,0.234116,4.232191
44,2.277998924255371,2.2787511348724365,0.135433,0.248981,0.126941,0.236812,4.213195
45,2.2773382663726807,2.2780070304870605,0.13635,0.25265,0.128482,0.239635,4.190605
46,2.276550769805908,2.2772345542907715,0.13742,0.256216,0.12938,0.243743,4.154024
47,2.275815486907959,2.2764341831207275,0.13928,0.26121,0.130279,0.247593,4.120139
48,2.2750329971313477,2.2756059169769287,0.140044,0.266228,0.133102,0.254524,4.06084
49,2.2741236686706543,2.2747511863708496,0.142133,0.2714,0.134899,0.261712,4.002567
50,2.2736074924468994,2.2738730907440186,0.143585,0.276674,0.135669,0.265178,3.964061
51,2.272671699523926,2.272974729537964,0.144986,0.281565,0.139135,0.272494,3.8995
52,2.271756410598755,2.2720582485198975,0.144833,0.283756,0.139392,0.274163,3.885252
53,2.271038293838501,2.271125078201294,0.14654,0.288342,0.138236,0.274548,3.878065
54,2.270155429840088,2.270179033279419,0.146413,0.289157,0.139648,0.280323,3.853678
55,2.2692458629608154,2.2692196369171143,0.146209,0.291527,0.139777,0.283917,3.837633
56,2.2687883377075195,2.2682502269744873,0.147483,0.294202,0.14183,0.287126,3.816712
57,2.267719268798828,2.267270565032959,0.146515,0.296138,0.140804,0.289308,3.803491
58,2.2668957710266113,2.2662832736968994,0.146693,0.297743,0.140547,0.290848,3.797202
59,2.2661285400390625,2.265287160873413,0.147254,0.298864,0.140162,0.29226,3.776409
60,2.2648773193359375,2.264282703399658,0.147534,0.301131,0.141445,0.296624,3.744706
61,2.2644543647766113,2.263273000717163,0.146973,0.301895,0.14106,0.29855,3.734437
62,2.263324499130249,2.262258291244507,0.148069,0.304392,0.142215,0.30086,3.70774
63,2.2625503540039062,2.2612433433532715,0.147254,0.305819,0.140932,0.30086,3.695675
64,2.2613747119903564,2.260227680206299,0.147534,0.307016,0.140804,0.301373,3.684636
65,2.260544538497925,2.259211301803589,0.14868,0.310303,0.141702,0.304582,3.658195
66,2.2596445083618164,2.2581968307495117,0.148196,0.309258,0.141702,0.305096,3.648184
67,2.2588913440704346,2.2571887969970703,0.147661,0.311296,0.142087,0.307919,3.628161
68,2.2583653926849365,2.2561895847320557,0.147305,0.311347,0.143242,0.310743,3.604159
69,2.257575273513794,2.255199909210205,0.147024,0.311194,0.144397,0.313824,3.573226
70,2.2565693855285645,2.2542221546173096,0.147738,0.313717,0.144397,0.312283,3.571557
71,2.255807876586914,2.2532620429992676,0.148298,0.314532,0.145553,0.315236,3.547298
72,2.255436897277832,2.252317428588867,0.147636,0.314481,0.144654,0.316519,3.537929
73,2.254612922668457,2.2513928413391113,0.146922,0.315041,0.145167,0.317032,3.520344
74,2.253324270248413,2.250485897064209,0.148145,0.317462,0.145167,0.317032,3.519317
75,2.2529189586639404,2.2495968341827393,0.1484,0.317614,0.145424,0.318573,3.50276
76,2.2520694732666016,2.2487270832061768,0.147483,0.316392,0.146323,0.317546,3.50122
77,2.251302480697632,2.2478725910186768,0.148527,0.318837,0.147221,0.315877,3.498396
78,2.250882387161255,2.247040033340454,0.148426,0.318761,0.147735,0.316134,3.498396
79,2.2497971057891846,2.2462267875671387,0.148961,0.319627,0.14735,0.316647,3.496085
80,2.249727725982666,2.245436191558838,0.150489,0.319856,0.149018,0.317546,3.484662
81,2.249116897583008,2.2446722984313965,0.149419,0.32034,0.149018,0.318059,3.479399
82,2.248098850250244,2.243928909301758,0.148833,0.320697,0.148376,0.317289,3.469388
