candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes
CAND_010738c49b,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,GDOIQDMSOKVZOZ-WAPNNBGYSA-N,True,True,True,419.489,0.8418,126.8,3,6,1,0.6287,4.661,O=C1N[C@H](C2CC2)C(=O)N2CCCC2CNCC2(CC2)c2cnc3[nH]cc1c3n2,14,True,False,True,"v5_3_model_guided_anchor_pair=19-4;anchor_scores=0.822,0.678;linker_length=3;target_ring=13;linker_prob=0.234;chemotype=aza"
CAND_39922498ce,v5_3_model_guided_macrocycle,JAK2_69b6c7ad6e,N#C[C@@H]1CC2CCSCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,OMSGOIUFNVYNMF-BZELLKQSSA-N,True,True,True,464.595,2.7656,114.77,2,6,1,0.6707,4.912,O=C1N[C@H](C2CC2)C(=O)N2CCCC2CCSCCC2(CC2)c2cnc3[nH]cc1c3n2,16,True,False,True,"v5_3_model_guided_anchor_pair=19-4;anchor_scores=0.822,0.678;linker_length=5;target_ring=15;linker_prob=0.208;chemotype=thioether"
CAND_d4292dc600,v5_3_model_guided_macrocycle,JAK2_9dcdbe0544,N#C[C@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,GDOIQDMSOKVZOZ-ZYFOBHMOSA-N,True,True,True,419.489,0.8418,126.8,3,6,1,0.6287,4.661,O=C1N[C@H](C2CC2)C(=O)N2CCCC2CNCC2(CC2)c2cnc3[nH]cc1c3n2,14,True,False,True,"v5_3_model_guided_anchor_pair=19-4;anchor_scores=0.822,0.678;linker_length=3;target_ring=13;linker_prob=0.234;chemotype=aza"
CAND_d64ce6b1c6,v5_3_model_guided_macrocycle,JAK2_9dcdbe0544,N#C[C@H]1CC2CCSCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,OMSGOIUFNVYNMF-WDOBJEIGSA-N,True,True,True,464.595,2.7656,114.77,2,6,1,0.6707,4.912,O=C1N[C@H](C2CC2)C(=O)N2CCCC2CCSCCC2(CC2)c2cnc3[nH]cc1c3n2,16,True,False,True,"v5_3_model_guided_anchor_pair=19-4;anchor_scores=0.822,0.678;linker_length=5;target_ring=15;linker_prob=0.208;chemotype=thioether"
CAND_6070893978,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC12CCSCSCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,BESUWSJWCLCXGQ-QGZVFWFLSA-N,True,True,True,482.635,2.6777,114.77,2,7,1,0.6421,4.512,O=C1N[C@H](C2CC2)C(=O)N2CC(CCSCSCC3(CC3)c3cnc4[nH]cc1c4n3)C2,18,True,False,True,"v5_3_model_guided_anchor_pair=2-18;anchor_scores=0.822,0.822;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=dithio"
CAND_f55787df7e,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3(CCSCSCC12)CC3,YZCNUIHUNBZCJJ-JFUPDXTOSA-N,True,True,True,482.635,2.6761,114.77,2,7,1,0.6421,5.012,O=C1N[C@H](C2CC2)C(=O)N2CCC2CSCSCCC2(CC2)c2cnc3[nH]cc1c3n2,17,True,False,True,"v5_3_model_guided_anchor_pair=18-3;anchor_scores=0.822,0.678;linker_length=6;target_ring=16;linker_prob=0.214;chemotype=dithio"
CAND_7182aeebbe,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC12CCSCSCC3CC3c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,KDTVLBMKLJZAHS-JTTJXQCZSA-N,True,True,True,482.635,2.7496,114.77,2,7,1,0.6422,5.012,O=C1N[C@H](C2CC2)C(=O)N2CC(CCSCSCC3CC3c3cnc4[nH]cc1c4n3)C2,19,True,False,True,"v5_3_model_guided_anchor_pair=2-19;anchor_scores=0.822,0.678;linker_length=6;target_ring=18;linker_prob=0.192;chemotype=dithio"
CAND_97cfbe11a6,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCOCCC12,MJOYEQDQTDABSY-KBZRGSMASA-N,True,True,True,449.515,0.8878,136.03,3,7,1,0.5881,5.078,O=C1N[C@H](C2CC2)C(=O)N2CCC2CCOCNCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=3-19;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=oxa_aza"
CAND_f92f63a6e7,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCOCCC12,BSUGRCDXJNQAOB-KBZRGSMASA-N,True,True,True,466.567,2.0314,124.0,2,7,1,0.6589,5.173,O=C1N[C@H](C2CC2)C(=O)N2CCC2CCOCSCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=3-19;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=oxa_thio"
CAND_f791c67046,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCNCCC12,LTXQZDMWCNTMDO-KBZRGSMASA-N,True,True,True,448.531,0.4608,138.83,4,7,1,0.497,5.072,O=C1N[C@H](C2CC2)C(=O)N2CCC2CCNCNCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=3-19;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=diaza"
CAND_dcecb2fddf,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCNCCC12,BBYSRCZNSGUKJR-KBZRGSMASA-N,True,True,True,465.583,1.6044,126.8,3,7,1,0.5838,5.167,O=C1N[C@H](C2CC2)C(=O)N2CCC2CCNCSCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=3-19;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=aza_thio"
CAND_6d0b874fc6,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCOCCC12,WMQPFIOCDDPMJW-KBZRGSMASA-N,True,True,True,450.499,1.3148,133.23,2,7,1,0.6692,5.083,O=C1N[C@H](C2CC2)C(=O)N2CCC2CCOCOCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=3-19;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=dioxa"
CAND_264cb0add9,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCSCCC12,VLMVJIRACYCOIE-KBZRGSMASA-N,True,True,True,482.635,2.748,114.77,2,7,1,0.6422,5.262,O=C1N[C@H](C2CC2)C(=O)N2CCC2CCSCSCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=3-19;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=dithio"
CAND_bc782172c0,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCNCCC12,IYPGKXVUQUUGRF-KBZRGSMASA-N,True,True,True,449.515,0.8878,136.03,3,7,1,0.5881,5.078,O=C1N[C@H](C2CC2)C(=O)N2CCC2CCNCOCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=3-19;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=aza_oxa"
CAND_f1cb16f7db,v5_3_model_guided_macrocycle,JAK2_c385760536,N#CC1CN2C(=O)[C@@H](C3CC3)NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCSCSCC12,ZZEXKZJYDYFEKX-KBZRGSMASA-N,True,True,True,482.635,2.748,114.77,2,7,1,0.6422,5.262,O=C1N[C@H](C2CC2)C(=O)N2CCC2CSCSCCC2CC2c2cnc3[nH]cc1c3n2,18,True,False,True,"v5_3_model_guided_anchor_pair=19-26;anchor_scores=0.678,0.678;linker_length=6;target_ring=17;linker_prob=0.209;chemotype=dithio"
CAND_c66cd3748e,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCSCC2(CC2)N1,ZWHWVIMHBMHWRL-UHFFFAOYSA-N,True,True,True,485.639,3.2454,110.96,4,7,0,0.3868,4.404,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCSCC2(CC2)N1,19,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=5;target_ring=18;linker_prob=0.200;chemotype=dithio"
CAND_13c040e55e,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2COCOCC2(CC2)N1,WVFMKADWPAWJJN-UHFFFAOYSA-N,True,True,True,453.503,1.8122,129.42,4,7,0,0.4085,4.225,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2COCOCC2(CC2)N1,19,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=5;target_ring=18;linker_prob=0.200;chemotype=dioxa"
CAND_801fd28e9c,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCNCC2(CC2)N1,FRCVHFWSOBOQND-UHFFFAOYSA-N,True,True,True,468.587,2.1018,122.99,5,7,0,0.3424,4.309,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCNCC2(CC2)N1,19,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=5;target_ring=18;linker_prob=0.200;chemotype=aza_thio"
CAND_397236a282,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCOCC2(CC2)N1,WYCSPRQRBGCLBX-UHFFFAOYSA-N,True,True,True,469.571,2.5288,120.19,4,7,0,0.3993,4.314,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCOCC2(CC2)N1,19,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=5;target_ring=18;linker_prob=0.200;chemotype=oxa_thio"
CAND_09deb650c1,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCSCCC2(CC2)N1,DDGKEEUOWIFBMV-UHFFFAOYSA-N,True,True,True,467.599,3.3349,110.96,4,6,0,0.4036,4.303,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCSCCC2(CC2)N1,19,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=5;target_ring=18;linker_prob=0.200;chemotype=thioether"
CAND_841eb7c5fb,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2COCNCC2(CC2)N1,VOEGWHADONWYTR-UHFFFAOYSA-N,True,True,True,452.519,1.3852,132.22,5,7,0,0.3482,4.22,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2COCNCC2(CC2)N1,19,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=5;target_ring=18;linker_prob=0.200;chemotype=aza_oxa"
CAND_9135a8a32f,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCOCCC2(CC2)N1,AALRPCVXUALVSG-UHFFFAOYSA-N,True,True,True,483.598,2.9189,120.19,4,7,0,0.388,4.392,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCOCCC2(CC2)N1,20,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=6;target_ring=19;linker_prob=0.167;chemotype=oxa_thio"
CAND_3127611afb,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2COCNCCC2(CC2)N1,MYZDHRQVMIDAIA-UHFFFAOYSA-N,True,True,True,466.546,1.7753,132.22,5,7,0,0.3411,4.297,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2COCNCCC2(CC2)N1,20,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=6;target_ring=19;linker_prob=0.167;chemotype=aza_oxa"
CAND_2c6487f65c,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCSCCC2(CC2)N1,JMSRYZPRKFHRSX-UHFFFAOYSA-N,True,True,True,499.666,3.6355,110.96,4,7,0,0.3737,4.481,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCSCCC2(CC2)N1,20,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=6;target_ring=19;linker_prob=0.167;chemotype=dithio"
CAND_e15d377ff6,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCNCCC2(CC2)N1,WWNRPPPZCPDGMJ-UHFFFAOYSA-N,True,True,True,482.614,2.4919,122.99,5,7,0,0.3336,4.387,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CSCNCCC2(CC2)N1,20,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=6;target_ring=19;linker_prob=0.167;chemotype=aza_thio"
CAND_f4705e122e,v5_3_model_guided_macrocycle,JAK2_dbe7510318,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCSCCCC2(CC2)N1,VJOULSRJDRNRML-UHFFFAOYSA-N,True,True,True,481.626,3.725,110.96,4,6,0,0.3895,4.381,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCSCCCC2(CC2)N1,20,True,False,True,"v5_3_model_guided_anchor_pair=25-16;anchor_scores=0.822,0.678;linker_length=6;target_ring=19;linker_prob=0.167;chemotype=thioether"
