candidate_id,smiles,sdf_path,status
CAND_5a164fb16c,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_5a164fb16c.sdf,prepared
CAND_d7295004a0,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_d7295004a0.sdf,prepared
CAND_49e76c18fa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_49e76c18fa.sdf,prepared
CAND_f14ad9ba35,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_f14ad9ba35.sdf,prepared
CAND_c71340cdb2,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_c71340cdb2.sdf,prepared
CAND_492981f42f,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_492981f42f.sdf,prepared
CAND_38de1fc846,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_38de1fc846.sdf,prepared
CAND_584cb6401d,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_584cb6401d.sdf,prepared
CAND_010738c49b,N#C[C@@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_010738c49b.sdf,prepared
CAND_1e356c92c8,N#C[C@@H]1CC2COCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\ligands_sdf\CAND_1e356c92c8.sdf,prepared
