candidate_id,smiles,docking_engine,receptor_pdb,grid_center_x,grid_center_y,grid_center_z,grid_size_x,grid_size_y,grid_size_z,best_score,pose_rank,pose_file,pose_image,control_or_generated,notes
CAND_010738c49b,N#C[C@@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.7,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_010738c49b_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_02bca8d718,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.5,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_02bca8d718_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_09deb650c1,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCSCCC2(CC2)N1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.7,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_09deb650c1_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_0dab0539d2,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCCCCCC2(CC2)N1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.5,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_0dab0539d2_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_0e55be250e,N#CC12CCOCNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_0e55be250e_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_11be2ba7cd,C1=C2\CCCC3CCCN3CCOc3ccc(cc3COC2)Nc2nccc(n2)-c2ccc(s2)COC/1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.0,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_11be2ba7cd_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_13947fed1a,Fc1cc2cc(F)c1CN1CCOC(CCCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.7,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_13947fed1a_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_1675c88065,Fc1cc2cc(F)c1CN1CCOC(CNCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.0,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_1675c88065_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_1e356c92c8,N#C[C@@H]1CC2COCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_1e356c92c8_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_1ec7ae5d21,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)C(CCCC3(CC3)[C@H](C(F)(F)F)N2)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-9.2,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_1ec7ae5d21_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
