candidate_id,qed,sa_score,mw,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk
CAND_5a164fb16c,0.705,5.006,436.541,1.8429,114.77,2,6,1,0,True,0.86725,0.554889,1.0,no_major_descriptor_risk
CAND_d7295004a0,0.6245,4.911,419.489,0.6993,126.8,3,6,1,0,True,0.831025,0.565444,1.0,no_major_descriptor_risk
CAND_49e76c18fa,0.7373,4.906,418.501,2.28,114.77,2,5,1,0,True,0.881785,0.566,1.0,no_major_descriptor_risk
CAND_f14ad9ba35,0.7126,4.917,420.473,1.1263,124.0,2,6,1,0,True,0.87067,0.564778,1.0,no_major_descriptor_risk
CAND_c71340cdb2,0.7175,4.917,420.473,1.3423,124.0,2,6,1,0,True,0.872875,0.564778,1.0,no_major_descriptor_risk
CAND_492981f42f,0.6308,4.911,419.489,0.9153,126.8,3,6,1,0,True,0.83386,0.565444,1.0,no_major_descriptor_risk
CAND_38de1fc846,0.7072,5.006,436.541,2.0589,114.77,2,6,1,0,True,0.86824,0.554889,1.0,no_major_descriptor_risk
CAND_584cb6401d,0.7384,4.906,418.501,2.496,114.77,2,5,1,0,True,0.88228,0.566,1.0,no_major_descriptor_risk
CAND_010738c49b,0.6287,4.661,419.489,0.8418,126.8,3,6,1,0,True,0.832915,0.593222,1.0,no_major_descriptor_risk
CAND_1e356c92c8,0.716,4.667,420.473,1.2688,124.0,2,6,1,0,True,0.8722,0.592556,1.0,no_major_descriptor_risk
CAND_6f5c819abf,0.7381,4.656,418.501,2.4225,114.77,2,5,1,0,True,0.882145,0.593778,1.0,no_major_descriptor_risk
CAND_bb18276fcc,0.7065,4.756,436.541,1.9854,114.77,2,6,1,0,True,0.867925,0.582667,1.0,no_major_descriptor_risk
CAND_44327fe5a9,0.7373,4.906,418.501,2.28,114.77,2,5,1,0,True,0.881785,0.566,1.0,no_major_descriptor_risk
CAND_6d30b04ba5,0.7126,4.917,420.473,1.1263,124.0,2,6,1,0,True,0.87067,0.564778,1.0,no_major_descriptor_risk
CAND_fd6a72e89d,0.6245,4.911,419.489,0.6993,126.8,3,6,1,0,True,0.831025,0.565444,1.0,no_major_descriptor_risk
CAND_956024a173,0.705,5.006,436.541,1.8429,114.77,2,6,1,0,True,0.86725,0.554889,1.0,no_major_descriptor_risk
CAND_d93664c4b9,0.7384,4.906,418.501,2.496,114.77,2,5,1,0,True,0.88228,0.566,1.0,no_major_descriptor_risk
CAND_9d4c5cab6d,0.6308,4.911,419.489,0.9153,126.8,3,6,1,0,True,0.83386,0.565444,1.0,no_major_descriptor_risk
CAND_6c9b69bfe2,0.7175,4.917,420.473,1.3423,124.0,2,6,1,0,True,0.872875,0.564778,1.0,no_major_descriptor_risk
CAND_02bca8d718,0.7072,5.006,436.541,2.0589,114.77,2,6,1,0,True,0.86824,0.554889,1.0,no_major_descriptor_risk
CAND_d4292dc600,0.6287,4.661,419.489,0.8418,126.8,3,6,1,0,True,0.832915,0.593222,1.0,no_major_descriptor_risk
CAND_a6e2aca7fb,0.7065,4.756,436.541,1.9854,114.77,2,6,1,0,True,0.867925,0.582667,1.0,no_major_descriptor_risk
CAND_76774df791,0.716,4.667,420.473,1.2688,124.0,2,6,1,0,True,0.8722,0.592556,1.0,no_major_descriptor_risk
CAND_7f7760bbec,0.7381,4.656,418.501,2.4225,114.77,2,5,1,0,True,0.882145,0.593778,1.0,no_major_descriptor_risk
CAND_423486dce5,0.7191,4.233,432.528,2.8142,114.77,2,5,1,0,True,0.873595,0.640778,1.0,no_major_descriptor_risk
CAND_8b6de06a0f,0.7035,4.244,434.5,1.6605,124.0,2,6,1,0,True,0.866575,0.639556,1.0,no_major_descriptor_risk
CAND_bfdc82a98a,0.6894,4.334,450.568,2.3771,114.77,2,6,1,0,True,0.86023,0.629556,1.0,no_major_descriptor_risk
CAND_6cb1768675,0.6209,4.239,433.516,1.2335,126.8,3,6,1,0,True,0.829405,0.640111,1.0,no_major_descriptor_risk
CAND_53308bee89,0.5908,4.25,435.488,0.4274,136.03,3,7,1,0,True,0.81586,0.638889,1.0,no_major_descriptor_risk
CAND_67e4c4c09b,0.6707,4.412,464.595,2.7672,114.77,2,6,1,0,True,0.851815,0.620889,1.0,no_major_descriptor_risk
CAND_b7ff913a58,0.698,4.311,446.555,3.2043,114.77,2,5,1,0,True,0.8641,0.632111,1.0,no_major_descriptor_risk
CAND_e16585ad8a,0.6098,4.317,447.543,1.6236,126.8,3,6,1,0,True,0.82441,0.631444,1.0,no_major_descriptor_risk
CAND_4791e858cc,0.6881,4.322,448.527,2.0506,124.0,2,6,1,0,True,0.859645,0.630889,1.0,no_major_descriptor_risk
CAND_0e55be250e,0.5863,4.328,449.515,0.8175,136.03,3,7,1,0,True,0.813835,0.630222,1.0,no_major_descriptor_risk
CAND_97556b1c56,0.7189,4.678,422.514,1.4528,114.77,2,6,1,0,True,0.873505,0.591333,1.0,no_major_descriptor_risk
CAND_ffa2b05eef,0.6267,4.583,405.462,0.3092,126.8,3,6,1,0,True,0.832015,0.601889,1.0,no_major_descriptor_risk
CAND_ff4ec3842f,0.6799,4.042,420.517,2.6701,114.77,2,5,0,0,True,0.855955,0.662,1.0,no_major_descriptor_risk
CAND_4ea78847f9,0.6633,4.053,422.489,1.5164,124.0,2,6,0,0,True,0.848485,0.660778,1.0,no_major_descriptor_risk
CAND_d6e2fc541d,0.5844,4.047,421.505,1.0894,126.8,3,6,0,0,True,0.81298,0.661444,1.0,no_major_descriptor_risk
CAND_aaa379f29a,0.6518,4.142,438.557,2.233,114.77,2,6,0,0,True,0.84331,0.650889,1.0,no_major_descriptor_risk
CAND_91833501ec,0.6172,4.276,462.598,3.8404,114.77,2,5,0,0,True,0.82774,0.636,1.0,no_major_descriptor_risk
CAND_5fdf8771a8,0.5972,4.376,480.638,3.4033,114.77,2,6,0,0,True,0.81874,0.624889,1.0,no_major_descriptor_risk
CAND_e6c0627bb9,0.5357,4.292,465.558,1.4536,136.03,3,7,0,0,True,0.791065,0.634222,1.0,no_major_descriptor_risk
CAND_7f998a5652,0.6177,4.287,464.57,2.6867,124.0,2,6,0,0,True,0.827965,0.634778,1.0,no_major_descriptor_risk
CAND_4e8257bdee,0.55,4.281,463.586,2.2597,126.8,3,6,0,0,True,0.7975,0.635444,1.0,no_major_descriptor_risk
CAND_661d99e302,0.6518,4.642,438.557,2.2314,114.77,2,6,0,0,True,0.84331,0.595333,1.0,no_major_descriptor_risk
CAND_826c88beb5,0.6799,4.542,420.517,2.6685,114.77,2,5,0,0,True,0.855955,0.606444,1.0,no_major_descriptor_risk
CAND_a28891a72c,0.5844,4.547,421.505,1.0878,126.8,3,6,0,0,True,0.81298,0.605889,1.0,no_major_descriptor_risk
CAND_b3c1e9c6e7,0.4175,4.203,449.559,3.772,110.96,4,5,0,0,True,0.737875,0.644111,1.0,no_major_descriptor_risk
CAND_ebd66c7b75,0.3578,4.209,450.547,2.1913,122.99,5,6,0,0,True,0.71101,0.643444,1.0,no_major_descriptor_risk
CAND_453a8d70ca,0.3482,4.22,452.519,1.3852,132.22,5,7,0,0,True,0.70669,0.642222,1.0,no_major_descriptor_risk
CAND_09deb650c1,0.4036,4.303,467.599,3.3349,110.96,4,6,0,0,True,0.73162,0.633,1.0,no_major_descriptor_risk
CAND_2e11abfe19,0.4171,4.214,451.531,2.6183,120.19,4,6,0,0,True,0.737695,0.642889,1.0,no_major_descriptor_risk
CAND_34ad2a24d8,0.3485,4.287,464.574,2.5814,122.99,5,6,0,0,True,0.706825,0.634778,1.0,no_major_descriptor_risk
CAND_f4705e122e,0.3895,4.381,481.626,3.725,110.96,4,6,0,0,True,0.725275,0.624333,1.0,no_major_descriptor_risk
CAND_94f502517a,0.3411,4.297,466.546,1.7753,132.22,5,7,0,0,True,0.703495,0.633667,1.0,no_major_descriptor_risk
CAND_c9a78f3f99,0.4051,4.292,465.558,3.0084,120.19,4,6,0,0,True,0.732295,0.634222,1.0,no_major_descriptor_risk
CAND_0dab0539d2,0.4,4.281,463.586,4.1621,110.96,4,5,0,0,True,0.73,0.635444,1.0,no_major_descriptor_risk
CAND_35c4ee0b09,0.2907,5.512,617.679,3.7452,146.96,3,9,1,1,False,0.499315,0.498667,1.0,1_lipinski_violations;veber_fail
CAND_d7d5e569e3,0.2985,5.423,601.611,3.0286,156.19,3,9,1,1,False,0.502825,0.508556,1.0,1_lipinski_violations;veber_fail
CAND_637465f4e1,0.2953,5.412,599.639,4.1823,146.96,3,8,1,1,False,0.501385,0.509778,1.0,1_lipinski_violations;veber_fail
CAND_da006e9e54,0.2577,5.417,600.627,2.6016,158.99,4,9,1,1,False,0.484465,0.509222,1.0,1_lipinski_violations;veber_fail
CAND_1ec7ae5d21,0.2953,5.412,599.639,4.1823,146.96,3,8,1,1,False,0.501385,0.509778,1.0,1_lipinski_violations;veber_fail
CAND_79995adf19,0.2907,5.512,617.679,3.7452,146.96,3,9,1,1,False,0.499315,0.498667,1.0,1_lipinski_violations;veber_fail
CAND_893be87c2e,0.2577,5.417,600.627,2.6016,158.99,4,9,1,1,False,0.484465,0.509222,1.0,1_lipinski_violations;veber_fail
CAND_2f2a0d40fd,0.2985,5.423,601.611,3.0286,156.19,3,9,1,1,False,0.502825,0.508556,1.0,1_lipinski_violations;veber_fail
CAND_7f6895293f,0.2972,5.912,599.639,4.0382,146.96,3,8,1,1,False,0.50224,0.454222,1.0,1_lipinski_violations;veber_fail
CAND_8f245c542f,0.2916,6.012,617.679,3.6011,146.96,3,9,1,1,False,0.49972,0.443111,1.0,1_lipinski_violations;veber_fail
CAND_f0bd1b6255,0.2986,5.923,601.611,2.8845,156.19,3,9,1,1,False,0.50287,0.453,1.0,1_lipinski_violations;veber_fail
CAND_5682a4f941,0.2575,5.917,600.627,2.4575,158.99,4,9,1,1,False,0.484375,0.453667,1.0,1_lipinski_violations;veber_fail
CAND_454e8d3cd4,0.2756,5.416,555.673,5.7471,44.73,0,6,0,2,True,0.47602,0.509333,1.0,2_lipinski_violations
CAND_9c6324c16c,0.3135,5.054,557.645,4.5934,53.96,0,7,0,1,True,0.592075,0.549556,1.0,1_lipinski_violations
CAND_dbfbb7d1cf,0.2826,5.298,573.713,5.31,44.73,0,7,0,2,True,0.47917,0.522444,1.0,2_lipinski_violations
CAND_a8aa3f8065,0.3491,5.048,556.661,4.1664,56.76,1,7,0,1,True,0.608095,0.550222,1.0,1_lipinski_violations
CAND_396f994be3,0.2896,5.315,604.727,4.5403,82.53,0,8,0,1,True,0.58132,0.520556,1.0,1_lipinski_violations
CAND_3c64f44e76,0.2989,5.326,606.699,3.3866,91.76,0,9,0,1,True,0.585505,0.519333,1.0,1_lipinski_violations
CAND_f134535edd,0.3248,5.321,605.715,2.9596,94.56,1,9,0,1,True,0.59716,0.519889,1.0,1_lipinski_violations
CAND_9b2dbc98ed,0.288,5.415,622.767,4.1032,82.53,0,9,0,1,True,0.5806,0.509444,1.0,1_lipinski_violations
CAND_e275a7e3ff,0.3586,5.111,544.721,5.7588,68.74,1,8,0,2,True,0.51337,0.543222,1.0,2_lipinski_violations
CAND_d905c29100,0.4104,4.637,527.669,4.6152,80.77,2,8,0,1,True,0.63568,0.595889,1.0,1_lipinski_violations
CAND_6e7e0ee6d7,0.3501,5.23,526.681,6.1959,68.74,1,7,0,2,True,0.509545,0.53,1.0,2_lipinski_violations
CAND_ce765fd66c,0.4068,4.664,528.653,5.0422,77.97,1,8,0,2,True,0.53506,0.592889,1.0,2_lipinski_violations
CAND_a57d09f53c,0.3586,5.111,544.721,5.7588,68.74,1,8,0,2,True,0.51337,0.543222,1.0,2_lipinski_violations
CAND_28874e6ca5,0.3501,5.23,526.681,6.1959,68.74,1,7,0,2,True,0.509545,0.53,1.0,2_lipinski_violations
CAND_3fc0103e7e,0.4104,4.637,527.669,4.6152,80.77,2,8,0,1,True,0.63568,0.595889,1.0,1_lipinski_violations
CAND_4b65fa0278,0.4068,4.664,528.653,5.0422,77.97,1,8,0,2,True,0.53506,0.592889,1.0,2_lipinski_violations
CAND_61168e1ccf,0.4131,4.893,528.653,4.8997,77.97,1,8,0,1,True,0.636895,0.567444,1.0,1_lipinski_violations
CAND_1f4eb01ec0,0.3576,5.408,526.681,6.0534,68.74,1,7,0,2,True,0.51292,0.510222,1.0,2_lipinski_violations
CAND_ee723190bd,0.4147,4.887,527.669,4.4727,80.77,2,8,0,1,True,0.637615,0.568111,1.0,1_lipinski_violations
CAND_5abda62ff8,0.3662,5.29,544.721,5.6163,68.74,1,8,0,2,True,0.51679,0.523333,1.0,2_lipinski_violations
CAND_5152217faa,0.3489,4.653,530.623,4.9019,68.1,1,6,0,1,True,0.608005,0.594111,1.0,1_lipinski_violations
CAND_c32c4f2b09,0.3698,4.664,532.595,3.7482,77.33,1,7,0,1,True,0.61741,0.592889,1.0,1_lipinski_violations
CAND_3b164e0480,0.3605,4.659,531.611,3.3212,80.13,2,7,0,1,True,0.613225,0.593444,1.0,1_lipinski_violations
CAND_9f32e71b10,0.348,4.754,548.663,4.4648,68.1,1,7,0,1,True,0.6076,0.582889,1.0,1_lipinski_violations
